,id,nom,sexe,naissance,race,pays,id_francegalop
114,115,ERNEST HEMINGWAY         ,M,2009,PS   ,IRE,d2krK3hvYUhLdlRLZjZMTzRZK2FnUT09
115,116,KAMSIN                   ,H,1983,PS   ,ITY,Zk1YYWM4TmhwNHVqUkdzZjNsNEpEUT09
116,117,SALOUEN                  ,M,2014,PS   ,IRE,aWtjV3FPTU0yK3ZuSmJldXJCR042Zz09
117,118,ULYSSES                  ,M,2013,PS   ,IRE,cTd4UlF5R2FGTnRpR0tlNjRWY3RDdz09
118,119,BLUE BRESIL              ,M,2005,PS   ,FR ,bXN4Y3dmQ1FiOFpPUEU5TU1ZV2xRZz09
119,120,YOUMZAIN                 ,M,2003,PS   ,IRE,NnhGZ1B4bXkxSGtiYVFyMG9pN0cyQT09
120,121,FREE PORT LUX            ,M,2011,PS   ,GB ,c0U5QS90bmdJdFNCV3d6SWhEKzlRUT09
121,122,DUNCAN                   ,M,2005,PS   ,GB ,ME03Q3ZUVFNjN09uSjc2anZVOUdqdz09
122,123,TANGASPEED               ,F,2005,PS   ,FR ,T21FMkpQRDZnRzYvZXRZRHR5VUFCdz09
123,124,RED ROCK CANYON          ,M,2004,PS   ,IRE,VERWUENCaGRhQUNZY1drMjdFNEJtZz09
124,125,CAMELOT                  ,M,1993,PS   ,SPA,U3JuWVVUc3JrendDV2RZRTlBOVpxdz09
125,126,PIRIKA                   ,F,2008,PS   ,IRE,ak04VG9jcmlLQ3gxQ2l5ZExmMGdBUT09
126,127,CAVALRYMAN               ,M,2006,PS   ,GB ,U3VRd1hQLzVTU3hVRW9iTkVCTVlkUT09
127,128,STEELE TANGO             ,M,2005,PS   ,USA,TWNvYXlyZytKS1pqaGpVbG01bE1LQT09
128,129,SO YOU THINK             ,M,2006,PS   ,NZ ,bHVNbFlaeFJTRWhPc3NLeksvSSswQT09
129,130,CLOTH OF STARS           ,M,2013,PS   ,IRE,c2FDVXVlclNjNExrNk9ZSjJLaEgwUT09
130,131,ST NICHOLAS ABBEY        ,M,2007,PS   ,IRE,dldoMUVGaE40ZlJLN21YaWkwdXhUQT09
131,132,TREVE                    ,F,2010,PS   ,FR ,d2JMa2NYejhOVDh1OUMzNW9CT2c4UT09
132,133,SHARETA                  ,F,2008,PS   ,IRE,Y0pQOFZiSnRDb0syczM2cDdvWjNNdz09
133,134,SEA MOON                 ,M,2008,PS   ,GB ,UjRyVVZ3Zi9RSk54WEs0M21IRVB2Zz09
134,135,MARINOUS                 ,M,2006,PS   ,FR ,NFVobmo3Zm4zNFZ5VHhzOGFXWkJtUT09
135,136,CIMA DE TRIOMPHE         ,M,2005,PS   ,IRE,aUtYaVhKMkJzQzFEblB5Q0NsU09hZz09
136,137,RAABIHAH                 ,F,2017,PS   ,USA,L21YajJPdkRTQkVURUtZSnozMm1HUT09
137,138,VEDEVANI                 ,M,2013,PS   ,FR ,TnQrMC85ZWdnMFJtZ0ZRbEZyLzJUQT09
138,139,SOTTSASS                 ,M,2016,PS   ,FR ,VmpxdVlzR1R1VGNtdUxJOGVxL0VGZz09
139,140,SILJAN'S SAGA            ,F,2010,PS   ,FR ,aGV3WlRQYWh4aHhuZmdWYVJ4M2dWZz09
140,141,SATONO DIAMOND           ,M,2013,PS   ,JPN,WFRSdmloSlRtRmJXNGtORzR4ckFRQT09
141,142,ZAMBEZI SUN              ,M,2004,PS   ,GB ,L1Z1bVhvZ3VMNlQ5eDdOYVJVRXU2dz09
142,143,TREASURE BEACH           ,M,2008,PS   ,GB ,TjA5WmVBelpYQnRiSXhBS0Fyck1GUT09
143,144,TALISMANIC               ,M,2013,PS   ,GB ,Z2I5elZrWUt2dW1KQ0lvb2lvVFhTdz09
144,145,ENABLE                   ,F,2014,PS   ,GB ,cHRPK0JXeWl3U2d5a3Y0T0xiSHBQQT09
145,146,ERUPT                    ,M,2012,PS   ,IRE,ajVkellKNDFIQnFMQVVmVzVnSmt6dz09
146,147,GOING SOMEWHERE          ,M,2009,PS   ,BRZ,ZWd4UmkyYTlrK25ZTGRQcFhBWUZ2QT09
147,148,SAONOIS                  ,M,2009,PS   ,FR ,YXJKMFBUYzhRSkE5UnhrLzlFNjVnQT09
148,149,MEISHO SAMSON            ,M,2003,PS   ,JPN,czMzdVMvOTdNaTU4V1cvaHFUeU5kZz09
149,150,FRINE                    ,F,2010,PS   ,IRE,U3ErcmtqUjhsRDdPS0FheXdpNlBVQT09
150,151,FOUND                    ,F,2012,PS   ,IRE,RjBiUHlWMCs1OFJJb3NOd09HdytWdz09
151,152,ZARAK                    ,M,2013,PS   ,FR ,bU9FemMxZEZsMUdNdmF1SkFhM3BZZz09
152,153,SHAHAH                   ,F,2012,PS   ,GB ,ZkZBbmwrWCt6TklKTHgzOCs5bnd5Zz09
153,154,MASKED MARVEL            ,M,1976,PS   ,IRE,Q3hSVGdaSUFEVTlyYTRpbldWZDFOdz09
154,155,LEFT HAND                ,F,2013,PS   ,GB ,czU4dVB6aEQxV01OeGNYMFpuaW11Zz09
155,156,GOLDEN HORN              ,H,2012,PS   ,FR ,NFlvT3NGR25sSEhJYW9JZGFGcWd0Zz09
156,157,ROBIN HOOD               ,H,1995,PS   ,SWI,ZE8wV2g4Sks0MUpGYmZwVFV4WXpuQT09
157,158,PLANTEUR                 ,M,2007,PS   ,IRE,eEhRbUt5dzMvaHNCVGVUM01xL1JMQT09
158,159,KIZUNA                   ,M,2010,PS   ,JPN,UVFkMzhzblJXZ2pma04rVDRYTGV6dz09
159,160,CONDUIT                  ,M,2005,PS   ,IRE,SXRnUEJUcVJTcjZpSkY2ZHJCZzZsQT09
160,161,FAME AND GLORY           ,M,1985,PS   ,GB ,OXdkSFpUemRadW1FUU82ZVRQM01SQT09
161,162,LOPE DE VEGA             ,M,2007,PS   ,IRE,eTRZem96TFdpWjd0SXNHWU92R1h5Zz09
162,163,HARZAND                  ,M,2013,PS   ,IRE,ZlVKV1p1aVFreVFka3pCOWVHc3Jsdz09
163,164,SEA THE STARS            ,M,2006,PS   ,IRE,c3NOZGpYL21vTnJBVXo4NXJaZWdRdz09
164,165,NEW BAY                  ,M,2012,PS   ,GB ,bDVMa1gxTS9QbEY5ZncyMWpCVnU4Zz09
165,166,WINTER                   ,F,2014,PS   ,IRE,d2huMXJ6SFNpbkR6aXNzUUlnZ2tlUT09
166,167,MIKHAIL GLINKA           ,M,2007,PS   ,IRE,VzlEbGlTN0hBd3ZiMTdDMnJwS05TZz09
167,168,VISION D'ETAT            ,M,2005,PS   ,FR ,RkdjY3JKQldKa3lmQjkxaTkxNGYxUT09
168,169,SILVER POND              ,M,2007,PS   ,FR ,QzNZVWIrMnp1SmI5ZTFkMGd3NmlOdz09
169,170,WIENER WALZER            ,M,2006,PS   ,GER,cWNmWU43djZIbDhsSVhzQ3BrWlJ1UT09
170,171,KESAMPOUR                ,M,2009,PS   ,FR ,Y1NPME5DajJaSnVhQjgwczVJZlNRQT09
171,172,SEA OF CLASS             ,F,2015,PS   ,IRE,MnlGN1A4ZHhhYWlLM3ZsVTBZaUhNdz09
172,173,AL KAZEEM                ,M,2008,PS   ,GB ,Wjl1NWVXZGlWdlI4dUJwSndENFY2QT09
173,174,GOLD SHIP                ,M,2009,PS   ,JPN,MlZBWmg3bVdCRmdqQzIxQ0lELzdIUT09
174,175,FAME AND GLORY           ,M,1985,PS   ,GB ,OXdkSFpUemRadW1FUU82ZVRQM01SQT09
175,176,CARTHAGE                 ,M,2006,PS   ,FR ,d0VXamJZZGlFTjVNY2pXbFRYRWRJUT09
176,177,SEVENTH HEAVEN           ,F,2001,AR   ,FR ,YldBVGFrelh6VkpqRWtnOTVUYWR4UT09
177,178,CAPRI                    ,F,2012,AQPS ,FR ,Z3M2ZFhJZVBwRDBGOTd5a3lVZVJ6QT09
178,179,MIGWAR                   ,M,2014,AR   ,FR ,anptcjdXV2c4dE9DbE1QSGtmQ3Z2Zz09
179,180,SCHIAPARELLI             ,F,2016,AR   ,FR ,R2VpNXlyd0cyYzBzbWVhY0dLUk8zUT09
180,181,KAMSIN                   ,H,1983,PS   ,ITY,Zk1YYWM4TmhwNHVqUkdzZjNsNEpEUT09
181,182,NOVELLIST                ,M,2009,PS   ,IRE,WnJNU21TZ1VWeGkwQm1VaERpa2VKdz09
182,183,STRADIVARIUS             ,H,2006,AQPS ,FR ,bzZzYUpzSExQc2lUN0s4cWg1SnFhUT09
183,184,SOVEREIGN                ,M,2016,PS   ,IRE,dVloNTQvczdqZUlRWWxqZjI2Tksxdz09
184,185,MOGUL                    ,M,2017,PS   ,GB ,bkl3RXJaS3dIdXk0OTdjZWFpby93dz09
185,186,SERPENTINE               ,M,2017,PS   ,IRE,akRHUjRXMk50TFVOcXRFZ3ZYUVU0dz09
186,187,CAPRI                    ,F,2012,AQPS ,FR ,Z3M2ZFhJZVBwRDBGOTd5a3lVZVJ6QT09
187,188,NELSON                   ,H,2001,SFAA ,FR ,a2NQTXJ2NHZENk5sN0tSVGtUNFlCQT09
188,189,FAME AND GLORY           ,M,1985,PS   ,GB ,OXdkSFpUemRadW1FUU82ZVRQM01SQT09
189,190,MASKED MARVEL            ,M,1976,PS   ,IRE,Q3hSVGdaSUFEVTlyYTRpbldWZDFOdz09
190,191,CAMELOT                  ,M,1993,PS   ,SPA,U3JuWVVUc3JrendDV2RZRTlBOVpxdz09
191,192,ROBIN HOOD               ,H,1995,PS   ,SWI,ZE8wV2g4Sks0MUpGYmZwVFV4WXpuQT09
192,193,GOLDEN HORN              ,H,2012,PS   ,FR ,NFlvT3NGR25sSEhJYW9JZGFGcWd0Zz09
193,194,MELEAGROS                ,M,2009,PS   ,IRE,SCtLRU5VVkVkK1ZGMjVBamZTWTZFUT09
