"Numero","Cheval","S/A","Distance","Jockey","Entraineur"
"1","DEFOE","H4","59.5 kg","Atzeni A.","Varian R."
"2","SALOUEN","M4","59.5 kg","Murphy O.","Kirk S."
"3","CAPRI","M4","59.5 kg","O'brien D.","O'brien Ap."
"4","WAY TO PARIS","M5","59.5 kg","Mosse G.","Marcialis A."
"5","WALDGEIST","M4","59.5 kg","Boudot Pc.","Fabre A."
"6","CLOTH OF STARS","M5","59.5 kg","Cheminaud V.","Fabre A."
"7","TALISMANIC","M5","59.5 kg","Barzalona M.","Fabre A."
"8","TIBERIAN","M6","59.5 kg","Buick W.","Couetil A."
"9","CLINCHER","M4","59.5 kg","Take Y.","Miyamoto H."
"10","ENABLE","F4","58 kg","Dettori L.","Gosden J."
"11","NEUFBOSC","M3","56.5 kg","Demuro C.","Brandt P."
"12","PATASCOY","M3","56.5 kg","Peslier O.","Thomas Demeaulte X."
"13","KEW GARDENS","M3","56.5 kg","Moore Rl.","O'brien Ap."
"14","STUDY OF MAN","M3","56.5 kg","Pasquier S.","Bary P."
"15","LOUIS D'OR","M3","56.5 kg","Hamelin A.","Castanheira T."
"16","HUNTING HORN","M3","56.5 kg","Seamie Heffernan Ja.","O'brien Ap."
"17","NELSON","H3","56.5 kg","Hussey M.","O'brien Ap."
"18","MAGICAL","F3","55 kg","Lordan Wm.","O'brien Ap."
"19","SEA OF CLASS","F3","55 kg","Doyle J.","Haggas Wj."
