"Numero","Cheval","S/A","Distance","Jockey","Entraineur"
"1","FRENCH KING","M4","59.5 kg","Peslier O.","Pantall Ha."
"2","WALDGEIST","M5","59.5 kg","Boudot Pc.","Fabre A."
"3","GHAIYYATH","M4","59.5 kg","Buick W.","Appleby C."
"4","KISEKI","M5","59.5 kg","Soumillon C.","Sumii K."
"5","BLAST ONEPIECE","M4","59.5 kg","Kawada Y.","Otake M."
"6","FIEREMENT","M4","59.5 kg","Lemaire Cp.","Tezuka T."
"7","NAGANO GOLD","M5","59.5 kg","Barzalona M.","Luka V."
"8","ENABLE","F5","58 kg","Dettori L.","Gosden J."
"9","MAGICAL","F4","58 kg","O'brien Don.","O'brien Ap."
"10","JAPAN","M3","56.5 kg","Moore Rl.","O'brien Ap."
"11","SOFT LIGHT","M3","56.5 kg","Take Y.","Rouget Jc."
"12","SOTTSASS","M3","56.5 kg","Demuro C.","Rouget Jc."
