"Numero","Cheval","S/A","Distance","Jockey","Entraineur"
"1","YOUMZAIN","M5","59.5 kg","Hills Rj.","Channon M.R"
"2","ZAMBEZI SUN","M4","59.5 kg","Pasquier S.","Bary P."
"3","ASK","M5","59.5 kg","Moore Rl.","Stoute Sir Mr."
"4","SCHIAPARELLI","F5","59.5 kg","Dettori L.","Bin Suroor S."
"5","MEISHO SAMSON","M5","59.5 kg","Take Y.","Takahashi S."
"6","SOLDIER OF FORTUNE","H4","59.5 kg","Heffernan Ja.","O'brien Ap."
"7","DUKE OF MARMALADE","M4","59.5 kg","Murtagh Jp.","O'brien Ap."
"8","PAPAL BULL","M5","59.5 kg","Fortune J.","Stoute Sir Mr."
"9","IT'S GINO","M5","59.5 kg","Thulliez T.","Vovcenko P."
"10","RED ROCK CANYON","M4","59.5 kg","O'donoghue C.","O'brien Ap."
"11","GETAWAY","F5","59.5 kg","Peslier O.","Fabre A."
"12","VISION D'ETAT","M3","56 kg","Mendizabal I.","Libaud E."
"13","KAMSIN","M3","56 kg","Victoire J.","Schiergen P."
"14","BLUE BRESIL","M3","56 kg","Mongil W.","Larrigade L."
"15","CIMA DE TRIOMPHE","M3","56 kg","Vargiu D.","Grizzetti B."
"16","ZARKAVA","F3","54.5 kg","Soumillon C.","Royer Dupre A."
