"Numero","Cheval","S/A","Distance","Jockey","Entraineur"
"1","FLINTSHIRE","M4","59.5 kg","Guyon M.","Fabre A."
"2","RULER OF THE WORLD","M4","59.5 kg","Dettori L.","O'brien Ap."
"3","AL KAZEEM","M6","59.5 kg","Doyle J.","Charlton Rj."
"4","IVANHOWE","M4","59.5 kg","Buick W.","Carvalho Jp."
"5","SPIRITJIM","M4","59.5 kg","Pasquier S.","Bary P."
"6","GOLD SHIP","M5","59.5 kg","Yokoyama N.","Sugai N."
"7","JUST A WAY","M5","59.5 kg","Fukunaga Y.","Sugai N."
"8","TREVE","F4","58 kg","Jarnet T.","Head-maarek C."
"9","CHICQUITA","F4","58 kg","O'brien J.","O'brien Ap."
"10","SILJAN'S SAGA","F4","58 kg","Boudot Pc.","Gauvin Jp."
"11","ECTOT","M3","56 kg","Benoist G.","Lellouche E."
"12","MONTVIRON","M3","56 kg","Stefan C.","Lellouche E."
"13","PRINCE GIBRALTAR","M3","56 kg","Eyquem Jb.","Rouget Jc."
"14","KINGSTON HILL","M3","56 kg","Atzeni A.","Varian R."
"15","FREE PORT LUX","M3","56 kg","Barzalona M.","Head F."
"16","AVENIR CERTAIN","F3","54.5 kg","Lemaire Cp.","Rouget Jc."
"17","DOLNIYA","F3","54.5 kg","Soumillon C.","Royer Dupre A."
"18","TAGHROODA","F3","54.5 kg","Hanagan P.","Gosden J."
"19","HARP STAR","F3","54.5 kg","Kawada Y.","Matsuda H."
"20","TAPESTRY","F3","54.5 kg","Moore Rl.","O'brien Ap."
