"Numero","Cheval","S/A","Distance","Jockey","Entraineur"
"1","ZARAK","M4","59.5 kg","Soumillon C.","Royer Dupre A."
"2","DOHA DREAM","M4","59.5 kg","Benoist G.","Fabre A."
"3","ONE FOOT IN HEAVEN","H5","59.5 kg","Doyle J.","Royer Dupre A."
"4","ULYSSES","M4","59.5 kg","Crowley J.","Stoute Sir Mr."
"5","CLOTH OF STARS","M4","59.5 kg","Barzalona M.","Fabre A."
"6","SILVERWAVE","M5","59.5 kg","Boudot Pc.","Bary P."
"7","IDAHO","M4","59.5 kg","Seamie Heffernan Ja.","O'brien Ap."
"8","DSCHINGIS SECRET","M4","59.5 kg","De Vries A.","Klug M."
"9","SATONO DIAMOND","M4","59.5 kg","Lemaire Cp.","Ikee Y."
"10","SATONO NOBLESSE","M7","59.5 kg","Kawada Y.","Ikee Y."
"11","IQUITOS","M5","59.5 kg","Starke A.","Groschel Hj."
"12","ORDER OF ST GEORGE","M5","59.5 kg","O'brien D.","O'brien Ap."
"13","SEVENTH HEAVEN","H4","58 kg","Smullen P.","O'brien Ap."
"14","BRAMETOT","M3","56.5 kg","Demuro C.","Rouget Jc."
"15","CAPRI","M3","56.5 kg","Lordan Wm.","O'brien Ap."
"16","PLUMATIC","M3","56.5 kg","Guyon M.","Fabre A."
"17","ENABLE","F3","55 kg","Dettori L.","Gosden J."
"18","WINTER","F3","55 kg","Moore Rl.","O'brien Ap."
