"Numero","Cheval","S/A","Distance","Jockey","Entraineur"
"1","VERY NICE NAME","M4","59.5 kg","Convertino P.","De Mieulle A."
"2","NON-PARTANT","M4","59.5 kg","Murtagh Jp.","Wohler A."
"3","AL KAZEEM","M5","59.5 kg","Doyle J.","Charlton Rj."
"4","JOSHUA TREE","M6","59.5 kg","Hughes R.","Dunlop Eal."
"5","MEANDRE","M5","59.5 kg","Rispoli U.","Shavuyev A."
"6","ORFEVRE","M5","59.5 kg","Soumillon C.","Ikee Y."
"7","GOING SOMEWHERE","M4","59 kg","Benoist G.","Smaga D."
"8","HAYA LANDA","F5","58 kg","Blondel F.","Audon L."
"9","PIRIKA","F5","58 kg","Boudot Pc.","Fabre A."
"10","FLINTSHIRE","M3","56 kg","Guyon M.","Fabre A."
"11","LEADING LIGHT","M3","56 kg","Mosse G.","O'brien Ap."
"12","OCOVANGO","M3","56 kg","Pasquier S.","Fabre A."
"13","PENGLAI PAVILION","H3","56 kg","Barzalona M.","Fabre A."
"14","KIZUNA","F3","56 kg","Take Y.","Sasaki S."
"15","RULER OF THE WORLD","M3","56 kg","Moore Rl.","O'brien Ap."
"16","SAHAWAR","M3","56 kg","Thulliez T.","Ferland C."
"17","INTELLO","M3","56 kg","Peslier O.","Fabre A."
"18","TREVE","F3","54.5 kg","Jarnet T.","Head-maarek C."
