"Numero","Cheval","S/A","Distance","Jockey","Entraineur"
"1","YOUMZAIN","M6","59.5 kg","Fallon Kf.","Channon M.R"
"2","CONDUIT","M4","59.5 kg","Moore Rl.","Stoute Sir Mr."
"3","VISION D'ETAT","M4","59.5 kg","Peslier O.","Libaud E."
"4","MAGADAN","M4","59.5 kg","Crastus A.","Lellouche E."
"5","THE BOGBERRY","M4","59.5 kg","Kappushev M.","Royer Dupre A."
"6","STEELE TANGO","M4","59.5 kg","Holland Dp.","Teal Ra."
"7","GETAWAY","F6","59.5 kg","Pasquier S.","Hirschberger J."
"8","TULLAMORE","M4","59.5 kg","Janacek V.","Koplik Z."
"9","HOT SIX","M4","59 kg","Pereira T.","Duarte G."
"10","DAR RE MI","F4","58 kg","Fortune J.","Gosden J."
"11","TANGASPEED","F4","58 kg","Mendizabal I.","Laplanche Rob."
"12","LA BOUM","F6","58 kg","Jarnet T.","Collet Rob."
"13","BEHESHTAM","M3","56 kg","Mosse G.","Royer Dupre A."
"14","SET SAIL","M3","56 kg","Levey S.m.","O'brien Ap."
"15","FAME AND GLORY","M3","56 kg","Murtagh Jp.","O'brien Ap."
"16","CAVALRYMAN","M3","56 kg","Dettori L.","Fabre A."
"17","GRAND DUCAL","M3","56 kg","Smullen P.","O'brien Ap."
"18","SEA THE STARS","H3","56 kg","Kinane M.","Oxx J."
"19","STACELITA","F3","54.5 kg","Soumillon C.","Rouget Jc."
