"Numero","Cheval","S/A","Distance","Jockey","Entraineur"
"1","NEW BAY","M4","59.5 kg","Cheminaud V.","Fabre A."
"2","POSTPONED","M5","59.5 kg","Atzeni A.","Varian R."
"3","MIGWAR","M4","59.5 kg","Peslier O.","Head F."
"4","HIGHLAND REEL","H4","59.5 kg","Heffernan Ja.","O'brien Ap."
"5","ONE FOOT IN HEAVEN","H4","59.5 kg","Demuro C.","Royer Dupre A."
"6","THE GREY GATSBY","M5","59.5 kg","Doyle J.","Ryan Ka."
"7","SILVERWAVE","M4","59.5 kg","Soumillon C.","Bary P."
"8","ORDER OF ST GEORGE","M4","59.5 kg","Dettori L.","O'brien Ap."
"9","SILJAN'S SAGA","F6","58 kg","Boudot Pc.","Gauvin Jp."
"10","FOUND","F4","58 kg","Moore Ryan-lee","O'brien Ap."
"11","HARZAND","M3","56 kg","Smullen P.","Weld Dk."
"12","VEDEVANI","M3","56 kg","Badel Alxi.","Royer Dupre A."
"13","TALISMANIC","M3","56 kg","Barzalona M.","Fabre A."
"14","MAKAHIKI","M3","56 kg","Lemaire Cp.","Tomomichi Y."
"15","SAVOIR VIVRE","M3","56 kg","Tylicki F.","Carvalho Jp."
"16","LEFT HAND","F3","54.5 kg","Guyon M.","Laffon-Parias C."
