"Numero","Cheval","S/A","Distance","Jockey","Entraineur"
"1","PERSIAN KING","M4","59.5 kg","Boudot Pc.","Fabre A."
"2","ROYAL JULIUS","M7","59.5 kg","Foley S.","Reynier J."
"3","WAY TO PARIS","M7","59.5 kg","Mendizabal I.","Marcialis A."
"4","NON-PARTANT","M4","59.5 kg","Take Yut.","O'brien Ap."
"5","NON-PARTANT","M4","59.5 kg","Barzalona M.","O'brien Ap."
"6","STRADIVARIUS","M6","59.5 kg","Peslier O.","Gosden J."
"7","SOTTSASS","M4","59.5 kg","Demuro C.","Rouget Jc."
"8","ENABLE","F6","58 kg","Dettori Lan.","Gosden J."
"9","DEIRDRE","F6","58 kg","Spencer Jp.","Hashida M."
"10","GOLD TRIP","M3","56.5 kg","Pasquier S.","Chappet F."
"11","CHACHNAK","M3","56.5 kg","Piccone T.","Vermeulen F."
"12","IN SWOOP","M3","56.5 kg","Thomas Ron.","Graffard Fh."
"13","NON-PARTANT","M3","56.5 kg","Moore Rya. L.","O'brien Ap."
"14","NON-PARTANT","M3","56.5 kg","Soumillon C.","O'brien Ap."
"15","RAABIHAH","F3","55 kg","Guyon M.","Rouget Jc."
