"Numero","Cheval","S/A","Distance","Jockey","Entraineur"
"1","SEA MOON","M4","59.5 kg","Moore Rl.","Stoute Sir Mr."
"2","ST NICHOLAS ABBEY","M5","59.5 kg","O'brien J.","O'brien Ap."
"3","MEANDRE","M4","59.5 kg","Guyon M.","Fabre A."
"4","MIKHAIL GLINKA","M5","59.5 kg","Demuro M.","Shavuyev A."
"5","ROBIN HOOD","H4","59.5 kg","Heffernan Ja.","O'brien Ap."
"6","ORFEVRE","M4","59.5 kg","Soumillon C.","Ikee Y."
"7","AVENTINO","M8","59.5 kg","Crastus A.","Ikee Y."
"8","SHARETA","F4","58 kg","Lemaire Cp.","Royer Dupre A."
"9","HAYA LANDA","F4","58 kg","Blondel F.","Audon L."
"10","SOLEMIA","F4","58 kg","Peslier O.","Laffon-Parias C."
"11","BAYRIR","H3","56 kg","Mosse G.","Royer Dupre A."
"12","KESAMPOUR","M3","56 kg","Benoist G.","Delzangles M."
"13","CAMELOT","M3","56 kg","Dettori L.","O'brien Ap."
"14","MASTERSTROKE","M3","56 kg","Barzalona M.","Fabre A."
"15","ERNEST HEMINGWAY","M3","56 kg","O'donoghue C.","O'brien Ap."
"16","SAONOIS","M3","56 kg","Hamelin A.","Gauvin Jp."
"17","YELLOW AND GREEN","F3","54.5 kg","Thulliez T.","Clement N."
"18","GREAT HEAVENS","F3","54.5 kg","Buick W.","Gosden J."
