"Numero","Cheval","S/A","Distance","Jockey","Entraineur"
"1","WORKFORCE","M4","59.5 kg","Moore Rl.","Stoute Sir Mr."
"2","ST NICHOLAS ABBEY","M4","59.5 kg","O'brien J.","O'brien Ap."
"3","SILVER POND","M4","59.5 kg","Thulliez T.","Laffon-Parias C."
"4","HIRUNO D'AMOUR","M4","59.5 kg","Fujita S.","Kon M."
"5","NAKAYAMA FESTA","M5","59.5 kg","Ebina M.","Ninomiya Y."
"6","SO YOU THINK","H5","59.5 kg","Heffernan Ja.","O'brien Ap."
"7","SARAFINA","F4","58 kg","Lemaire Cp.","Royer Dupre A."
"8","SNOW FAIRY","F4","58 kg","Dettori L.","Dunlop Eal."
"9","TREASURE BEACH","M3","56 kg","O'donoghue C.","O'brien Ap."
"10","MEANDRE","M3","56 kg","Guyon M.","Fabre A."
"11","MASKED MARVEL","M3","56 kg","Buick W.","Gosden J."
"12","RELIABLE MAN","M3","56 kg","Mosse G.","Royer Dupre A."
"13","SHARETA","F3","54.5 kg","Jarnet T.","Royer Dupre A."
"14","TESTOSTERONE","F3","54.5 kg","Pasquier S.","Bary P."
"15","DANEDREAM","F3","54.5 kg","Starke A.","Schiergen P."
"16","GALIKOVA","F3","54.5 kg","Peslier O.","Head F."
