id,nom,sexe,naissance,race,pays,info,infoyear
SklKaW9ZV0k2dnlobHR2Wlk0Q1Uydz09,HERNANDO,,0,,,hernando  m.ps. 3 a.,1993
UHVSSUNTdnUreXRTb2RQMVFmSyt3QT09,PLATINI,,0,,,platini ger m.ps. 4 a.,1993
cG9yMjJwcktlSks4SkprUk9adHJxZz09,SHEMAKA,,0,,,shemaka ire f.ps. 3 a.,1993
Q3ZYa212Wmh1MmVkOGtGRUJCZ0EyUT09,USER FRIENDLY,,0,,,user friendly gb f.ps. 4 a.,1993
a01MV1dLUWRObXZaQXlmZS9mZGpSQT09,WEMYSS BIGHT,,0,,,wemyss bight gb f.ps. 3 a.,1993
MnlGN1A4ZHhhYWlLM3ZsVTBZaUhNdz09,SEA OF CLASS,F,2015,PS,IRE,sea of class ire f.ps. 3 a.,2018
RG1DS2Y3R0tTdWJjNmk1ZWpuelpmQT09,WALDGEIST,M,2014,PS,GB,waldgeist gb m.ps. 4 a.,2018
aWtjV3FPTU0yK3ZuSmJldXJCR042Zz09,SALOUEN,M,2014,PS,IRE,salouen ire m.ps. 4 a.,2018
OTE4NWgvczJmSkVIR0ROUnNpa09EZz09,KEW GARDENS,M,2015,PS,IRE,kew gardens ire m.ps. 3 a.,2018
S0RNK2hRbnlXdWM1VE5ZNHAzdno1Zz09,NELSON,,0,,,nelson ire m.ps. 3 a.,2018
Q3Y2c2JyZ0IwdVhVYnhMRnk1UHVFZz09,STUDY OF MAN,M,2015,PS,IRE,study of man ire m.ps. 3 a.,2018
SVBpN2FvMnJyN1hZYkJ2dUNVRWxDUT09,MAGICAL,F,2015,PS,IRE,magical ire f.ps. 3 a.,2018
RlZKZW5yTVkxQ2VLUG1OSTlMMytGZz09,WAY TO PARIS,M,2013,PS,GB,way to paris gb m.ps. 5 a.,2018
Mm9SblZqMzJiYkUyK3EwNkdVTkJ1QT09,TIBERIAN,M,2012,PS,FR,tiberian  m.ps. 6 a.,2018
MGhOQitWN0dBWE1aYWNXbXNQemNKZz09,PATASCOY,H,2015,PS,FR,patascoy  h.ps. 3 a.,2018
dytmNjY1aXBDZzhnc1R2U2VlTk42dz09,DEFOE,H,2014,PS,IRE,defoe ire h.ps. 4 a.,2018
d3cyTC9aMW9MbnFkUk9JVUpYVzhyQT09,HUNTING HORN,M,2015,PS,IRE,hunting horn ire m.ps. 3 a.,2018
RWQ1TlhMdGFJMUhUS0dhQksxc3M1QT09,CLINCHER,M,2014,PS,JPN,clincher jpn m.ps. 4 a.,2018
ZkZSOXRjWEVteXM3QXNBb1A2WUtZUT09,NEUFBOSC,M,2015,PS,FR,neufbosc  m.ps. 3 a.,2018
WEtWMjBnZEtPSmV1SnAyOVg1dkpSUT09,LOUIS D'OR,M,2015,PS,IRE,louis d'or (ire) m.ps. 3 a.,2018
VmpxdVlzR1R1VGNtdUxJOGVxL0VGZz09,SOTTSASS,M,2016,PS,FR,sottsass  m.ps. 4 a.,2020
OEtVY3N1ZmxHVTNwUTlQVWdDdXZDZz09,IN SWOOP,M,2017,PS,IRE,in swoop ire m.ps. 3 a.,2020
eHZpS0hMSTB6OHFVZTlQMmZUTWY4dz09,PERSIAN KING,M,2016,PS,IRE,persian king (ire) m.ps. 4 a.,2020
MHlnYUcrbnUvU0trTU1Gd1krQjhFQT09,GOLD TRIP,M,2017,PS,FR,gold trip  m.ps. 3 a.,2020
L21YajJPdkRTQkVURUtZSnozMm1HUT09,RAABIHAH,F,2017,PS,USA,raabihah usa f.ps. 3 a.,2020
WmxLeERDdTRtZTBTaVFOTnhzY0kwUT09,STRADIVARIUS,,0,,,stradivarius ire m.ps. 6 a.,2020
VEo0Z2ttM2xvSGhIdFV6aUVOUjBIUT09,DEIRDRE,F,2014,PS,JPN,deirdre jpn f.ps. 6 a.,2020
czliWEdqRDNROWtwMmtHMThuN3JEdz09,ROYAL JULIUS,M,2013,PS,IRE,royal julius ire m.ps. 7 a.,2020
aE9ndDRLT1ZtMjZFQkJQb0x6MDZGUT09,CHACHNAK,M,2017,PS,FR,chachnak  m.ps. 3 a.,2020
aER2UWw3NU5WUWlhNHZoRno1Y1FJdz09,JAPAN,M,2016,PS,GB,JAPAN,2020
dVloNTQvczdqZUlRWWxqZjI2Tksxdz09,SOVEREIGN,M,2016,PS,IRE,SOVEREIGN,2020
bkl3RXJaS3dIdXk0OTdjZWFpby93dz09,MOGUL,M,2017,PS,GB,MOGUL,2020
akRHUjRXMk50TFVOcXRFZ3ZYUVU0dz09,SERPENTINE,M,2017,PS,IRE,SERPENTINE,2020
Rm8xbnU4bFU3SkNHTmUvajc2c0xYUT09,INTELLO,M,2010,PS,GER,intello (ger) m.ps. 3 a.,2013
UVFkMzhzblJXZ2pma04rVDRYTGV6dz09,KIZUNA,M,2010,PS,JPN,kizuna jpn m.ps. 3 a.,2013
c0hTZWZ6bWIyRHhkMEhsK3NYOTdZdz09,PENGLAI PAVILION,H,2010,PS,USA,penglai pavilion usa h.ps. 3 a.,2013
Wjl1NWVXZGlWdlI4dUJwSndENFY2QT09,AL KAZEEM,M,2008,PS,GB,al kazeem gb m.ps. 5 a.,2013
T284Ny8xbGpaUUxSQXhJUDcrNTl4dz09,RULER OF THE WORLD,M,2010,PS,IRE,ruler of the world ire m.ps. 3 a.,2013
ZWd4UmkyYTlrK25ZTGRQcFhBWUZ2QT09,GOING SOMEWHERE,M,2009,PS,BRZ,going somewhere brz m.ps. 4 a.,2013
a1hqWDF1YXFCdVFhNm45MjNSMzB5QT09,SAHAWAR,M,2010,PS,FR,sahawar  m.ps. 3 a.,2013
SW1mT05IeUpoYkVjSGl3M3BWbW9Tdz09,LEADING LIGHT,M,2010,PS,IRE,leading light ire m.ps. 3 a.,2013
WWxFUyt2Qmc4djI4VE9PM3FlRTAxQT09,JOSHUA TREE,M,2007,PS,IRE,joshua tree ire m.ps. 6 a.,2013
YzBpaVBQcnZ4Nko1WmRudDg5eUVOUT09,OCOVANGO,M,2010,PS,GB,ocovango gb m.ps. 3 a.,2013
ak04VG9jcmlLQ3gxQ2l5ZExmMGdBUT09,PIRIKA,F,2008,PS,IRE,pirika (ire) f.ps. 5 a.,2013
RWZHOFk2dm1RMytaUCtzTU4xZ0Q3QT09,VERY NICE NAME,M,2009,PS,FR,very nice name  m.ps. 4 a.,2013
WnJNU21TZ1VWeGkwQm1VaERpa2VKdz09,NOVELLIST,M,2009,PS,IRE,NOVELLIST,2013
T29BOHFrSVdxK0RGdGYzejBxNnZ6dz09,PEINTRE CELEBRE,,0,,,peintre celebre usa m.ps. 3 a.,1997
Ri9OeUVIOXBCWmtlSnZLZ3htQm03UT09,BORGIA,,0,,,borgia ger f.ps. 3 a.,1997
RWUra25OV0hpbno0VndHZ2cwTktjZz09,PREDAPPIO,,0,,,predappio gb m.ps. 4 a.,1997
RHo4V2NlSGlxNmVqWVhxZi9mVnpIUT09,QUE BELLE,,0,,,que belle can f.ps. 3 a.,1997
WlBBRkdSeEt6ekVWTUtnMzZKazlmZz09,POSIDONAS,,0,,,posidonas gb m.ps. 5 a.,1997
WSt4QlI4dW1zYWF3VHEyeXhVNjBwUT09,BUSY FLIGHT,,0,,,busy flight gb m.ps. 4 a.,1997
bW1QcVNNQ1YvdHBrWEUyanJuYmRJQT09,STEWARD,,0,,,steward  m.ps. 4 a.,1997
NzRJWHlKM2c2Q2N0RitqNU1UQyszZz09,NOTHIN'LEICA DANE,,0,,,nothin'leica dane aus m.ps. 5 a.,1997
MGV3bEM3OXF1SVRUeWloSlhCRTRsUT09,YOKOHAMA,,0,,,yokohama usa m.ps. 6 a.,1997
RHNZanF6WGpyWi9QcGJER2VERWJnUT09,MY EMMA,,0,,,my emma gb f.ps. 4 a.,1997
K25VT0dkK1preHVuYWlMNGpha3BZdz09,EBADIYLA,,0,,,ebadiyla ire f.ps. 3 a.,1997
