id,cheval_id,date,hippodrome,place,distance,specialite,categorie,categorie_backtype,poids,proprietaire,entrainneur,jockey,allocation_totale,prime_proprietaire,prime_eleveur,valeur
,cWNmWU43djZIbDhsSVhzQ3BrWlJ1UT09,03/10/2011,HOPPEGARTEN,4,2.000,P,GR.III,K,0,,,,4.500,0,0,49.0
aEdrbGdqZ1N1SEpncmJwUXdDUnJYUT09,cWNmWU43djZIbDhsSVhzQ3BrWlJ1UT09,05/06/2011,CHANTILLY,8,2.400,P,GR.II,K,56,ULLMANN,FABRE,GUYON,0,0,0,49.0
Slh2N1c0MVUzenAvWG5CYW5NU0toUT09,cWNmWU43djZIbDhsSVhzQ3BrWlJ1UT09,05/05/2011,PARISLONGCHAMP,5,2.400,P,GR.III,K,56,ULLMANN,FABRE,GUYON,4.000,0,0,
TnRBbnEvQ0ZUMldjVlhTWGEwWmhwUT09,cWNmWU43djZIbDhsSVhzQ3BrWlJ1UT09,10/04/2011,PARISLONGCHAMP,7,2.000,P,GR.II,K,56,ULLMANN,FABRE,GUYON,0,0,0,
N3RycGd1V3UxVFB2NjNyOW4yS1FwZz09,cWNmWU43djZIbDhsSVhzQ3BrWlJ1UT09,03/10/2010,PARISLONGCHAMP,99,2.400,P,GR.I,K,"59,5",GESTUT SCHLENDERHAN,HIRSCHBERGER,QUEALLY,0,0,0,
,cWNmWU43djZIbDhsSVhzQ3BrWlJ1UT09,05/09/2010,BADEN-BADEN,6,2.400,P,GR.I,K,0,,,,0,0,0,53.5
,cWNmWU43djZIbDhsSVhzQ3BrWlJ1UT09,17/07/2010,HAMBOURG HORN,2,2.400,P,GR.I,K,0,,,,35.000,0,0,
,cWNmWU43djZIbDhsSVhzQ3BrWlJ1UT09,16/06/2010,ASCOT,5,2.000,P,GR.I,K,0,,,,13.630,0,0,
UEZQbmpCOWpwWml5bC9kUXVaVHFtUT09,cWNmWU43djZIbDhsSVhzQ3BrWlJ1UT09,23/05/2010,PARISLONGCHAMP,3,1.850,P,GR.I,K,58,GESTUT SCHLENDERHAN,HIRSCHBERGER,VRIES,28.575,0,0,
,cWNmWU43djZIbDhsSVhzQ3BrWlJ1UT09,06/09/2009,BADEN-BADEN,4,2.400,P,GR.I,K,0,,,,15.000,0,0,
,cWNmWU43djZIbDhsSVhzQ3BrWlJ1UT09,16/08/2009,FRANCFORT,1,2.400,P,GR.I,K,0,,,,100.000,0,0,
,cWNmWU43djZIbDhsSVhzQ3BrWlJ1UT09,05/07/2009,HAMBOURG HORN,1,2.400,P,GR.I,K,0,,,,300.000,0,0,
