,Place,Cheval,ChevalId,N°,Père/Mère,Écart au précédent,Couleurs,Propriétaire,Entraîneur,Jockey,Poids,Gain,Prim. prop.,Prim. elev.,Suppl.,Œil.,Écurie.,Éleveurs
352,4,behkabad  m.ps. 3 a.,MUFIbDcwdEM1TWVuQXBnckRKL3EvZz09,14.0,Par: CAPE CROSS  et BEHKARA (KRIS),1.5 (Corde:09),,S.A.   AGA KHAN,JC. ROUGET-(S),CHRISTOPHE-PATRICE  LEMAIRE,56 kg,228.400,,8.793,,,3.0,S.A.  AGA KHAN
281,--,truly a dream ire f.ps. 3 a.,MVR3S3I5dlArdUFoeU5HUy92cnI3dz09,0.0,Par: DARSHAAN  et TRULY SPECIAL (CAERLEON),(Corde:19),,R.C.  STRAUSS,ROB. COLLET,MR GUY  GUIGNARD,"54,5kg",,,,,,,RM. AUBERT
260,8,Russian Hope,MW5QQ214MmVTQVFBVG1JWkVaYkthZz09,,,,,,HENRI-ALEX PANTALL,THIERRY JARNET,,,,,,,,
274,--,broadway flyer usa m.ps. 3 a.,MWFpNGd0NUlONzVmNFJXTnZtUWZNQT09,0.0,Par: THEATRICAL  et SERENA (JAN EKELS),(Corde:06),,SULTAN  AL KABEER,SUC. JW. HILLS,MICHAEL  HILLS,56 kg,,,,,,,"STONEREATH FARMS INC., G. PLAYER,SUC. A. PAULSON"
112,7,shaamit ire m.ps.+,MWdFM0xSdlRUanY2YU56bGdNb0N1UT09,8.0,Par: MTOTO  et SHOMOOSE (HABITAT),1/2 (Corde:06),,KHALIFA  DASMAL,WJ. HAGGAS,SUC. PAT  EDDERY,56 kg,,,,,,,K. DASMAL
388,4,golan ire m.ps. 3 a.,Mjh1UWtDdXVuTnBveHBaZ0RWZ0FSZz09,15.0,Par: SPECTRUM  et HIGHLAND GIFT (GENEROUS),CTT (Corde:06),,SUC. LORD  WEINSTOCK,SIR MR. STOUTE,KIEREN-FRANCIS  FALLON,56 kg,91.469,,,,,,BALLYMACOLL STUD FARM LTD
445,3,it's gino ger m.ps. 5 a.,MjlMSlBkbnpHN0NCNXZ3aklVbG5jQT09,9.0,Par: PERUGINO  et IMELDA (LOMITAS),1/2 (Corde:02),,STALL 5 STARS,P. VOVCENKO,MR THIERRY  THULLIEZ,"59,5kg",342.800,,,,,,MME B. NUTTELMANN
26,9,dragon dancer gb m.ps. 4 a.,Mks0bm96Y3ZwNyt2SUp4WE45V1l2Zz09,3.0,Par: SADLER'S WELLS  et ALAKANANDA (HERNANDO),1.5 (Corde:01),,SUC. J.L.C.  PEARCE,SUC. G. WRAGG,DARRYLL-PAUL  HOLLAND,"59,5kg",,,,,,,"MLLE K. RAUSING,  ABBEY BLOODSTOCK LTD"
89,--,set sail ire m.ps. 3 a.,MlN2ZHRiU1VFcFllandZYmh1SFF1dz09,14.0,Par: DANEHILL DANCER  et AHDAAB (RAHY),(Corde:14),,D.SMITH/M.TABOR/MME J.MAGNIER,AP. O'BRIEN,SEAN M.  LEVEY,56 kg,,,,,,1.0,"LYNCH-BAGES LTD,  SAMAC LTD"
437,--,limpid gb m.ps. 3 a.,MlNxdkxLaTV6dm5WcWF2QnNpWHBrUT09,5.0,Par: SOVIET STAR  et ISLE OF GLASS (AFFIRMED),(Corde:10),,CHEIK MOHAMMED  AL MAKTOUM,A. FABRE,THIERRY  JARNET,56 kg,,,,S,,1.0,CHEIK MOBR. AL MAKTOUM
246,14,gold ship jpn m.ps. 5 a.,MlZBWmg3bVdCRmdqQzIxQ0lELzdIUT09,6.0,Par: STAY GOLD  et POINT FLAG (MEJIRO MCQUEEN),T (Corde:02),,KOBAYASHI EIICHI HOLDINGS LLC.,N. SUGAI,NORIHIRO  YOKOYAMA,"59,5kg",,,,,,,E. KOBAYASHI
249,17,ectot (gb) m.ps. 3 a.,Mlp1ejhKMHZENFhrUHlqanc5V3NFZz09,11.0,Par: HURRICANE RUN  et TONNARA (LINAMIX),(Corde:10),,AL SHAQAB RACING,E. LELLOUCHE,GREGORY  BENOIST,56 kg,,,,,,1.0,MONCEAUX / SKYMARC
174,12,tiberian  m.ps. 6 a.,Mm9SblZqMzJiYkUyK3EwNkdVTkJ1QT09,8.0,Par: TIBERIUS CAESAR  et TOAMASINA (MARJU),3/4 (Corde:05),,H.DU LOGIS/H. VOLZ/S. FALK/ATB,A. COUETIL (S),WILLIAM  BUICK,"59,5kg",,,,,,,"EARL  HARAS DU LOGIS, J. INCE, S. FALK, HEL. VOLZ"
236,4,kingston hill gb m.ps. 3 a.,MmZuaHFKMHNuc0RzbHJpN1Z3QUhEZz09,14.0,Par: MASTERCRAFTSMAN  et AUDACIEUSE (RAINBOW QUEST),3/4 (Corde:20),,P.D.  SMITH,R. VARIAN,ANDREA  ATZENI,56 kg,285.500,,,,,,RIDGECOURT STUD
