id,annee,Place,Cheval,ChevalId,N°,Père/Mère,Écart au précédent,Couleurs,Propriétaire,Entraîneur,Jockey,Poids,Gain,Prim. prop.,Prim. elev.,Suppl.,Œil.,Écurie.,Éleveurs
MWlGcFp6YVFvMGRuSURmdUhqeFp5Zz09,2015,16,tapestry ire f.ps. 4 a.,a3ZsWE50QllNQ2p2M1hxM2pUQ2d2QT09,12.0,Par: GALILEO  et RUMPLESTILTSKIN (DANEHILL),15L (Corde:09),,MAGNIER/TABOR/SMITH/FLAXMAN S.,AP. O'BRIEN,JOSEPH PATRICK  O'BRIEN,58 kg,,,,,,,"ORPENDALE,SUC. S. NIARCHOS"
MWlGcFp6YVFvMGRuSURmdUhqeFp5Zz09,2015,17,shahah gb f.ps. 3 a.,ZkZBbmwrWCt6TklKTHgzOCs5bnd5Zz09,17.0,Par: MOTIVATOR  et ELEGANT BEAUTY (OLDEN TIMES),(Corde:02),,AL SHAQAB RACING,MME C. HEAD,GREGORY  BENOIST,"54,5kg",,,,S,,2.0,THE KATHRYN STUD
MWlGcFp6YVFvMGRuSURmdUhqeFp5Zz09,2015,NP,MELEAGROS,SCtLRU5VVkVkK1ZGMjVBamZTWTZFUT09,4.0,CERTIFICAT VETERINAIRE,,,,,,,,,,,,,
M2sxMDRKTkMyZkZ2cW1XMFRvdlFEdz09,2007,1,dylan thomas ire m.ps. 4 a.,c2hTVHkvbXJ6clRTR3UwTlZMRDJOUT09,2.0,Par: DANEHILL  et LAGRION (DIESIS),(Corde:06),,MME JOHN MAGNIER/MICHAEL TABOR,AP. O'BRIEN,KIEREN-FRANCIS  FALLON,"59,5kg",1.142.800,,,,,1.0,TOWER BLOODSTOCK
M2sxMDRKTkMyZkZ2cW1XMFRvdlFEdz09,2007,2,youmzain ire m.ps. 4 a.,NnhGZ1B4bXkxSGtiYVFyMG9pN0cyQT09,1.0,Par: SINNDAR  et SADIMA (SADLER'S WELLS),T (Corde:04),,JABER  ABDULLAH,MR. CHANNON,RICHARD  HUGHES,"59,5kg",457.200,,,,,,F. DUNNE
M2sxMDRKTkMyZkZ2cW1XMFRvdlFEdz09,2007,3,sagara usa m.ps. 3 a.,QU9BR0xQQzRVK3BVSjBVS0tHaWVZUT09,11.0,Par: SADLER'S WELLS  et RANGOON RUBY (KINGMAMBO),1.5 (Corde:11),,FAMILLE  NIARCHOS,JE. PEASE,THIERRY  GILLET,56 kg,228.600,,,,,,FLAXMAN HOLDINGS LTD
M2sxMDRKTkMyZkZ2cW1XMFRvdlFEdz09,2007,4,getaway ger m.ps. 4 a.,OWEvTkFId2VXV0hCOG9oaERMTXE1Zz09,5.0,Par: MONSUN  et GUERNICA (UNFUWAIN),CTT (Corde:10),,BARON GEORG VON ULLMANN,A. FABRE,OLIVIER  PESLIER,"59,5kg",114.200,,,S,,,BARON G.VON ULLMANN
M2sxMDRKTkMyZkZ2cW1XMFRvdlFEdz09,2007,5,soldier of fortune ire m.ps. 3 a.,TlVwdUJtc1N6SEFGZk1aTThYYVRGdz09,10.0,Par: GALILEO  et AFFIANCED (ERINS ISLE),1/2 (Corde:05),,MME J.MAGNIER/D.SMITH/M.TABOR,AP. O'BRIEN,JOHN-PATRICK  MURTAGH,56 kg,57.200,,,,,1.0,JS. BOLGER
M2sxMDRKTkMyZkZ2cW1XMFRvdlFEdz09,2007,6,saddex (gb) m.ps. 4 a.,cHFPQXFzVytvaGpaTXN5WTN2WjRTdz09,4.0,Par: SADLER'S WELLS  et REMOTE ROMANCE (IRISH RIVER),4.L (Corde:02),,STALL AVENA,P. RAU,MR TORSTEN  MUNDRY,"59,5kg",,,,,,,SUC. S. NIARCHOS
M2sxMDRKTkMyZkZ2cW1XMFRvdlFEdz09,2007,7,mandesha  f.ps. 4 a.,c2l4MEFnMXRsRHkvRnJLeVk2dXNCQT09,6.0,Par: DESERT STYLE  et MANDALARA (LAHIB),3/4 (Corde:03),,PCSSE ZAHRA  AGA KHAN,A.DE ROYER DUPRE,CHRISTOPHE  SOUMILLON,58 kg,,,,,,,PCSSE Z. AGA KHAN
M2sxMDRKTkMyZkZ2cW1XMFRvdlFEdz09,2007,8,zambezi sun gb m.ps. 3 a.,L1Z1bVhvZ3VMNlQ5eDdOYVJVRXU2dz09,7.0,Par: DANSILI  et IMBABALA (ZAFONIC),2.5 (Corde:08),,SUC. KHALID  ABDULLAH,P. BARY (S),STEPHANE  PASQUIER,56 kg,,,,,,,JUDDMONTE FARMS IRELAND
M2sxMDRKTkMyZkZ2cW1XMFRvdlFEdz09,2007,9,dragon dancer gb m.ps. 4 a.,Mks0bm96Y3ZwNyt2SUp4WE45V1l2Zz09,3.0,Par: SADLER'S WELLS  et ALAKANANDA (HERNANDO),1.5 (Corde:01),,SUC. J.L.C.  PEARCE,SUC. G. WRAGG,DARRYLL-PAUL  HOLLAND,"59,5kg",,,,,,,"MLLE K. RAUSING,  ABBEY BLOODSTOCK LTD"
M2sxMDRKTkMyZkZ2cW1XMFRvdlFEdz09,2007,10,authorized ire m.ps. 3 a.,MGVYS2YwbTVFUHpuMmlSejNvOUNYQT09,12.0,Par: MONTJEU  et FUNSIE (SAUMAREZ),CTE (Corde:12),,SALEH AL HOMAIZI/IMAD AL SAGAR,PW. CHAPPLE-HYAM,LANFRANCO  DETTORI,56 kg,,,,,,,"MARENGO INVESTMENTS LIMITED,  KNIGHTON HOUSE LTD, MJ. KINANE"
M2sxMDRKTkMyZkZ2cW1XMFRvdlFEdz09,2007,--,SONG OF HIAWATHA GB M.PS. 3 a.,OUFyT1lLKzMxNVBUVG5oSk4xME9JUT09,8.0,Par: SADLER'S WELLS  et SABRIA (MISWAKI),(Corde:07),,D.SMITH/M.TABOR/MME J.MAGNIER,AP. O'BRIEN,DAVID  MC CABE,56 kg,,,,S,,1.0,ROCKWELL BLOODSTOCK
M2sxMDRKTkMyZkZ2cW1XMFRvdlFEdz09,2007,--,yellowstone ire m.ps. 3 a.,QkdLOENhdzBPbllkcm50WWtyVW13Zz09,9.0,Par: ROCK OF GIBRALTAR  et LOVE AND AFFECTION (EXCLUSIVE ERA),(Corde:09),,M.TABOR/MME J.MAGNIER/D.SMITH,AP. O'BRIEN,SUC. PATRICK JOSEPH  SMULLEN,56 kg,,,,,,1.0,TULLAMAINE CASTLE STUD & PARTN
NnJNYW1oY1JuTmNlUi9Wa2NaNXpsQT09,2016,1,found ire f.ps. 4 a.,RjBiUHlWMCs1OFJJb3NOd09HdytWdz09,10.0,Par: GALILEO  et RED EVIE (INTIKHAB),(Corde:12),,M.TABOR/D.SMITH/MME J.MAGNIER,AP. O'BRIEN,RYAN-LEE  MOORE,58 kg,2.857.000,,,,,,"RON CON LTD,  WYNATT,  CHELSTON (IRELAND)"
NnJNYW1oY1JuTmNlUi9Wa2NaNXpsQT09,2016,2,highland reel ire m.ps. 4 a.,QUZJRXFPMDJrZGhUM2J2anJBbjlvdz09,4.0,Par: GALILEO  et HVEGER (DANEHILL),7/4 (Corde:11),,D.SMITH/MME J.MAGNIER/M.TABOR,AP. O'BRIEN,JAMES-ANTHONY  HEFFERNAN,"59,5kg",1.143.000,,,,,,HVEGER SYNDICATE
NnJNYW1oY1JuTmNlUi9Wa2NaNXpsQT09,2016,3,order of st george ire m.ps. 4 a.,SXFsNEYvUmtRVERCV2RSeE93Skl6UT09,8.0,Par: GALILEO  et ANOTHER STORM (GONE WEST),1.5 (Corde:16),,WILLIAMS/MAGNIER/TABOR/SMITH,AP. O'BRIEN,LANFRANCO  DETTORI,"59,5kg",571.500,,,,,,PAGET BLOODSTOCK
