id,annee,Place,Cheval,ChevalId,N°,Père/Mère,Écart au précédent,Couleurs,Propriétaire,Entraîneur,Jockey,Poids,Gain,Prim. prop.,Prim. elev.,Suppl.,Œil.,Écurie.,Éleveurs
TVNuUy9QTG8zRis1WWg3bWdHYm5sdz09,2006,3,hurricane run ire m.ps. 4 a.,NXhNQ3U3NHhTQ1k4ZU9tSTc5Qmprdz09,2.0,Par: MONTJEU  et HOLD ON (SURUMU),2.5 (Corde:01),,M.TABOR/D.SMITH/S.MAGNIER,A. FABRE,KIEREN-FRANCIS  FALLON,"59,5kg",228.600,,,,,,GESTUT AMMERLAND
TVNuUy9QTG8zRis1WWg3bWdHYm5sdz09,2006,4,best name gb m.ps. 3 a.,K3JEdDhSdVhKdENiTUZtUzllY0JuQT09,8.0,Par: KING'S BEST  et FLAWLY (OLD VIC),2.L (Corde:03),,SUC. PAUL  VIDAL,ROB. COLLET,OLIVIER  PESLIER,56 kg,114.200,,,,,,NEWSELLS PARK STUD
TVNuUy9QTG8zRis1WWg3bWdHYm5sdz09,2006,5,irish wells  m.ps. 3 a.,ekhsYzRqakZGTE1oOTR6SjBlSmQ5Zz09,7.0,Par: POLIGLOTE  et SIGN OF THE VINE (KENDOR),CTE (Corde:07),,BEREND  VAN DALFSEN,F. ROHAUT (S),MR DOMINIQUE  BOEUF,56 kg,57.200,,4.404,,,,EIGHT INTERNATIONAL RACING LTD
TVNuUy9QTG8zRis1WWg3bWdHYm5sdz09,2006,6,sixties icon gb m.ps. 3 a.,WlJ2TStIa2d5ODFaTDFqRk5sbG8xZz09,6.0,Par: GALILEO  et LOVE DIVINE (DIESIS),4.L (Corde:08),,MME SUSAN  ROY,J. NOSEDA,LANFRANCO  DETTORI,56 kg,,,,S,,,LORDSHIP STUD LIMITED
TVNuUy9QTG8zRis1WWg3bWdHYm5sdz09,2006,7,shirocco ger m.ps. 5 a.,UE5CN0FVb2pEckhpVU1NeWNFNHNDQT09,3.0,Par: MONSUN  et SO SEDULOUS (THE MINSTREL),1.5 (Corde:06),,BARON GEORG VON ULLMANN,A. FABRE,CHRISTOPHE  SOUMILLON,"59,5kg",,,,,,,BARON G.VON ULLMANN
TVNuUy9QTG8zRis1WWg3bWdHYm5sdz09,2006,DI,deep impact jpn m.ps. 4 a.,YW1OcVc4TjVIS251TndRQU52YUpwZz09,1.0,Par: SUNDAY SILENCE  et WIND IN HER HAIR (ALZAO),1/2 (Corde:02),,KANEKO MAKOTO HOLDINGS CO. LTD,Y. IKEE,YUTAKA  TAKE,"59,5kg",,,,,,,NORTHERN FARM
YmwwSDJwc1ZINkhOVUQ0d2JvbUFyUT09,2009,1,sea the stars ire m.ps. 3 a.,c3NOZGpYL21vTnJBVXo4NXJaZWdRdz09,18.0,Par: CAPE CROSS  et URBAN SEA (MISWAKI),(Corde:06),,CHRISTOPHER  TSUI,J. OXX,MR MICHAEL J.  KINANE,56 kg,2.285.600,,,,,,SUNDERLAND HOLDING INC.
YmwwSDJwc1ZINkhOVUQ0d2JvbUFyUT09,2009,2,youmzain ire m.ps. 6 a.,NnhGZ1B4bXkxSGtiYVFyMG9pN0cyQT09,1.0,Par: SINNDAR  et SADIMA (SADLER'S WELLS),2.L (Corde:01),,JABER  ABDULLAH,MR. CHANNON,KIEREN-FRANCIS  FALLON,"59,5kg",914.400,,,,,,F. DUNNE
YmwwSDJwc1ZINkhOVUQ0d2JvbUFyUT09,2009,3,cavalryman gb m.ps. 3 a.,U3VRd1hQLzVTU3hVRW9iTkVCTVlkUT09,16.0,Par: HALLING  et SILVERSWORD (HIGHEST HONOR),T (Corde:19),,DARLEY SNC,A. FABRE,LANFRANCO  DETTORI,56 kg,457.200,,,S,,,DARLEY STUD MANAGEMENT CO. LTD
YmwwSDJwc1ZINkhOVUQ0d2JvbUFyUT09,2009,4,conduit ire m.ps. 4 a.,SXRnUEJUcVJTcjZpSkY2ZHJCZzZsQT09,2.0,Par: DALAKHANI  et WELL HEAD (SADLER'S WELLS),T (Corde:12),,BALLYMACOLL STUD FARM LTD,SIR MR. STOUTE,RYAN-LEE  MOORE,"59,5kg",228.400,,,,,,BALLYMACOLL STUD FARM LTD
YmwwSDJwc1ZINkhOVUQ0d2JvbUFyUT09,2009,5,dar re mi gb f.ps. 4 a.,ekZpcjZmZk0wQ3dudmlQTGpnc2M1dz09,10.0,Par: SINGSPIEL  et DARARA (TOP VILLE),1.L (Corde:02),,LORD   LLOYD WEBBER,J. GOSDEN,JIMMY  FORTUNE,58 kg,114.400,,,,,,WATERSHIP DOWN STUD
YmwwSDJwc1ZINkhOVUQ0d2JvbUFyUT09,2009,6,fame and glory gb m.ps. 3 a.,UE15eDlDeGYrMHBMcDRYTEJZaHk3dz09,15.0,Par: MONTJEU  et GRYADA (SHIRLEY HEIGHTS),1.L (Corde:10),,D.SMITH/MME J.MAGNIER/M.TABOR,AP. O'BRIEN,JOHN-PATRICK  MURTAGH,56 kg,,,,,,1.0,"PTARMIGAN BLOODSTOCK LTD,MLLE K. RAUSING"
YmwwSDJwc1ZINkhOVUQ0d2JvbUFyUT09,2009,7,la boum ger f.ps. 6 a.,THhiOWRPeDdkdHRkMFpuSkdhRDZGUT09,12.0,Par: MONSUN  et LA BOUCHE (IN THE WINGS),1/2 (Corde:08),,EMMANUEL  TRUSSARDI,ROB. COLLET (S),THIERRY  JARNET,58 kg,,,,,,,GESTUT KARLSHOF
YmwwSDJwc1ZINkhOVUQ0d2JvbUFyUT09,2009,7,stacelita  f.ps. 3 a.,bE9rbXV0dDVxcEtrSzMrUmo1dzBJQT09,19.0,Par: MONSUN  et SOIGNEE (DASHING BLADE),1/2 (Corde:16),,M.SCHWARTZ/ECURIE MONASTIC,JC. ROUGET-(S),CHRISTOPHE  SOUMILLON,"54,5kg",,,,S,,,JPJ. DUBOIS
YmwwSDJwc1ZINkhOVUQ0d2JvbUFyUT09,2009,9,magadan ire m.ps. 4 a.,OUdvYWhXcTdneHpmSGVNc3ZaMERxZz09,4.0,Par: HIGH CHAPARRAL  et MOLASSES (MACHIAVELLIAN),3/4 (Corde:17),,ECURIE WILDENSTEIN,E. LELLOUCHE,ANTHONY  CRASTUS,"59,5kg",,,,,,,KILCARN STUD
YmwwSDJwc1ZINkhOVUQ0d2JvbUFyUT09,2009,10,vision d'etat  m.ps.+,RkdjY3JKQldKa3lmQjkxaTkxNGYxUT09,3.0,Par: CHICHICASTENANGO  et UBERABA (GARDE ROYALE),1/2 (Corde:09),,JACQUES  DETRE,E. LIBAUD,OLIVIER  PESLIER,"59,5kg",,,,,,,SUC. G. GILLES
YmwwSDJwc1ZINkhOVUQ0d2JvbUFyUT09,2009,--,the bogberry usa m.ps. 4 a.,SlFKWldCajFReWxLNG1wbnNYbldDZz09,5.0,Par: HAWK WING  et LAHINCH (DANEHILL DANCER),(Corde:18),,SERGEY  EFROS,A.DE ROYER DUPRE,MAGOMET A.  KAPPUSHEV,"59,5kg",,,,,,,MARCH THOROUGHBREDS
YmwwSDJwc1ZINkhOVUQ0d2JvbUFyUT09,2009,--,steele tango usa m.ps. 4 a.,TWNvYXlyZytKS1pqaGpVbG01bE1LQT09,6.0,Par: OKAWANGO  et WALTZING AROUND (ELA MANA MOU),(Corde:07),,THE THIRTY ACRE RACING PARTNER,RA. TEAL,DARRYLL-PAUL  HOLLAND,"59,5kg",,,,,,,T. ZWIESLER
YmwwSDJwc1ZINkhOVUQ0d2JvbUFyUT09,2009,--,getaway ger m.ps. 6 a.,OWEvTkFId2VXV0hCOG9oaERMTXE1Zz09,7.0,Par: MONSUN  et GUERNICA (UNFUWAIN),(Corde:03),,BARON GEORG VON ULLMANN,J. HIRSCHBERGER,STEPHANE  PASQUIER,"59,5kg",,,,,,,BARON G.VON ULLMANN
YmwwSDJwc1ZINkhOVUQ0d2JvbUFyUT09,2009,--,TULLAMORE USA M.PS. 4 a.,aElqYUloS2ZkRzRIVFZXUmpBRTlRUT09,8.0,Par: THEATRICAL  et BUNGALOW (LORD AVIE),(Corde:13),,YOKO CZ S.R.O.,Z. KOPLIK,VACLAV  JANACEK,"59,5kg",,,,,,,"HL. VANIER,MME N. VANIER,  THEATRICAL SYNDICATE"
YmwwSDJwc1ZINkhOVUQ0d2JvbUFyUT09,2009,--,hot six brz m.ps. 4 a.,WTh4VFBlSHE5RWZCZEh2OFFWRmxGUT09,9.0,Par: BUROOJ  et BABYSIX (WITH APPROVAL),(Corde:04),,ESTRELA ENERGIA STABLES,G. DUARTE,TIAGO JOSUE  PEREIRA,59 kg,,,,,,,HARAS J.B. BARROS
YmwwSDJwc1ZINkhOVUQ0d2JvbUFyUT09,2009,--,tangaspeed  f.ps. 4 a.,T21FMkpQRDZnRzYvZXRZRHR5VUFCdz09,11.0,Par: VERTICAL SPEED  et FITANGA (FIJAR TANGO),(Corde:11),,R.PIRES/MME L.GAGNEUX,ROB. LAPLANCHE,IORITZ  MENDIZABAL,58 kg,,,,,,,MME L. GAGNEUX
YmwwSDJwc1ZINkhOVUQ0d2JvbUFyUT09,2009,--,carthage  m.ps. 3 a.,d0VXamJZZGlFTjVNY2pXbFRYRWRJUT09,13.0,Par: PEINTRE CELEBRE  et BEHKARA (KRIS),(Corde:15),,S.A.   AGA KHAN,A.DE ROYER DUPRE,GERALD  MOSSE,56 kg,,,,,,,S.A.  AGA KHAN
YmwwSDJwc1ZINkhOVUQ0d2JvbUFyUT09,2009,--,set sail ire m.ps. 3 a.,MlN2ZHRiU1VFcFllandZYmh1SFF1dz09,14.0,Par: DANEHILL DANCER  et AHDAAB (RAHY),(Corde:14),,D.SMITH/M.TABOR/MME J.MAGNIER,AP. O'BRIEN,SEAN M.  LEVEY,56 kg,,,,,,1.0,"LYNCH-BAGES LTD,  SAMAC LTD"
YmwwSDJwc1ZINkhOVUQ0d2JvbUFyUT09,2009,--,grand ducal ire m.ps. 3 a.,UTBLamNvYSs0QnZrWHJESXc2WDVkZz09,17.0,Par: DANEHILL DANCER  et MOOD SWINGS (SHIRLEY HEIGHTS),(Corde:05),,MME J. MAGNIER/M.TABOR/D.SMITH,AP. O'BRIEN,SUC. PATRICK JOSEPH  SMULLEN,56 kg,,,,,,1.0,"A. STROUD, JF. HANLY"
eXJuK0wwOUJJSTVvUjdIcUR3ZWtMdz09,2005,1,hurricane run ire m.ps. 3 a.,NXhNQ3U3NHhTQ1k4ZU9tSTc5Qmprdz09,13.0,Par: MONTJEU  et HOLD ON (SURUMU),(Corde:06),,M.TABOR/D.SMITH/S.MAGNIER,A. FABRE,KIEREN-FRANCIS  FALLON,56 kg,1.028.520,,,,,2.0,GESTUT AMMERLAND
eXJuK0wwOUJJSTVvUjdIcUR3ZWtMdz09,2005,2,westerner (gb) m.ps. 6 a.,NkRXM3c5TUloZ3BMSExvbkdyS2g4QT09,2.0,Par: DANEHILL  et WALENSEE (TROY),2.L (Corde:04),,ECURIE WILDENSTEIN,E. LELLOUCHE,OLIVIER  PESLIER,"59,5kg",411.480,,35.204,,,1.0,DAYTON INVESTMENTS LTD
eXJuK0wwOUJJSTVvUjdIcUR3ZWtMdz09,2005,3,bago  m.ps. 4 a.,NzJIVnlBNlFhRzlic3JDWmFTZ1M5dz09,5.0,Par: NASHWAN  et MOONLIGHT'S BOX (NUREYEV),1.5 (Corde:13),,FAMILLE  NIARCHOS,JE. PEASE,THIERRY  GILLET,"59,5kg",205.740,,17.602,,,,SUC. S. NIARCHOS
eXJuK0wwOUJJSTVvUjdIcUR3ZWtMdz09,2005,4,shirocco ger m.ps. 4 a.,UE5CN0FVb2pEckhpVU1NeWNFNHNDQT09,7.0,Par: MONSUN  et SO SEDULOUS (THE MINSTREL),3/4 (Corde:15),,BARON GEORG VON ULLMANN,A. FABRE,STEPHANE  PASQUIER,"59,5kg",102.780,,,,,,BARON G.VON ULLMANN
eXJuK0wwOUJJSTVvUjdIcUR3ZWtMdz09,2005,5,motivator gb m.ps. 3 a.,VnlRVW1Ic29FNlUyWENoZlk2a3JDZz09,12.0,Par: MONTJEU  et OUT WEST (GONE WEST),CTT (Corde:08),,ROYAL ASCOT RACING CLUB,MLW. BELL,JOHN-PATRICK  MURTAGH,56 kg,51.480,,,,,,DEERFIELD FARM
eXJuK0wwOUJJSTVvUjdIcUR3ZWtMdz09,2005,6,shawanda ire f.ps. 3 a.,ZEwrQmZLa2NhOUQ4emlFVkdUZTlZUT09,15.0,Par: SINNDAR  et SHAMAWNA (DARSHAAN),1.5 (Corde:01),,S.A.   AGA KHAN,A.DE ROYER DUPRE,CHRISTOPHE  SOUMILLON,"54,5kg",,,,,,3.0,S.A.  AGA KHAN
eXJuK0wwOUJJSTVvUjdIcUR3ZWtMdz09,2005,7,pride  f.ps. 5 a.,Ymhld1Y4K1B0Ni81bEU2akFBK0MyZz09,8.0,Par: PEINTRE CELEBRE  et SPECIFICITY (ALLEGED),1.5 (Corde:14),,FAIR SALINIA LTD,A.DE ROYER DUPRE,CHRISTOPHE-PATRICE  LEMAIRE,58 kg,,,,,,,FAIR SALINIA LTD
eXJuK0wwOUJJSTVvUjdIcUR3ZWtMdz09,2005,8,warrsan ire m.ps. 7 a.,MFgydTJBQmZoaUdDTVZKaTdDUkFCUT09,4.0,Par: CAERLEON  et LUCAYAN PRINCESS (HIGH LINE),1.5 (Corde:02),,SAEED  MANANA,CE. BRITTAIN,KERRIN  MCEVOY,"59,5kg",,,,,,,S. MANANA
eXJuK0wwOUJJSTVvUjdIcUR3ZWtMdz09,2005,9,mubtaker usa m.ps. 8 a.,dWFMZFVIYkVPaHBSMlNDM1BlbVNLQT09,1.0,Par: SILVER HAWK  et GAZAYIL (IRISH RIVER),3.L (Corde:09),,SHADWELL FRANCE,MP. TREGONING,RICHARD-JAMES  HILLS,"59,5kg",,,,,,,WW. ROSENTHAL
eXJuK0wwOUJJSTVvUjdIcUR3ZWtMdz09,2005,10,scorpion ire m.ps. 3 a.,K2tUZEFqcU5ZREVYZ0tvMlNLUXo0dz09,11.0,Par: MONTJEU  et ARDMELODY (LAW SOCIETY),1.5 (Corde:10),,MME JOHN MAGNIER/MICHAEL TABOR,AP. O'BRIEN,MR MICHAEL J.  KINANE,56 kg,,,,,,2.0,GRANGEMORE STUD
eXJuK0wwOUJJSTVvUjdIcUR3ZWtMdz09,2005,--,cherry mix  m.ps. 4 a.,QmV0ckRkNXI0Q0JseWNnMDhsQVNxdz09,3.0,Par: LINAMIX  et CHERRY MOON (QUIET AMERICAN),(Corde:11),,GODOLPHIN,S. BIN SUROOR,LANFRANCO  DETTORI,"59,5kg",,,,,,,SNC  LAGARDERE ELEVAGE
eXJuK0wwOUJJSTVvUjdIcUR3ZWtMdz09,2005,--,norse dancer ire m.ps. 5 a.,clRYN3ZBc0RQb2JoTEdUSHJZamthUT09,6.0,Par: HALLING  et RIVER PATROL (ROUSILLON),(Corde:05),,JEFFREY COLIN  SMITH,DRC. ELSWORTH,JOHN  EGAN,"59,5kg",,,,,,,"B. FAUST, R. ERGNST"
eXJuK0wwOUJJSTVvUjdIcUR3ZWtMdz09,2005,--,samando  f.ps.+,Zk85ZCtxNkpUaUhtSm0xOVVwSTZBQT09,9.0,Par: HERNANDO  et SAMSHU (NASHWAN),(Corde:03),,HANS  WIRTH,F. DOUMEN (S),TERENCE  HELLIER,58 kg,,,,,,,B. ROOT
eXJuK0wwOUJJSTVvUjdIcUR3ZWtMdz09,2005,--,voltmeter (ire) m.ps. 3 a.,enhhcm8wMHljS0QrQ1pZSDVoUzNYUT09,10.0,Par: GIANT'S CAUSEWAY  et VERVEINE (LEAR FAN),(Corde:12),,ECURIE WILDENSTEIN,E. LELLOUCHE,MR THIERRY  THULLIEZ,56 kg,,,,,,1.0,DAYTON INVESTMENTS LTD
eXJuK0wwOUJJSTVvUjdIcUR3ZWtMdz09,2005,--,windya  f.ps. 3 a.,V0pnQWFmbjdyM2hGREtoWmk5UnpXdz09,14.0,Par: LINAMIX  et WINDY GULCH (GULCH),(Corde:07),,H.H.   AGA KHAN,JC. ROUGET-(S),THIERRY  JARNET,"54,5kg",,,,S,,3.0,SNC  LAGARDERE ELEVAGE
VmdtNEFzbExvWVlVNmhsVjJvVndjUT09,1996,1,helissio  m.ps. 3 a.,NVRMa3p3MjduelJRSUxRRU0vU2xQZz09,14.0,Par: FAIRY KING  et HELICE (SLEWPY),(Corde:05),,SUC. ENRIQUE  SARASOLA,E. LELLOUCHE,OLIVIER  PESLIER,56 kg,609.796,,95.281,,,,ECURIE SKYMARC FARM
VmdtNEFzbExvWVlVNmhsVjJvVndjUT09,1996,2,pilsudski ire m.ps. 4 a.,T1FSUTdXMWFzaEhxc2lINnVXTFFHZz09,5.0,Par: POLISH PRECEDENT  et COCOTTE (TROY),5.L (Corde:10),,LORD WEINSTOCK/SUC S.WEINSTOCK,SIR MR. STOUTE,MR WALTER-ROBERT  SWINBURN,"59,5kg",243.918,,,,,,BALLYMACOLL STUD FARM LTD
VmdtNEFzbExvWVlVNmhsVjJvVndjUT09,1996,3,oscar schindler ire m.ps. 4 a.,ZUNocmNGWVFTME9hN24zRjFwQy9MZz09,4.0,Par: ROYAL ACADEMY  et SARADAY (NORTHFIELDS),CTE (Corde:11),,OLIVER  LEHANE,K. PRENDERGAST,CASH  ASMUSSEN,"59,5kg",121.959,,,,,,O. LEHANE
VmdtNEFzbExvWVlVNmhsVjJvVndjUT09,1996,4,swain ire m.ps. 4 a.,ZWhsREtNSWVCN0FBVUlKcmhUR2szQT09,1.0,Par: NASHWAN  et LOVE SMITTEN (KEY TO THE MINT),1.L (Corde:13),,CHEIK MOHAMMED  AL MAKTOUM,A. FABRE,THIERRY  JARNET,"59,5kg",60.98,,,,,1.0,CHEIK MOBR. AL MAKTOUM
VmdtNEFzbExvWVlVNmhsVjJvVndjUT09,1996,5,luna wells (ire) f.ps. 3 a.,eGZRRkMybVdVeEJBZnlVVnU1ZDczZz09,15.0,Par: SADLER'S WELLS  et LUNADIX (BRETON),1.5 (Corde:09),,SNC   LAGARDERE ELEVAGE,A. FABRE,MR THIERRY  THULLIEZ,"54,5kg",30.49,,4.764,,,,SNC  LAGARDERE ELEVAGE
VmdtNEFzbExvWVlVNmhsVjJvVndjUT09,1996,6,le destin  m.ps. 3 a.,TVVVTlREMCtHTGlhVDY2eTVOQWgwZz09,12.0,Par: ZAYYANI  et MY DARLING (ELA MANA MOU),3/4 (Corde:01),,MICHEL  DEBEUSSCHER,P. DEMERCASTEL,MR DOMINIQUE  BOEUF,56 kg,,,,,,,"M. DEBEUSSCHER, JC. DEBEUSSCHER"
VmdtNEFzbExvWVlVNmhsVjJvVndjUT09,1996,7,shaamit ire m.ps.+,MWdFM0xSdlRUanY2YU56bGdNb0N1UT09,8.0,Par: MTOTO  et SHOMOOSE (HABITAT),1/2 (Corde:06),,KHALIFA  DASMAL,WJ. HAGGAS,SUC. PAT  EDDERY,56 kg,,,,,,,K. DASMAL
VmdtNEFzbExvWVlVNmhsVjJvVndjUT09,1996,8,leeds (ire) m.ps.+,R2VBaHVicytuVkNpN2pZYzNWdWlNZz09,6.0,Par: LAW SOCIETY  et MISS PERSIA (PERSIAN BOLD),1/2 (Corde:08),,SUC. ROLAND  SOULA,SUC. H. VAN DE POELE,OLIVIER  DOLEUZE,"59,5kg",,,,,,,SUC. R. SOULA
VmdtNEFzbExvWVlVNmhsVjJvVndjUT09,1996,9,leonila ire f.ps. 3 a.,SWlKZFJ5a3FkSGdDcHdmQVo4RmowQT09,16.0,Par: CAERLEON  et DINALINA (TOP VILLE),CTT (Corde:04),,R.C.  STRAUSS,ROB. COLLET,MR GUY  GUIGNARD,"54,5kg",,,,,,,KILFRUSH STUD FARM
VmdtNEFzbExvWVlVNmhsVjJvVndjUT09,1996,10,pentire gb m.ps. 4 a.,VUpUUWx4a3QyTmpiVVZzT0JoK3Q4QT09,7.0,Par: BE MY GUEST  et GULL NOOK (MILL REEF),1.L (Corde:07),,TERUYA  YOSHIDA,SUC. G. WRAGG,MICHAEL  HILLS,"59,5kg",,,,,,,LORD  HALIFAX
VmdtNEFzbExvWVlVNmhsVjJvVndjUT09,1996,--,tamure ire m.ps. 4 a.,WXJuYlN5MGZ6clFyZmhvQjJ0RklVUT09,2.0,Par: SADLER'S WELLS  et THREE TAILS (BLAKENEY),(Corde:14),,CHEIK MOHAMMED  AL MAKTOUM,J. GOSDEN,MR FREDERIC  HEAD,"59,5kg",,,,,,1.0,CHEIK MOBR. AL MAKTOUM
VmdtNEFzbExvWVlVNmhsVjJvVndjUT09,1996,--,classic cliche ire m.ps. 4 a.,VUEzZ2xMNUZZd0ZBb2dvU2VHOWtDZz09,3.0,Par: SALSE  et PATO (HIGH TOP),(Corde:12),,GODOLPHIN,S. BIN SUROOR,LANFRANCO  DETTORI,"59,5kg",,,,,,1.0,LORD  MATTHEWS
VmdtNEFzbExvWVlVNmhsVjJvVndjUT09,1996,--,radevore gb m.ps. 3 a.,cE5pUUoxSitwdGM5STNUR3VmUGV5UT09,9.0,Par: GENEROUS  et BLOUDAN (DAMASCUS),(Corde:02),,SUC. KHALID  ABDULLAH,A. FABRE,MR SYLVAIN  GUILLOT,56 kg,,,,,,,JUDDMONTE FARMS IRELAND
VmdtNEFzbExvWVlVNmhsVjJvVndjUT09,1996,--,darazari ire m.ps. 3 a.,bEVjQ24rSEsvSENHckljazNxc2Q5Zz09,10.0,Par: SADLER'S WELLS  et DARARA (TOP VILLE),(Corde:16),,S.A.   AGA KHAN,A.DE ROYER DUPRE,GERALD  MOSSE,56 kg,,,,,,,S.A.  AGA KHAN
VmdtNEFzbExvWVlVNmhsVjJvVndjUT09,1996,--,zagreb usa m.ps. 3 a.,MHNITFFMYS9OR2g5Vkt2RHl6OHpPQT09,13.0,Par: THEATRICAL  et SOPHONISBE (WOLLOW),(Corde:03),,SUC. ALLEN  PAULSON,DK. WELD,MR MICHAEL J.  KINANE,56 kg,,,,,,,SUC. A. PAULSON
VmdtNEFzbExvWVlVNmhsVjJvVndjUT09,1996,TB,polaris flight usa m.ps. 3 a.,dUJXR1p5ci8wNnNDazZ5R0NxengyUT09,11.0,Par: NORTHERN FLAGSHIP  et ANYTIMEATALL (IT'S FREEZING),(Corde:15),,MITAAB  BIN ABDULLAH,PW. CHAPPLE-HYAM,MR JOHN-ANDREW  REID,56 kg,,,,,,,B. VAN DEN DOOL
Tmg4UnR3VzdQNEFSVjNqNjBVMlc5QT09,2012,1,solemia (ire) f.ps. 4 a.,c3NrdkxkRTJ2bnpBU1Jkckt1M2VkQT09,10.0,Par: POLIGLOTE  et BROOKLYN'S DANCE (SHIRLEY HEIGHTS),(Corde:06),,WERTHEIMER & FRERE,C. LAFFON-PARIAS,OLIVIER  PESLIER,58 kg,2.285.600,,87.995,,,,WERTHEIMER & FRERE
Tmg4UnR3VzdQNEFSVjNqNjBVMlc5QT09,2012,2,orfevre jpn m.ps. 4 a.,V0swazNFZzMvaCtad3ZUNTdiNmRVUT09,6.0,Par: STAY GOLD  et ORIENTAL ART (MEJIRO MCQUEEN),ENC (Corde:18),,SUNDAY RACING CO. LTD,Y. IKEE,CHRISTOPHE  SOUMILLON,"59,5kg",914.400,,,,,,SHADAI CORPORATION INC
Tmg4UnR3VzdQNEFSVjNqNjBVMlc5QT09,2012,3,masterstroke usa m.ps. 3 a.,eXB6YklZaWpoeitGVlN5Tko5MWdyQT09,14.0,Par: MONSUN  et MELIKAH (LAMMTARRA),7.L (Corde:17),,DARLEY SNC,A. FABRE,MICKAEL  BARZALONA,56 kg,457.200,,,,,,DARLEY STUD MANAGEMENT CO. LTD
Tmg4UnR3VzdQNEFSVjNqNjBVMlc5QT09,2012,4,haya landa  f.ps. 4 a.,alJjOVppdmZJZ2RTaGZFMmVqZVZlUT09,9.0,Par: LANDO  et HAYA SAMMA (PIVOTAL),1.L (Corde:01),,MME ODETTE  FAU,MME L. AUDON,FRANCK  BLONDEL,58 kg,228.400,,8.793,,,,MME O. FAU
Tmg4UnR3VzdQNEFSVjNqNjBVMlc5QT09,2012,5,yellow and green gb f.ps.+,YjIyaXo3a0RGVVNLMjZZVlFacjkyUT09,17.0,Par: MONSUN  et GREEN SWALLOW (GREEN TUNE),1/2 (Corde:03),,S.A. CHEIKH ABDULLAH BIN KHALIFA  AL THA,N. CLEMENT (S),MR THIERRY  THULLIEZ,"54,5kg",114.400,,,,,,NEWSELLS PARK STUD
Tmg4UnR3VzdQNEFSVjNqNjBVMlc5QT09,2012,6,great heavens gb f.ps. 3 a.,TFZLdHZSZEpvVkVNSzlxeWM5dm4vZz09,18.0,Par: GALILEO  et MAGNIFICIENT STYLE (SILVER HAWK),2.5 (Corde:07),,SUC. LADY  ROTHSCHILD,J. GOSDEN,WILLIAM  BUICK,"54,5kg",,,,S,,,KINCORTH INVESTMENTS INC
Tmg4UnR3VzdQNEFSVjNqNjBVMlc5QT09,2012,7,camelot gb m.ps. 3 a.,TjEyUFdzSXRsMGdXaXRCcXZWN3gydz09,13.0,Par: MONTJEU  et TARFAH (KINGMAMBO),1.L (Corde:05),,D.SMITH/M.TABOR/MME J.MAGNIER,AP. O'BRIEN,LANFRANCO  DETTORI,56 kg,,,,,,1.0,CHEIK A. AL KHALIFA
Tmg4UnR3VzdQNEFSVjNqNjBVMlc5QT09,2012,8,sea moon gb m.ps. 4 a.,UjRyVVZ3Zi9RSk54WEs0M21IRVB2Zz09,1.0,Par: BEAT HOLLOW  et EVA LUNA (ALLEGED),NEZ (Corde:16),,SUC. KHALID  ABDULLAH,SIR MR. STOUTE,RYAN-LEE  MOORE,"59,5kg",,,,,,,JUDDMONTE FARMS IRELAND
Tmg4UnR3VzdQNEFSVjNqNjBVMlc5QT09,2012,9,shareta (ire) f.ps. 4 a.,Y0pQOFZiSnRDb0syczM2cDdvWjNNdz09,8.0,Par: SINNDAR  et SHAWARA (BARATHEA),T (Corde:11),,S.A.   AGA KHAN,A.DE ROYER DUPRE,CHRISTOPHE-PATRICE  LEMAIRE,58 kg,,,,,,2.0,S.A.  AGA KHAN
Tmg4UnR3VzdQNEFSVjNqNjBVMlc5QT09,2012,10,bayrir  m.ps. 3 a.,bCtPVWJoQTlRMFNRSG8xd01DdGpuQT09,11.0,Par: MEDICEAN  et BALANKIYA (DARSHAAN),2.5 (Corde:14),,S.A.   AGA KHAN,A.DE ROYER DUPRE,GERALD  MOSSE,56 kg,,,,S,,2.0,S.A.  AGA KHAN
Tmg4UnR3VzdQNEFSVjNqNjBVMlc5QT09,2012,--,st nicholas abbey ire m.ps. 5 a.,dldoMUVGaE40ZlJLN21YaWkwdXhUQT09,2.0,Par: MONTJEU  et LEAPING WATER (SURE BLADE),(Corde:10),,D.SMITH/MME J.MAGNIER/M.TABOR,AP. O'BRIEN,JOSEPH PATRICK  O'BRIEN,"59,5kg",,,,,,1.0,"BARTON BLOODSTOCK,  VILLIERS SYNDICATE"
Tmg4UnR3VzdQNEFSVjNqNjBVMlc5QT09,2012,--,meandre  m.ps. 4 a.,YWhNKzJ4SXd1QWl3MHo3Sm9QYjU0dz09,3.0,Par: SLICKLY  et PENNE (SEVRES ROSE),(Corde:13),,FAMILLE ROTHSCHILD,A. FABRE,MAXIME  GUYON,"59,5kg",,,,,,,FAMILLE ROTHSCHILD
Tmg4UnR3VzdQNEFSVjNqNjBVMlc5QT09,2012,--,mikhail glinka ire m.ps. 5 a.,VzlEbGlTN0hBd3ZiMTdDMnJwS05TZz09,4.0,Par: GALILEO  et LADY KARR (MARK OF ESTEEM),(Corde:09),,RAMZAN  KADYROV,A. SHAVUYEV,MIRCO  DEMURO,"59,5kg",,,,,,,PAULYN LIMITED
