Année,Vainqueur,S/A,Pays,Père,Jockey,Entraîneur,Propriétaire,Deuxième,Troisième,Quatrième,Cinquième,Temps
1961,Molvedo,M.3,Italie,Ribot,E. Camici,A. Maggi,Edigio Verga,Right Royal,Misti,Hight Hat,Match,"2'33""40"
1962,Soltikoff,M.3,France,Prince Chevalier,M. Depalmas,R. Pelat,Mme C. del Duca,Monade,Val de Loir,Snob,Match,"2'30""90"
1963,Exbury,M.4,France,Le Haar,J. Deforge,G. Watson,G. de Rothschild,Le Mesnil,Misti,Soltikoff,Sanctus,"2'35""00"
1964,Prince Royal,M.3,France,Ribot,Roger Poincelet,G. Bridgland,Rex Ellworth,Santa Claus,La Bamba,Timmy Lad,Belle Sicambre,"2'35""50"
1965,Sea Bird,M.3,France,Dan Cupid,T.-P. Glennon,Étienne Pollet,Jean Ternynck,Reliance,Diatome,Free Ride,Anilin,"2'35""50"
1966,Bon Mot,M.3,France,Worden,Freddy Head,W. Head,F.-W.Burmann,Sigebert,Lionel,A Tempo,Behistoun,"2'39""80"
1967,Topyo,M.3,France,Fine Top,W. Pyers,C.-W. Bartholomew,Mme L. Volterra,Salvo,Ribocco,Roi Dagobert,Heath Rose,"2'38""20"
1968,Vaguely Noble,M.3,France,Vienna,W. Williamson,Étienne Pollet,R.-A.Franklin,Sir Ivor,Carmarthen,Roselière,La Lagune,"2'35""20"
1969,Levmoss,M.4,Royaume-Uni,Le Levanstell,W. Williamson,S. McGrath,S. McGrath,Park Top,Grandier,Candy Cane,Prince Régent,"2'29"""
1970,Sassafras,M.3,France,Sheshoon,Yves Saint-Martin,François Mathet,Arpad Plesch,Nijinsky,Miss Dan,Gyr,Blakeney,"2'29""70"
1971,Mill Reef,M.3,Royaume-Uni,Never Bend,Geoff Lewis,Ian Balding,Paul Mellon,Pistol Packer,Cambrizzia,Caro,Hallez,"2'28""30"
1972,San San,F.3,France,Bald Eagle,Freddy Head,Angel Penna,C. Batthyany,Rescousse,Homeric,Regal Exception,Card King,"2'28""30"
1973,Rheingold,M.4,Royaume-Uni,Fabergé,Lester Piggott,Barry Hills,Henry Zeisel,Allez France,Hard to Beat,Card King,Lady Berry,"2'35""80"
1974,Allez France,F.4,France,Sea Bird,Yves Saint-Martin,Angel Penna,D.Wildenstein,Comtesse de Loir,Margouillat,Kamaraan,Paumista,"2'36""90"
1975,Star Appeal,M.5,Allemagne,Appiani,Greville Starkey,Theo Grieper,W.Zeitelhack,On My Way,Comtesse de Loir,Un Kopeck,Allez France,"2'33""60"
1976,Ivanjica,F.4,France,Sir Ivor,Freddy Head,Alec Head,J. Wertheimer,Crow,Youth,Noble Dancer,Bruni,"2'39""40"
1977,Alleged,M.3,Irlande,Hoist the Flag,Lester Piggott,Vincent O'Brien,R. Sangster,Balmerino,Crystal Palace,Dunfermline,Crow,"2'30""60"
1978,Alleged,M.4,Irlande,Hoist the Flag,Lester Piggott,Vincent O'Brien,R. Sangster,Trillion,Dancing Maid,Frère Basile,Guadanini,"2'36""50"
1979,Three Troikas,F.3,France,Lyphard,Freddy Head,Christiane Head,Mme A. Head,Le Marmot,Troy,Pevero,Trillion,"2'28""90"
1980,Detroit,F.3,France,Riverman,Pat Eddery,Olivier Douïeb,R. Sangster,Argument,Ela-Mana-Mou,Three Troikas,Nebos,"2'28""00"
1981,Gold River,F.4,France,Riverman,G.-W. Moore,Alec Head,J. Wertheimer,Bikala,April Run,Perrault,Ardross,"2'35""40"
1982,Akiyda,F.3,France,Labus,Yves Saint-Martin,François Mathet,S.A. Aga Khan,Ardross,Awaasif,April Run,Real Shadaï,"2'37""00"
1983,All Along,F.4,France,Targowice,Walter Swinburn,Patrick Biancone,D.Wildenstein,Sun Princess,Luth Enchantée,Time Charter,Salmon Leap,"2'28""10"
1984,Sagace,M.4,France,Luthier,Yves Saint-Martin,Patrick Biancone,D.Wildenstein,Northern Trick,All Along,Esprit du Nord,Strawberry Road,"2'39""10"
1985,Rainbow Quest,M.4,Royaume-Uni,Blushing Groom,Pat Eddery,Jeremy Tree,K. Abdullah,Sagace,Kozana,Sumayr,Fitnah,"2'29""50"
1986,Dancing Brave,M.3,Royaume-Uni,Lyphard,Pat Eddery,Guy Harwood,K. Abdullah,Bering,Triptych,Shahrastani,Shardari,"2'27""70"
1987,Trempolino,M.3,France,Sharpen Up,Pat Eddery,André Fabre,Paul de Moussac,Tony Bin,Triptych,Mtoto,Tabayaan,"2'26""30"
1988,Tony Bin,M.5,Italie,Kampala,John Reid,L. Camici,M. Del Bono Gaucci,Mtoto,Boyatino,Unfuwain,Village Star,"2'27""30"
1989,Carroll House,M.3,Royaume-Uni,Lord Gayle,Michael Kinane,Michael Jarvis,A. Balzarini,Behera,Saint Andrews,Young Mother,Sierra Roberta,"2'30""80"
1990,Saumarez,M.3,France,Rainbow Quest,Gérald Mossé,Nicolas Clément,B. McNall,Epervier Bleu,Snurge,In The Wings,Belmez,"2'29""80"
1991,Suave Dancer,M.3,France,Green Dancer,Cash Asmussen,John Hammond,H. Chalhoub,Magic Night,Pistolet Bleu,Toulon,Pigeon Voyageur,"2'31""40"
1992,Subotica,M.4,France,Pampabird,Thierry Jarnet,André Fabre,Olivier Lecerf,User Friendly,Vert Amande,St Jovite,Saganeca,"2'39""00"
1993,Urban Sea,F.4,France,Miswaki,Eric Saint-Martin,Jean Lesbordes,David Tsui,White Muzzle,Opera House,Intrepidity,Only Royale,"2'37""90"
1994,Carnegie,M.3,France,Sadler's Wells,Thierry Jarnet,André Fabre,Cheikh Mohammed,Hernando,Apple Tree,Ezzoud,Bright Moon,"2'31""10"
1995,Lammtarra,M.3,Royaume-Uni,Nijinsky,Lanfranco Dettori,S.bin Suroor,Saeed Al Maktoum,Freedom Cry,Swain,Lando,Pure Grain,"2'31""80"
1996,Helissio,M.3,France,Fairy King,Olivier Peslier,Elie Lellouche,Enrique Sarasola,Pilsudski,Oscar Schindler,Swain,Luna Wells,"2'29""90"
1997,Peintre Célèbre,M.3,France,Nureyev,Olivier Peslier,André Fabre,D.Wildenstein,Pilsudski,Borgia,Oscar Schindler,Predappio,"2'24""60"
1998,Sagamix,M.3,France,Linamix,Olivier Peslier,André Fabre,J.-L.Lagardère,Leggera,Tiger Hill,Croco Rouge,Caitano,"2'34""50"
1999,Montjeu,M.3,France,Sadler's Wells,Michael Kinane,John Hammond,Michael Tabor,El Condor Pasa,Croco Rouge,Leggera,Tiger Hill,"2'38""50"
2000,Sinndar,M.3,Irlande,Grand Lodge,Johnny Murtagh,John Oxx,S.A. Aga Khan,Egyptband,Volvoreta,Montjeu,Hightori,"2'25""80"
