id,nom,arc_participation,arc_best_place,arc_worst_place,arc_avg_place
aVIvN05EZW12VkNJa3ZyN1dXTU80QT09,HARP STAR,1,6.0,6.0,6.0
Y0pKZlJPOWFCQkZqTmRpdkZ2Ky9OUT09,SAMUM,1,6.0,6.0,6.0
NDFzWTc1WThONWp3a3BwbjY4VEg0dz09,VALLEE ENCHANTEE,1,6.0,6.0,6.0
NFVobmo3Zm4zNFZ5VHhzOGFXWkJtUT09,MARINOUS,1,6.0,6.0,6.0
bjN0NkdZMm0xRk5xWHgralpGQmh6Zz09,LITTLE ROCK,1,6.0,6.0,6.0
dlFLNFhzN2c3WStrNWd3a090Zy9pQT09,SOFT LIGHT,1,6.0,6.0,6.0
S1V3bDJ3elR2M28vODRMckRuczVZQT09,GREEK DANCE,1,6.0,6.0,6.0
TUlnUHpYTm15RUo2Q2NVSjFqU0pDUT09,ASK,1,6.0,6.0,6.0
c2l4MEFnMXRsRHkvRnJLeVk2dXNCQT09,MANDESHA,1,7.0,7.0,7.0
TTFWM04rREc0aTFGcVl2Zyt5dVZJZz09,IQUITOS,1,7.0,7.0,7.0
THhiOWRPeDdkdHRkMFpuSkdhRDZGUT09,LA BOUM,1,7.0,7.0,7.0
bE9rbXV0dDVxcEtrSzMrUmo1dzBJQT09,STACELITA,1,7.0,7.0,7.0
MWdFM0xSdlRUanY2YU56bGdNb0N1UT09,SHAAMIT,1,7.0,7.0,7.0
TjEyUFdzSXRsMGdXaXRCcXZWN3gydz09,CAMELOT,1,7.0,7.0,7.0
U0FsaDZKaXQ1M04veHZjZ2g1S0JQQT09,MISIL,1,7.0,7.0,7.0
OTE4NWgvczJmSkVIR0ROUnNpa09EZz09,KEW GARDENS,1,7.0,7.0,7.0
WmxLeERDdTRtZTBTaVFOTnhzY0kwUT09,STRADIVARIUS,1,7.0,7.0,7.0
ejAwT1hiTXcwNk5VdEttdSs5R1lUdz09,DARING MISS,1,7.0,7.0,7.0
VnhJSU9ycWpRK2NlZ0hBWktFZG9rZz09,DAI JIN,1,7.0,7.0,7.0
THBkV2VycFhzbGI5emwrR1dwa1k0QT09,PARTIPRAL,1,7.0,7.0,7.0
cWo2SFE1QTN4MzFMcVdlMjN6cjUydz09,LATICE,1,7.0,7.0,7.0
MnRZSnpld2dENHZCQlpydS9RZkRZZz09,VICTOIRE PISA,1,7.0,7.0,7.0
RGpqVzFISThLazdkQm1zRVFKaDJuUT09,KISEKI,1,7.0,7.0,7.0
RXhxU0k1a0ZVWVVyT0RSRWYrcG5sUT09,HIGH RISE,1,7.0,7.0,7.0
NUd5ZTFPNUQwNmp4OGlsY0hwOVliQT09,DUKE OF MARMALADE,1,7.0,7.0,7.0
bDZjOTYzdnkvRUliV3dyKzYzMDZZZz09,SAVOIR VIVRE,1,8.0,8.0,8.0
TVhMSVg4TlJHU2EwZFVuVHFsRVVXUT09,IDAHO,1,8.0,8.0,8.0
R2VBaHVicytuVkNpN2pZYzNWdWlNZz09,LEEDS,1,8.0,8.0,8.0
UjRyVVZ3Zi9RSk54WEs0M21IRVB2Zz09,SEA MOON,1,8.0,8.0,8.0
OVg2WjhoZDJ4alM3VnRwbU9XR1I1Zz09,TALLOIRES,1,8.0,8.0,8.0
S0RNK2hRbnlXdWM1VE5ZNHAzdno1Zz09,NELSON,1,8.0,8.0,8.0
VEo0Z2ttM2xvSGhIdFV6aUVOUjBIUT09,DEIRDRE,1,8.0,8.0,8.0
RHo4V2NlSGlxNmVqWVhxZi9mVnpIUT09,QUE BELLE,1,8.0,8.0,8.0
RVl2a3lEc1FkYTlvdW1mV0FSRXdOUT09,JUST A WAY,1,8.0,8.0,8.0
MW5QQ214MmVTQVFBVG1JWkVaYkthZz09,RUSSIAN HOPE,1,8.0,8.0,8.0
Nyt6Z0J5ei96T21VMFdEc3F5RUsyZz09,BOLLIN ERIC,1,8.0,8.0,8.0
RkY3Uzg1TCt1TDkwTDVMWUM2a2VkZz09,GUNBOAT DIPLOMACY,1,8.0,8.0,8.0
OTYrL3Vpbmo4S3lIRGt4SFdBVHpyUT09,SILVERSKAYA,1,8.0,8.0,8.0
bEZ1Zko4L2lMSG40aHRaa3owaVB4Zz09,NAGANO GOLD,1,8.0,8.0,8.0
Mks0bm96Y3ZwNyt2SUp4WE45V1l2Zz09,DRAGON DANCER,1,9.0,9.0,9.0
ZlVKV1p1aVFreVFka3pCOWVHc3Jsdz09,HARZAND,1,9.0,9.0,9.0
d2huMXJ6SFNpbkR6aXNzUUlnZ2tlUT09,WINTER,1,9.0,9.0,9.0
OUdvYWhXcTdneHpmSGVNc3ZaMERxZz09,MAGADAN,1,9.0,9.0,9.0
SWlKZFJ5a3FkSGdDcHdmQVo4RmowQT09,LEONILA,1,9.0,9.0,9.0
QUJyRWxweHNWOUJFZGovZmd3ZmVGZz09,HESIODE,1,9.0,9.0,9.0
ZXdFYVpzSTA1aG9xWko4U0tNTUpNUT09,ANGE GABRIEL,1,9.0,9.0,9.0
aE1odW1mRzZGcXRhN3NyZTZ5VXZkUT09,FALBRAV,1,9.0,9.0,9.0
RTI1djZ1UDBmOFdmL3Npc3VCKzYxZz09,CARLING,1,9.0,9.0,9.0
dVd3OUVvWCtrdnFxcVVyMWRWNHNmdz09,LIANG KAY,1,9.0,9.0,9.0
bUZEU1hQSjJkbXFqNDBtcGhSSVFydz09,FRENCH KING,1,9.0,9.0,9.0
aUtYaVhKMkJzQzFEblB5Q0NsU09hZz09,CIMA DE TRIOMPHE,1,9.0,9.0,9.0
MGVYS2YwbTVFUHpuMmlSejNvOUNYQT09,AUTHORIZED,1,10.0,10.0,10.0
TnQrMC85ZWdnMFJtZ0ZRbEZyLzJUQT09,VEDEVANI,1,10.0,10.0,10.0
K2tUZEFqcU5ZREVYZ0tvMlNLUXo0dz09,SCORPION,1,10.0,10.0,10.0
VUpUUWx4a3QyTmpiVVZzT0JoK3Q4QT09,PENTIRE,1,10.0,10.0,10.0
bCtPVWJoQTlRMFNRSG8xd01DdGpuQT09,BAYRIR,1,10.0,10.0,10.0
eVh6UmRFeUhzVlVZWkxUcDN0WEh6dz09,MARKET BOOSTER,1,10.0,10.0,10.0
czliWEdqRDNROWtwMmtHMThuN3JEdz09,ROYAL JULIUS,1,10.0,10.0,10.0
WSt4QlI4dW1zYWF3VHEyeXhVNjBwUT09,BUSY FLIGHT,1,10.0,10.0,10.0
VnR6UGVHK3NuYkkyTGNGMlpFQTkvQT09,RAYPOUR,1,10.0,10.0,10.0
ZlFKRTluczZqT3pRdEdVOTZTVFFQZz09,KING'S THEATRE,1,10.0,10.0,10.0
TE5RWXhVWGZtZDRIQU5hcGFCaVFrUT09,BALANCHINE,1,10.0,10.0,10.0
VUUzclVzRngwQko4UTZaUmRlWVg4QT09,VALIXIR,1,10.0,10.0,10.0
R1hVbXF5bW9rT2ZlK3YxSGU1NmlnZz09,HIRUNO D'AMOUR,1,10.0,10.0,10.0
SUVEMTFjeEQ4bTA4cEV4MEJpV2ZuUT09,FOREIGN AFFAIRS,1,10.0,10.0,10.0
OEVXa3VKb1gwRzVtenBOdkFVdjJBZz09,GHAIYYATH,1,10.0,10.0,10.0
czMzdVMvOTdNaTU4V1cvaHFUeU5kZz09,MEISHO SAMSON,1,10.0,10.0,10.0
Y29qVCtTMmJzQXhZYzdvR1A5aVpUQT09,MANATEE,1,11.0,11.0,11.0
aE9ndDRLT1ZtMjZFQkJQb0x6MDZGUT09,CHACHNAK,1,11.0,11.0,11.0
a1hqWDF1YXFCdVFhNm45MjNSMzB5QT09,SAHAWAR,1,11.0,11.0,11.0
bytINmx4MVZBT3Z1cGlVTTEzYUlTQT09,BLAST ONEPIECE,1,11.0,11.0,11.0
NUp0OVJCUU5CVENhQUczcVJ4Y2JpZz09,DOHA DREAM,1,12.0,12.0,12.0
Mm9SblZqMzJiYkUyK3EwNkdVTkJ1QT09,TIBERIAN,1,12.0,12.0,12.0
SW1mT05IeUpoYkVjSGl3M3BWbW9Tdz09,LEADING LIGHT,1,12.0,12.0,12.0
cTI2WHFvOXhGY0pXUmJCSDBpRWgyQT09,FIEREMENT,1,12.0,12.0,12.0
WWxFUyt2Qmc4djI4VE9PM3FlRTAxQT09,JOSHUA TREE,1,13.0,13.0,13.0
U3ErcmtqUjhsRDdPS0FheXdpNlBVQT09,FRINE,1,14.0,14.0,14.0
eGFJU09vRmZhSTNoWmhCam95UkNWUT09,MAKAHIKI,1,14.0,14.0,14.0
NHZoWlVHMUxmNmFIeUdTa09jbDB5dz09,SEVENTH HEAVEN,1,14.0,14.0,14.0
MGhOQitWN0dBWE1aYWNXbXNQemNKZz09,PATASCOY,1,14.0,14.0,14.0
YzBpaVBQcnZ4Nko1WmRudDg5eUVOUT09,OCOVANGO,1,14.0,14.0,14.0
MlZBWmg3bVdCRmdqQzIxQ0lELzdIUT09,GOLD SHIP,1,14.0,14.0,14.0
Y1puWTl6ZGpLY2Fvd3UyTmMwQVhlZz09,EAGLE TOP,1,15.0,15.0,15.0
Rk1Hd2ZZNXgza0VvaHg5S01kZjBkUT09,MIGWAR,1,15.0,15.0,15.0
WFRSdmloSlRtRmJXNGtORzR4ckFRQT09,SATONO DIAMOND,1,15.0,15.0,15.0
dytmNjY1aXBDZzhnc1R2U2VlTk42dz09,DEFOE,1,15.0,15.0,15.0
eTNtTHY4SXAxczc5ajZOTVp0OWxMZz09,CHICQUITA,1,15.0,15.0,15.0
