Place,Cheval,N°,Père/Mère,Écart au précédent,Couleurs,Propriétaire,Entraîneur,Jockey,Poids,Gain,Prim. prop.,Prim. elev.,Suppl.,Œil.,Écurie.,Éleveurs,Année,fg_id
19,free port lux (gb) m.ps. 3 a.,15,Par: OASIS DREAM  et ROYAL HIGHNESS (MONSUN),(Corde:17),,OLIVIER  THOMAS,FRE. HEAD (S),MICKAEL  BARZALONA,56 kg,,,,,,,ECURIE DES MONCEAUX,2014,c0U5QS90bmdJdFNCV3d6SWhEKzlRUT09
20,MONTVIRON  M.PS. 3 a.,12,Par: LE HAVRE  et MANITA (PEINTRE CELEBRE),(Corde:11),,GERARD  AUGUSTIN-NORMAND,E. LELLOUCHE,CYRILLE  STEFAN,56 kg,,,,,,,FRANKLIN FINANCE S.A.,2014,NmlmTFY0WGZ6bTB0MGI1SkxLa2hwZz09
1,sea the stars ire m.ps. 3 a.,18,Par: CAPE CROSS  et URBAN SEA (MISWAKI),(Corde:06),,CHRISTOPHER  TSUI,J. OXX,MR MICHAEL J.  KINANE,56 kg,2.285.600,,,,,,SUNDERLAND HOLDING INC.,2009,c3NOZGpYL21vTnJBVXo4NXJaZWdRdz09
2,youmzain ire m.ps. 6 a.,01,Par: SINNDAR  et SADIMA (SADLER'S WELLS),2.L (Corde:01),,JABER  ABDULLAH,MR. CHANNON,KIEREN-FRANCIS  FALLON,"59,5kg",914.400,,,,,,F. DUNNE,2009,NnhGZ1B4bXkxSGtiYVFyMG9pN0cyQT09
3,cavalryman gb m.ps. 3 a.,16,Par: HALLING  et SILVERSWORD (HIGHEST HONOR),T (Corde:19),,DARLEY SNC,A. FABRE,LANFRANCO  DETTORI,56 kg,457.200,,,S,,,DARLEY STUD MANAGEMENT CO. LTD,2009,U3VRd1hQLzVTU3hVRW9iTkVCTVlkUT09
4,conduit ire m.ps. 4 a.,02,Par: DALAKHANI  et WELL HEAD (SADLER'S WELLS),T (Corde:12),,BALLYMACOLL STUD FARM LTD,SIR MR. STOUTE,RYAN-LEE  MOORE,"59,5kg",228.400,,,,,,BALLYMACOLL STUD FARM LTD,2009,SXRnUEJUcVJTcjZpSkY2ZHJCZzZsQT09
5,dar re mi gb f.ps. 4 a.,10,Par: SINGSPIEL  et DARARA (TOP VILLE),1.L (Corde:02),,LORD   LLOYD WEBBER,J. GOSDEN,JIMMY  FORTUNE,58 kg,114.400,,,,,,WATERSHIP DOWN STUD,2009,ekZpcjZmZk0wQ3dudmlQTGpnc2M1dz09
6,fame and glory gb m.ps. 3 a.,15,Par: MONTJEU  et GRYADA (SHIRLEY HEIGHTS),1.L (Corde:10),,D.SMITH/MME J.MAGNIER/M.TABOR,AP. O'BRIEN,JOHN-PATRICK  MURTAGH,56 kg,,,,,,1,"PTARMIGAN BLOODSTOCK LTD,MLLE K. RAUSING",2009,UE15eDlDeGYrMHBMcDRYTEJZaHk3dz09
7,la boum ger f.ps. 6 a.,12,Par: MONSUN  et LA BOUCHE (IN THE WINGS),1/2 (Corde:08),,EMMANUEL  TRUSSARDI,ROB. COLLET (S),THIERRY  JARNET,58 kg,,,,,,,GESTUT KARLSHOF,2009,THhiOWRPeDdkdHRkMFpuSkdhRDZGUT09
7,stacelita  f.ps. 3 a.,19,Par: MONSUN  et SOIGNEE (DASHING BLADE),1/2 (Corde:16),,M.SCHWARTZ/ECURIE MONASTIC,JC. ROUGET-(S),CHRISTOPHE  SOUMILLON,"54,5kg",,,,S,,,JPJ. DUBOIS,2009,bE9rbXV0dDVxcEtrSzMrUmo1dzBJQT09
9,magadan ire m.ps. 4 a.,04,Par: HIGH CHAPARRAL  et MOLASSES (MACHIAVELLIAN),3/4 (Corde:17),,ECURIE WILDENSTEIN,E. LELLOUCHE,ANTHONY  CRASTUS,"59,5kg",,,,,,,KILCARN STUD,2009,OUdvYWhXcTdneHpmSGVNc3ZaMERxZz09
10,vision d'etat  m.ps.+,03,Par: CHICHICASTENANGO  et UBERABA (GARDE ROYALE),1/2 (Corde:09),,JACQUES  DETRE,E. LIBAUD,OLIVIER  PESLIER,"59,5kg",,,,,,,SUC. G. GILLES,2009,RkdjY3JKQldKa3lmQjkxaTkxNGYxUT09
--,the bogberry usa m.ps. 4 a.,05,Par: HAWK WING  et LAHINCH (DANEHILL DANCER),(Corde:18),,SERGEY  EFROS,A.DE ROYER DUPRE,MAGOMET A.  KAPPUSHEV,"59,5kg",,,,,,,MARCH THOROUGHBREDS,2009,SlFKWldCajFReWxLNG1wbnNYbldDZz09
--,steele tango usa m.ps. 4 a.,06,Par: OKAWANGO  et WALTZING AROUND (ELA MANA MOU),(Corde:07),,THE THIRTY ACRE RACING PARTNER,RA. TEAL,DARRYLL-PAUL  HOLLAND,"59,5kg",,,,,,,T. ZWIESLER,2009,TWNvYXlyZytKS1pqaGpVbG01bE1LQT09
--,getaway ger m.ps. 6 a.,07,Par: MONSUN  et GUERNICA (UNFUWAIN),(Corde:03),,BARON GEORG VON ULLMANN,J. HIRSCHBERGER,STEPHANE  PASQUIER,"59,5kg",,,,,,,BARON G.VON ULLMANN,2009,OWEvTkFId2VXV0hCOG9oaERMTXE1Zz09
--,TULLAMORE USA M.PS. 4 a.,08,Par: THEATRICAL  et BUNGALOW (LORD AVIE),(Corde:13),,YOKO CZ S.R.O.,Z. KOPLIK,VACLAV  JANACEK,"59,5kg",,,,,,,"HL. VANIER,MME N. VANIER,  THEATRICAL SYNDICATE",2009,aElqYUloS2ZkRzRIVFZXUmpBRTlRUT09
--,hot six brz m.ps. 4 a.,09,Par: BUROOJ  et BABYSIX (WITH APPROVAL),(Corde:04),,ESTRELA ENERGIA STABLES,G. DUARTE,TIAGO JOSUE  PEREIRA,59 kg,,,,,,,HARAS J.B. BARROS,2009,WTh4VFBlSHE5RWZCZEh2OFFWRmxGUT09
--,tangaspeed  f.ps. 4 a.,11,Par: VERTICAL SPEED  et FITANGA (FIJAR TANGO),(Corde:11),,R.PIRES/MME L.GAGNEUX,ROB. LAPLANCHE,IORITZ  MENDIZABAL,58 kg,,,,,,,MME L. GAGNEUX,2009,T21FMkpQRDZnRzYvZXRZRHR5VUFCdz09
--,carthage  m.ps. 3 a.,13,Par: PEINTRE CELEBRE  et BEHKARA (KRIS),(Corde:15),,S.A.   AGA KHAN,A.DE ROYER DUPRE,GERALD  MOSSE,56 kg,,,,,,,S.A.  AGA KHAN,2009,d0VXamJZZGlFTjVNY2pXbFRYRWRJUT09
--,set sail ire m.ps. 3 a.,14,Par: DANEHILL DANCER  et AHDAAB (RAHY),(Corde:14),,D.SMITH/M.TABOR/MME J.MAGNIER,AP. O'BRIEN,SEAN M.  LEVEY,56 kg,,,,,,1,"LYNCH-BAGES LTD,  SAMAC LTD",2009,MlN2ZHRiU1VFcFllandZYmh1SFF1dz09
--,grand ducal ire m.ps. 3 a.,17,Par: DANEHILL DANCER  et MOOD SWINGS (SHIRLEY HEIGHTS),(Corde:05),,MME J. MAGNIER/M.TABOR/D.SMITH,AP. O'BRIEN,SUC. PATRICK JOSEPH  SMULLEN,56 kg,,,,,,1,"A. STROUD, JF. HANLY",2009,UTBLamNvYSs0QnZrWHJESXc2WDVkZz09
1,waldgeist gb m.ps. 5 a.,02,Par: GALILEO  et WALDLERCHE (MONSUN),(Corde:03),,GESTUT AMMERLAND/NEWSELLS PARK,A. FABRE (S),PIERRE-CHARLES  BOUDOT,"59,5kg",2.857.000,,,,,,THE WALDLERCHE PARTNERSHIP,2019,RG1DS2Y3R0tTdWJjNmk1ZWpuelpmQT09
2,enable gb f.ps. 5 a.,08,Par: NATHANIEL  et CONCENTRIC (SADLER'S WELLS),7/4 (Corde:09),,SUC. KHALID  ABDULLAH,J. GOSDEN,LANFRANCO  DETTORI,58 kg,1.143.000,,,,,,JUDDMONTE FARMS IRELAND,2019,cHRPK0JXeWl3U2d5a3Y0T0xiSHBQQT09
3,sottsass  m.ps. 3 a.,12,Par: SIYOUNI  et STARLET'S SISTER (GALILEO),7/4 (Corde:01),,WHITE BIRCH FARM,JC. ROUGET (S),CRISTIAN  DEMURO,"56,5kg",571.500,,27.000,,,,ECURIE DES MONCEAUX,2019,VmpxdVlzR1R1VGNtdUxJOGVxL0VGZz09
4,japan gb m.ps. 3 a.,10,Par: GALILEO  et SHASTYE (DANEHILL),1/2 (Corde:10),,D.SMITH/MME J.MAGNIER/M.TABOR,AP. O'BRIEN,RYAN-LEE  MOORE,"56,5kg",285.500,,,,,,NEWSELLS PARK STUD,2019,aER2UWw3NU5WUWlhNHZoRno1Y1FJdz09
5,magical ire f.ps. 4 a.,09,Par: GALILEO  et HALFWAY TO HEAVEN (PIVOTAL),6.L (Corde:08),,D.SMITH/MME J.MAGNIER/M.TABOR,AP. O'BRIEN,DONNACHA AIDAN  O'BRIEN,58 kg,143.000,,,,,,"ORPENDALE,  CHELSTON (IRELAND),  WYNATT",2019,SVBpN2FvMnJyN1hZYkJ2dUNVRWxDUT09
6,soft light  m.ps. 3 a.,11,Par: AUTHORIZED  et LIGHT SABER (KENDOR),3.5 (Corde:06),,CLAUDIO  MARZOCCO,JC. ROUGET (S),YUTAKA  TAKE,"56,5kg",,,,S,,,"SARL  JEDBURGH STUD,MME I. CORBANI",2019,dlFLNFhzN2c3WStrNWd3a090Zy9pQT09
7,kiseki jpn m.ps. 5 a.,04,Par: RULERSHIP  et BLITZ FINALE (DEEP IMPACT),8.L (Corde:07),,MME TATSUE  ISHIKAWA,K. SUMII,CHRISTOPHE  SOUMILLON,"59,5kg",,,,,,,SHIMOKOBE FARM,2019,RGpqVzFISThLazdkQm1zRVFKaDJuUT09
8,nagano gold gb m.ps. 5 a.,07,Par: SIXTIES ICON  et NEVER ENOUGH (MONSUN),4.5 (Corde:11),,SYNDIKAT V3J,V. LUKA,MICKAEL  BARZALONA,"59,5kg",,,,,,,"J. KNIGHT, EJ. CANTILLON",2019,bEZ1Zko4L2lMSG40aHRaa3owaVB4Zz09
9,french king (gb) m.ps. 4 a.,01,Par: FRENCH FIFTEEN  et MARINA PICCOLA (HALLING),4.5 (Corde:05),,S.A. CHEIKH ABDULLAH BIN KHALIFA  AL THA,HA. PANTALL,OLIVIER  PESLIER,"59,5kg",,,,,,,UMM QARN MANAGEMENT CO. LTD,2019,bUZEU1hQSjJkbXFqNDBtcGhSSVFydz09
10,ghaiyyath ire m.ps. 4 a.,03,Par: DUBAWI  et NIGHTIME (GALILEO),2.5 (Corde:12),,GODOLPHIN,C. APPLEBY,WILLIAM  BUICK,"59,5kg",,,,,,,SPRINGBANK WAY STUD,2019,OEVXa3VKb1gwRzVtenBOdkFVdjJBZz09
11,blast onepiece jpn m.ps. 4 a.,05,Par: HARBINGER  et TSURUMARU ONEPIECE (KING KAMEHAMEHA),NEZ (Corde:04),,SILK RACING CO. LTD,M. OTAKE,YUGA  KAWADA,"59,5kg",,,,,,,NORTHERN FARM,2019,bytINmx4MVZBT3Z1cGlVTTEzYUlTQT09
12,fierement jpn m.ps. 4 a.,06,Par: DEEP IMPACT  et LUNE D'OR (GREEN TUNE),15L (Corde:02),,SUNDAY RACING CO. LTD,T. TEZUKA,CHRISTOPHE-PATRICE  LEMAIRE,"59,5kg",,,,,,,NORTHERN RACING,2019,cTI2WHFvOXhGY0pXUmJCSDBpRWgyQT09
