Place,Cheval,N°,Père/Mère,Écart au précédent,Couleurs,Propriétaire,Entraîneur,Jockey,Poids,Gain,Prim. prop.,Prim. elev.,Suppl.,Œil.,Écurie.,Éleveurs,Année,fg_id
3,order of st george ire m.ps. 4 a.,08,Par: GALILEO  et ANOTHER STORM (GONE WEST),1.5 (Corde:16),,WILLIAMS/MAGNIER/TABOR/SMITH,AP. O'BRIEN,LANFRANCO  DETTORI,"59,5kg",571.500,,,,,,PAGET BLOODSTOCK,2016,SXFsNEYvUmtRVERCV2RSeE93Skl6UT09
4,siljan's saga  f.ps. 6 a.,09,Par: SAGAMIX  et HUMORISTE (SAINT CYRIEN),3/4 (Corde:03),,E. PALLUAT DE BESSET / E. TASSIN,JP. GAUVIN,PIERRE-CHARLES  BOUDOT,58 kg,285.500,,13.500,,,,SUC. A. OUVRY,2016,aGV3WlRQYWh4aHhuZmdWYVJ4M2dWZz09
5,postponed ire m.ps. 5 a.,02,Par: DUBAWI  et EVER RIGG (DUBAI DESTINATION),2.5 (Corde:07),,CHEIK MOHAMMED OBAID  AL MAKTOUM,R. VARIAN,ANDREA  ATZENI,"59,5kg",143.000,,,,,,ST. ALBANS BLOODSTOCK LIMITED,2016,N3labVdLZXlaZHA2YVhtb2RrUmFidz09
6,one foot in heaven (ire) h.ps. 4 a.,05,Par: FASTNET ROCK  et PRIDE (PEINTRE CELEBRE),NEZ (Corde:09),,FAIR SALINIA LTD,A.DE ROYER DUPRE,CRISTIAN  DEMURO,"59,5kg",,,,,,,CRAIGAVON AGRO LTD,2016,RWR5RWt3QWVRWFdnRitibDhxbGh0UT09
7,new bay gb m.ps. 4 a.,01,Par: DUBAWI  et CINNAMON BAY (ZAMINDAR),CTE (Corde:08),,SUC. KHALID  ABDULLAH,A. FABRE (S),VINCENT  CHEMINAUD,"59,5kg",,,,,,,JUDDMONTE FARMS IRELAND,2016,bDVMa1gxTS9QbEY5ZncyMWpCVnU4Zz09
8,savoir vivre ire m.ps. 3 a.,15,Par: ADLERFLUG  et SOUDAINE (MONSUN),1.5 (Corde:10),,STALL ULLMANN,JP. CARVALHO,FREDERIK  TYLICKI,56 kg,,,,,,,STALL ULLMANN,2016,bDZjOTYzdnkvRUliV3dyKzYzMDZZZz09
9,harzand ire m.ps. 3 a.,11,Par: SEA THE STARS  et HAZARIYA (XAAR),7/4 (Corde:06),,H.H.   AGA KHAN,DK. WELD,SUC. PATRICK JOSEPH  SMULLEN,56 kg,,,,,,1,S.A.  AGA KHAN,2016,ZlVKV1p1aVFreVFka3pCOWVHc3Jsdz09
10,vedevani  m.ps. 3 a.,12,Par: DUBAWI  et VADAWINA (UNFUWAIN),2.L (Corde:01),,H.H.   AGA KHAN,A.DE ROYER DUPRE,ALEXIS  BADEL,56 kg,,,,,,1,HARAS DE S.A. AGA KHAN SCEA,2016,TnQrMC85ZWdnMFJtZ0ZRbEZyLzJUQT09
11,talismanic gb m.ps. 3 a.,13,Par: MEDAGLIA D'ORO  et MAGIC MISSION (MACHIAVELLIAN),7.L (Corde:05),,DARLEY SNC,A. FABRE (S),MICKAEL  BARZALONA,56 kg,,,,,,,DARLEY STUD MANAGEMENT CO. LTD,2016,Z2I5elZrWUt2dW1KQ0lvb2lvVFhTdz09
12,left hand (gb) f.ps. 3 a.,16,Par: DUBAWI  et BALLADEUSE (SINGSPIEL),1.L (Corde:15),,WERTHEIMER & FRERE,C. LAFFON-PARIAS,MAXIME  GUYON,"54,5kg",,,,,,,WERTHEIMER & FRERE,2016,czU4dVB6aEQxV01OeGNYMFpuaW11Zz09
13,silverwave  m.ps. 4 a.,07,Par: SILVER FROST  et MISS BIO (RIVER MIST),3/4 (Corde:04),,HSPIRIT,P. BARY (S),CHRISTOPHE  SOUMILLON,"59,5kg",,,,,,,"MLLE ML. COLLET, J. COLLET,MME M. COLLET",2016,eElISExrSmJ5bTJud3BsV0hIa09xdz09
14,makahiki jpn m.ps. 3 a.,14,Par: DEEP IMPACT  et WIKIWIKI (FRENCH DEPUTY),3.L (Corde:14),,KANEKO MAKOTO HOLDINGS CO. LTD,Y. TOMOMICHI,CHRISTOPHE-PATRICE  LEMAIRE,56 kg,,,,,,,KANEKO MAKOTO HOLDINGS INC.,2016,eGFJU09vRmZhSTNoWmhCam95UkNWUT09
15,migwar (ire) m.ps. 4 a.,03,Par: SEA THE STARS  et KATYUSHA (KINGMAMBO),5/4 (Corde:13),,S.A. CHEIKH ABDULLAH BIN KHALIFA  AL THA,FRE. HEAD (S),OLIVIER  PESLIER,"59,5kg",,,,,,,V. TYMOSHENKO,2016,Rk1Hd2ZZNXgza0VvaHg5S01kZjBkUT09
16,the grey gatsby (ire) m.ps. 5 a.,06,Par: MASTERCRAFTSMAN  et MARIE VISON (ENTREPRENEUR),5/4 (Corde:02),,FRANCIS JOSEPH  GILLESPIE,KA. RYAN,JAMES WILLIAM  DOYLE,"59,5kg",,,,,,,M. PARRISH,2016,eGEzek1uazFKVHQvbHIvWTJPMzlRUT09
1,zarkava ire f.ps. 3 a.,16,Par: ZAMINDAR  et ZARKASHA (KAHYASI),(Corde:01),,S.A.   AGA KHAN,A.DE ROYER DUPRE,CHRISTOPHE  SOUMILLON,"54,5kg",2.285.600,,,,,,S.A.  AGA KHAN,2008,YWNmUDA5eEQ3dFgyNElBa3B0MlRJQT09
2,youmzain ire m.ps. 5 a.,01,Par: SINNDAR  et SADIMA (SADLER'S WELLS),2.L (Corde:03),,JABER  ABDULLAH,MR. CHANNON,RICHARD-JAMES  HILLS,"59,5kg",914.400,,,,,,F. DUNNE,2008,NnhGZ1B4bXkxSGtiYVFyMG9pN0cyQT09
3,soldier of fortune ire m.ps. 4 a.,06,Par: GALILEO  et AFFIANCED (ERINS ISLE),1/2 (Corde:09),,MME J.MAGNIER/D.SMITH/M.TABOR,AP. O'BRIEN,JAMES-ANTHONY  HEFFERNAN,"59,5kg",342.800,,,,,1,JS. BOLGER,2008,TlVwdUJtc1N6SEFGZk1aTThYYVRGdz09
3,it's gino ger m.ps. 5 a.,09,Par: PERUGINO  et IMELDA (LOMITAS),1/2 (Corde:02),,STALL 5 STARS,P. VOVCENKO,MR THIERRY  THULLIEZ,"59,5kg",342.800,,,,,,MME B. NUTTELMANN,2008,MjlMSlBkbnpHN0NCNXZ3aklVbG5jQT09
5,vision d'etat  m.ps.+,12,Par: CHICHICASTENANGO  et UBERABA (GARDE ROYALE),1.L (Corde:08),,JACQUES  DETRE,E. LIBAUD,IORITZ  MENDIZABAL,56 kg,114.400,,4.404,,,,SUC. G. GILLES,2008,RkdjY3JKQldKa3lmQjkxaTkxNGYxUT09
6,ask gb m.ps. 5 a.,03,Par: SADLER'S WELLS  et REQUEST (RAINBOW QUEST),ENC (Corde:15),,PATRICK  FAHEY,SIR MR. STOUTE,RYAN-LEE  MOORE,"59,5kg",,,,,,,SIDE HILL STUD,2008,TUlnUHpYTm15RUo2Q2NVSjFqU0pDUT09
7,duke of marmalade ire m.ps. 4 a.,07,Par: DANEHILL  et LOVE ME TRUE (KINGMAMBO),T (Corde:14),,MME JOHN MAGNIER/MICHAEL TABOR,AP. O'BRIEN,JOHN-PATRICK  MURTAGH,"59,5kg",,,,,,1,SOUTHERN BLOODSTOCK,2008,NUd5ZTFPNUQwNmp4OGlsY0hwOVliQT09
8,getaway ger m.ps. 5 a.,11,Par: MONSUN  et GUERNICA (UNFUWAIN),1.L (Corde:07),,BARON GEORG VON ULLMANN,A. FABRE,OLIVIER  PESLIER,"59,5kg",,,,,,,BARON G.VON ULLMANN,2008,OWEvTkFId2VXV0hCOG9oaERMTXE1Zz09
9,cima de triomphe ire m.ps. 3 a.,15,Par: GALILEO  et SOPRAN LONDA (DANEHILL),1.L (Corde:16),,TERUYA  YOSHIDA,B. GRIZZETTI,DARIO  VARGIU,56 kg,,,,,,,SOFIM SRL,2008,aUtYaVhKMkJzQzFEblB5Q0NsU09hZz09
10,meisho samson jpn m.ps. 5 a.,05,Par: OPERA HOUSE  et MY VIVIEN (DANCING BRAVE),CTT (Corde:04),,YOSHIO  MATSUMOTO,S. TAKAHASHI,YUTAKA  TAKE,"59,5kg",,,,,,,K. HAYASHI,2008,czMzdVMvOTdNaTU4V1cvaHFUeU5kZz09
--,zambezi sun gb m.ps. 4 a.,02,Par: DANSILI  et IMBABALA (ZAFONIC),(Corde:11),,SUC. KHALID  ABDULLAH,P. BARY (S),STEPHANE  PASQUIER,"59,5kg",,,,,,,JUDDMONTE FARMS IRELAND,2008,L1Z1bVhvZ3VMNlQ5eDdOYVJVRXU2dz09
--,schiaparelli ger m.ps. 5 a.,04,Par: MONSUN  et SACARINA (OLD VIC),(Corde:10),,GODOLPHIN,S. BIN SUROOR,LANFRANCO  DETTORI,"59,5kg",,,,,,,GESTUT KARLSHOF,2008,RytjT25OdVpEVlhBbHFFYzBUdXAyQT09
--,papal bull gb m.ps. 5 a.,08,Par: MONTJEU  et MIALUNA (ZAFONIC),(Corde:05),,PAPAL BULL SYNDICATE,SIR MR. STOUTE,JIMMY  FORTUNE,"59,5kg",,,,,,,"BH. SIMPSON, CFD. SIMPSON",2008,OHRGVnJJcVBuaExzMGxtQld4ckRJQT09
--,red rock canyon ire m.ps. 4 a.,10,Par: ROCK OF GIBRALTAR  et IMAGINE (SADLER'S WELLS),(Corde:13),,TABOR/MAGNIER/SMITH/NAGLE,AP. O'BRIEN,COLM  O'DONOGHUE,"59,5kg",,,,,,1,"BEAVERSTONE,  TOWER BLOODSTOCK",2008,VERWUENCaGRhQUNZY1drMjdFNEJtZz09
--,kamsin ger m.ps. 3 a.,13,Par: SAMUM  et KAPITOL (WINGED LOVE),(Corde:12),,STALL BLANKENESE,P. SCHIERGEN,JOHAN  VICTOIRE,56 kg,,,,S,,,GESTUT KARLSHOF,2008,cE5mVGNibzZ2UDF3NjV2cGZ1a1VvUT09
--,blue bresil  m.ps. 3 a.,14,Par: SMADOUN  et MISS RECIF (EXIT TO NOWHERE),(Corde:06),,SUC. FREDDY  TONDELIER,L. LARRIGADE,MR WILLIAM  MONGIL,56 kg,,,,,,,JL. PARIENTE,2008,bXN4Y3dmQ1FiOFpPUEU5TU1ZV2xRZz09
1,treve  f.ps. 3 a.,18,Par: MOTIVATOR  et TREVISE (ANABAA),(Corde:15),,CHEIK JOAAN BIN HAMAD  AL THANI,MME C. HEAD,THIERRY  JARNET,"54,5kg",2.742.720,,87.995,S,,,HARAS DU QUESNAY,2013,d2JMa2NYejhOVDh1OUMzNW9CT2c4UT09
2,orfevre jpn m.ps. 5 a.,06,Par: STAY GOLD  et ORIENTAL ART (MEJIRO MCQUEEN),5.L (Corde:08),,SUNDAY RACING CO. LTD,Y. IKEE,CHRISTOPHE  SOUMILLON,"59,5kg",1.097.280,,,,,,SHADAI CORPORATION INC,2013,V0swazNFZzMvaCtad3ZUNTdiNmRVUT09
3,intello (ger) m.ps. 3 a.,17,Par: GALILEO  et IMPRESSIONNANTE (DANEHILL),ENC (Corde:09),,WERTHEIMER & FRERE,A. FABRE (S),OLIVIER  PESLIER,56 kg,548.640,,17.602,,,,WERTHEIMER & FRERE,2013,Rm8xbnU4bFU3SkNHTmUvajc2c0xYUT09
4,kizuna jpn m.ps. 3 a.,14,Par: DEEP IMPACT  et CATEQUIL (STORM CAT),2.L (Corde:11),,SHINJI  MAEDA,S. SASAKI,YUTAKA  TAKE,56 kg,274.080,,,,,,NORTH HILLS CO. LTD,2013,UVFkMzhzblJXZ2pma04rVDRYTGV6dz09
5,penglai pavilion usa h.ps. 3 a.,13,Par: MONSUN  et MAIDEN TOWER (GROOM DANCER),2.L (Corde:10),,DARLEY SNC,A. FABRE (S),MICKAEL  BARZALONA,56 kg,137.280,,,,,,DARLEY STUD MANAGEMENT CO. LTD,2013,c0hTZWZ6bWIyRHhkMEhsK3NYOTdZdz09
6,al kazeem gb m.ps. 5 a.,03,Par: DUBAWI  et KAZEEM (DARSHAAN),2.L (Corde:18),,DANIEL JOHN  DEER,RJ. CHARLTON,JAMES WILLIAM  DOYLE,"59,5kg",,,,,,,"DJ. DEER,MME DJ. DEER",2013,Wjl1NWVXZGlWdlI4dUJwSndENFY2QT09
7,ruler of the world ire m.ps. 3 a.,15,Par: GALILEO  et LOVE ME TRUE (KINGMAMBO),CTT (Corde:06),,MME J. MAGNIER/M.TABOR/D.SMITH,AP. O'BRIEN,RYAN-LEE  MOORE,56 kg,,,,,,1,SOUTHERN BLOODSTOCK,2013,T284Ny8xbGpaUUxSQXhJUDcrNTl4dz09
8,flintshire gb m.ps. 3 a.,10,Par: DANSILI  et DANCE ROUTINE (SADLER'S WELLS),3/4 (Corde:07),,SUC. KHALID  ABDULLAH,A. FABRE (S),MAXIME  GUYON,56 kg,,,,,,,JUDDMONTE FARMS IRELAND,2013,d29nU2FtRTVHbGN3NGl5S2JOUlljdz09
9,going somewhere brz m.ps. 4 a.,07,Par: SULAMANI  et ANGEL STAR (SPECIAL NASH),NEZ (Corde:04),,BENJAMIN  STEINBRUCH,D. SMAGA,GREGORY  BENOIST,59 kg,,,,,,,HARAS PHILLIPSON,2013,ZWd4UmkyYTlrK25ZTGRQcFhBWUZ2QT09
10,meandre  m.ps. 5 a.,05,Par: SLICKLY  et PENNE (SEVRES ROSE),CTE (Corde:02),,RAMZAN  KADYROV,A. SHAVUYEV,UMBERTO  RISPOLI,"59,5kg",,,,S,,,FAMILLE ROTHSCHILD,2013,YWhNKzJ4SXd1QWl3MHo3Sm9QYjU0dz09
11,sahawar  m.ps. 3 a.,16,Par: DARK ANGEL  et SAARYEH (ROYAL ACADEMY),(Corde:16),,SIMON  SPRINGER,C. FERLAND (S),MR THIERRY  THULLIEZ,56 kg,,,,,,,HARAS DE BEAUVOIR,2013,a1hqWDF1YXFCdVFhNm45MjNSMzB5QT09
12,leading light ire m.ps. 3 a.,11,Par: MONTJEU  et DANCE PARADE (GONE WEST),(Corde:05),,D.SMITH/MME J.MAGNIER/M.TABOR,AP. O'BRIEN,GERALD  MOSSE,56 kg,,,,S,,1,LYNCH-BAGES LTD,2013,SW1mT05IeUpoYkVjSGl3M3BWbW9Tdz09
13,joshua tree ire m.ps. 6 a.,04,Par: MONTJEU  et MADEIRA MIST (GRAND LODGE),(Corde:14),,K.K. AL NABOODA/K. ALBAHOU,EAL. DUNLOP,RICHARD  HUGHES,"59,5kg",,,,,,,"CASTLEMARTIN STUD,  ECURIE SKYMARC FARM",2013,WWxFUyt2Qmc4djI4VE9PM3FlRTAxQT09
14,ocovango gb m.ps. 3 a.,12,Par: MONSUN  et CRYSTAL MAZE (GONE WEST),(Corde:13),,PRCE A.  FAISAL,A. FABRE (S),STEPHANE  PASQUIER,56 kg,,,,,,,WATERSHIP DOWN STUD,2013,YzBpaVBQcnZ4Nko1WmRudDg5eUVOUT09
15,pirika (ire) f.ps. 5 a.,09,Par: MONSUN  et PAITA (INTIKHAB),(Corde:03),,TERUYA  YOSHIDA,A. FABRE (S),PIERRE-CHARLES  BOUDOT,58 kg,,,,,,,SHADAI FARM,2013,ak04VG9jcmlLQ3gxQ2l5ZExmMGdBUT09
16,very nice name  m.ps. 4 a.,01,Par: WHIPPER  et NAMONA (HALLING),(Corde:01),,S.A. CHEIKH ABDULLAH BIN KHALIFA  AL THA,A.DE MIEULLE,PIERANTONIO  CONVERTINO,"59,5kg",,,,,,,R. BOUCRET,2013,RWZHOFk2dm1RMytaUCtzTU4xZ0Q3QT09
17,haya landa  f.ps. 5 a.,08,Par: LANDO  et HAYA SAMMA (PIVOTAL),(Corde:17),,MME ODETTE  FAU,MME L. AUDON,FRANCK  BLONDEL,58 kg,,,,,,,MME O. FAU,2013,alJjOVppdmZJZ2RTaGZFMmVqZVZlUT09
NP,NOVELLIST,02,CERTIFICAT VETERINAIRE,,,,,,,,,,,,,,2013,WnJNU21TZ1VWeGkwQm1VaERpa2VKdz09
1,sottsass  m.ps. 4 a.,07,Par: SIYOUNI  et STARLET'S SISTER (GALILEO),(Corde:04),,WHITE BIRCH FARM,JC. ROUGET (S),CRISTIAN  DEMURO,"59,5kg",1.926.760,,91.044,,,,ECURIE DES MONCEAUX,2020,VmpxdVlzR1R1VGNtdUxJOGVxL0VGZz09
2,in swoop ire m.ps. 3 a.,12,Par: ADLERFLUG  et IOTA (TIGER HILL),ENC (Corde:01),,GESTUT SCHLENDERHAN,FH. GRAFFARD (S),RONAN  THOMAS,"56,5kg",770.839,,,,,,STALL ULLMANN,2020,OEtVY3N1ZmxHVTNwUTlQVWdDdXZDZz09
3,persian king (ire) m.ps. 4 a.,01,Par: KINGMAN  et PRETTY PLEASE (DYLAN THOMAS),7/4 (Corde:07),,BALLYMORE/GODOLPHIN SNC,A. FABRE (S),PIERRE-CHARLES  BOUDOT,"59,5kg",385.419,,18.209,,,,DAYTON INVESTMENTS LTD,2020,eHZpS0hMSTB6OHFVZTlQMmZUTWY4dz09
4,gold trip  m.ps. 3 a.,10,Par: OUTSTRIP  et SARVANA (DUBAI DESTINATION),T (Corde:09),,ECURIE JEAN-LOUIS BOUCHARD,F. CHAPPET,STEPHANE  PASQUIER,"56,5kg",192.541,,9.104,,,,M. MONFORT,2020,MHlnYUcrbnUvU0trTU1Gd1krQjhFQT09
5,raabihah usa f.ps. 3 a.,15,Par: SEA THE STARS  et GARMOOSHA (KINGMAMBO),2.L (Corde:02),,SHADWELL FRANCE,JC. ROUGET (S),MAXIME  GUYON,55 kg,96.439,,,,,,SHADWELL FARM,2020,L21YajJPdkRTQkVURUtZSnozMm1HUT09
6,enable gb f.ps. 6 a.,08,Par: NATHANIEL  et CONCENTRIC (SADLER'S WELLS),2.L (Corde:05),,SUC. KHALID  ABDULLAH,J. GOSDEN,LANFRANCO  DETTORI,58 kg,,,,,,,JUDDMONTE FARMS IRELAND,2020,cHRPK0JXeWl3U2d5a3Y0T0xiSHBQQT09
7,stradivarius ire m.ps. 6 a.,06,Par: SEA THE STARS  et PRIVATE LIFE (BERING),1/2 (Corde:14),,BJORN E.  NIELSEN,J. GOSDEN,OLIVIER  PESLIER,"59,5kg",,,,,,,BE. NIELSEN,2020,WmxLeERDdTRtZTBTaVFOTnhzY0kwUT09
8,deirdre jpn f.ps. 6 a.,09,Par: HARBINGER  et REIZEND (SPECIAL WEEK),2.5 (Corde:12),,TOJI  MORITA,M. HASHIDA,JAMES PETER  SPENCER,58 kg,,,,,,,NORTHERN FARM,2020,VEo0Z2ttM2xvSGhIdFV6aUVOUjBIUT09
9,way to paris gb m.ps. 7 a.,03,Par: CHAMPS ELYSEES  et GREY WAY (COZZENE),NEZ (Corde:06),,PAOLO  FERRARIO,A. MARCIALIS,IORITZ  MENDIZABAL,"59,5kg",,,,,,,GRUNDY BLOODSTOCK LTD,2020,RlZKZW5yTVkxQ2VLUG1OSTlMMytGZz09
10,royal julius ire m.ps. 7 a.,02,Par: ROYAL APPLAUSE  et HFLAH (DUBAWI),3/4 (Corde:08),,JEAN-JACQUES  BIARESE,J. REYNIER,SHANE  FOLEY,"59,5kg",,,,,,,OLD CARHUE STUD,2020,czliWEdqRDNROWtwMmtHMThuN3JEdz09
11,chachnak  m.ps. 3 a.,11,Par: KINGMAN  et TAMAZIRTE (DANEHILL DANCER),20L (Corde:13),,ECURIE LA VALLEE MARTIGNY EARL,F. VERMEULEN (S),TONY  PICCONE,"56,5kg",,,,,,,"ECURIE LA VALLEE MARTIGNY EARL,  ECURIE DU LOUP",2020,aE9ndDRLT1ZtMjZFQkJQb0x6MDZGUT09
NP,JAPAN,04,CAS DE FORCE MAJEURE,,,,,,,,,,,,,,2020,aER2UWw3NU5WUWlhNHZoRno1Y1FJdz09
NP,SOVEREIGN,05,CAS DE FORCE MAJEURE,,,,,,,,,,,,,,2020,dVloNTQvczdqZUlRWWxqZjI2Tksxdz09
NP,MOGUL,13,CAS DE FORCE MAJEURE,,,,,,,,,,,,,,2020,bkl3RXJaS3dIdXk0OTdjZWFpby93dz09
NP,SERPENTINE,14,CAS DE FORCE MAJEURE,,,,,,,,,,,,,,2020,akRHUjRXMk50TFVOcXRFZ3ZYUVU0dz09
1,enable gb f.ps. 4 a.,10,Par: NATHANIEL  et CONCENTRIC (SADLER'S WELLS),(Corde:06),,SUC. KHALID  ABDULLAH,J. GOSDEN,LANFRANCO  DETTORI,58 kg,2.857.000,,,,,,JUDDMONTE FARMS IRELAND,2018,cHRPK0JXeWl3U2d5a3Y0T0xiSHBQQT09
2,sea of class ire f.ps. 3 a.,19,Par: SEA THE STARS  et HOLY MOON (HERNANDO),CTE (Corde:15),,SUNDERLAND HOLDING INC.,WJ. HAGGAS,JAMES WILLIAM  DOYLE,55 kg,1.143.000,,,S,,,RAZZA DEL VELINO SRL,2018,MnlGN1A4ZHhhYWlLM3ZsVTBZaUhNdz09
3,cloth of stars ire m.ps. 5 a.,06,Par: SEA THE STARS  et STRAWBERRY FLEDGE (KINGMAMBO),3/4 (Corde:09),,GODOLPHIN SNC,A. FABRE (S),VINCENT  CHEMINAUD,"59,5kg",571.500,,,,,2,P. ANASTASIOU,2018,c2FDVXVlclNjNExrNk9ZSjJLaEgwUT09
4,waldgeist gb m.ps. 4 a.,05,Par: GALILEO  et WALDLERCHE (MONSUN),3/4 (Corde:13),,GESTUT AMMERLAND/NEWSELLS PARK,A. FABRE (S),PIERRE-CHARLES  BOUDOT,"59,5kg",285.500,,,,,,THE WALDLERCHE PARTNERSHIP,2018,RG1DS2Y3R0tTdWJjNmk1ZWpuelpmQT09
5,capri ire m.ps. 4 a.,03,Par: GALILEO  et DIALAFARA (ANABAA),1.5 (Corde:04),,D.SMITH/MME J.MAGNIER/M.TABOR,AP. O'BRIEN,DONNACHA AIDAN  O'BRIEN,"59,5kg",143.000,,,,,1,"LYNCH-BAGES LTD,  CAMAS PARK STUD",2018,aVNwNVk4YjBqZis5Yjc4K1NKbHJOZz09
6,salouen ire m.ps. 4 a.,02,Par: CANFORD CLIFFS  et GALI GAL (GALILEO),1/2 (Corde:07),,HIRAN  BALASURIYA,S. KIRK,OISIN  MURPHY,"59,5kg",,,,,,,SILVERCON EDGERODGE LTD,2018,aWtjV3FPTU0yK3ZuSmJldXJCR042Zz09
7,kew gardens ire m.ps. 3 a.,13,Par: GALILEO  et CHELSEA ROSE (DESERT KING),ENC (Corde:14),,D.SMITH/MME J.MAGNIER/M.TABOR,AP. O'BRIEN,RYAN-LEE  MOORE,"56,5kg",,,,,,1,BARRONSTOWN STUD,2018,OTE4NWgvczJmSkVIR0ROUnNpa09EZz09
8,nelson ire m.ps. 3 a.,17,Par: FRANKEL  et MOONSTONE (DALAKHANI),ENC (Corde:03),,MME J. MAGNIER/M.TABOR/D.SMITH,AP. O'BRIEN,MICHAEL CHRISTOPHER  HUSSEY,"56,5kg",,,,,,3,"ORPENDALE,  CHELSTON (IRELAND),  WYNATT",2018,S0RNK2hRbnlXdWM1VE5ZNHAzdno1Zz09
9,study of man ire m.ps. 3 a.,14,Par: DEEP IMPACT  et SECOND HAPPINESS (STORM CAT),CTE (Corde:19),,FLAXMAN STABLES IRELAND L.T.D,P. BARY (S),STEPHANE  PASQUIER,"56,5kg",,,,,,,FLAXMAN STABLES IRELAND L.T.D,2018,Q3Y2c2JyZ0IwdVhVYnhMRnk1UHVFZz09
10,magical ire f.ps. 3 a.,18,Par: GALILEO  et HALFWAY TO HEAVEN (PIVOTAL),3/4 (Corde:16),,D.SMITH/MME J.MAGNIER/M.TABOR,AP. O'BRIEN,WAYNE-MARTIN  LORDAN,55 kg,,,,,,1,"ORPENDALE,  CHELSTON (IRELAND),  WYNATT",2018,SVBpN2FvMnJyN1hZYkJ2dUNVRWxDUT09
11,way to paris gb m.ps. 5 a.,04,Par: CHAMPS ELYSEES  et GREY WAY (COZZENE),1/2 (Corde:10),,PAOLO  FERRARIO,A. MARCIALIS,GERALD  MOSSE,"59,5kg",,,,,,,GRUNDY BLOODSTOCK LTD,2018,RlZKZW5yTVkxQ2VLUG1OSTlMMytGZz09
12,tiberian  m.ps. 6 a.,08,Par: TIBERIUS CAESAR  et TOAMASINA (MARJU),3/4 (Corde:05),,H.DU LOGIS/H. VOLZ/S. FALK/ATB,A. COUETIL (S),WILLIAM  BUICK,"59,5kg",,,,,,,"EARL  HARAS DU LOGIS, J. INCE, S. FALK, HEL. VOLZ",2018,Mm9SblZqMzJiYkUyK3EwNkdVTkJ1QT09
13,talismanic gb m.ps. 5 a.,07,Par: MEDAGLIA D'ORO  et MAGIC MISSION (MACHIAVELLIAN),4.5 (Corde:08),,GODOLPHIN SNC,A. FABRE (S),MICKAEL  BARZALONA,"59,5kg",,,,,,2,DARLEY STUD MANAGEMENT CO. LTD,2018,Z2I5elZrWUt2dW1KQ0lvb2lvVFhTdz09
14,patascoy  h.ps. 3 a.,12,Par: WOOTTON BASSETT  et NOBLE WORLD (WINGED LOVE),CTE (Corde:02),,SUC. ROBERTO  COCHETEUX TIERNO,X. THOMAS DEMEAULTE,OLIVIER  PESLIER,"56,5kg",,,,,,,MME B. MOSER,2018,MGhOQitWN0dBWE1aYWNXbXNQemNKZz09
15,defoe ire h.ps. 4 a.,01,Par: DALAKHANI  et DULKASHE (PIVOTAL),1/2 (Corde:18),,CHEIK MOHAMMED OBAID  AL MAKTOUM,R. VARIAN,ANDREA  ATZENI,"59,5kg",,,,,,,DARLEY STUD MANAGEMENT CO. LTD,2018,dytmNjY1aXBDZzhnc1R2U2VlTk42dz09
16,hunting horn ire m.ps. 3 a.,16,Par: CAMELOT  et MORA BAI (INDIAN RIDGE),4.5 (Corde:12),,MME J. MAGNIER/M.TABOR/D.SMITH,AP. O'BRIEN,JAMES-ANTHONY  HEFFERNAN,"56,5kg",,,,,,3,"LYNCH-BAGES LTD,  RHINESTONE BLOODSTOCK",2018,d3cyTC9aMW9MbnFkUk9JVUpYVzhyQT09
17,clincher jpn m.ps. 4 a.,09,Par: DEEP SKY  et THE FATES (BRIAN'S TIME),(Corde:01),,KOJI  MAEDA,H. MIYAMOTO,YUTAKA  TAKE,"59,5kg",,,,,,,HIRAYAMA BOKUJO,2018,RWQ1TlhMdGFJMUhUS0dhQksxc3M1QT09
18,neufbosc  m.ps. 3 a.,11,Par: MASTERCRAFTSMAN  et NONSUCH WAY (VERGLAS),(Corde:11),,GERARD  AUGUSTIN-NORMAND,MME P. BRANDT,CRISTIAN  DEMURO,"56,5kg",,,,,,,FRANKLIN FINANCE S.A.,2018,ZkZSOXRjWEVteXM3QXNBb1A2WUtZUT09
19,louis d'or (ire) m.ps. 3 a.,15,Par: INTELLO  et SOUDANAISE (PEINTRE CELEBRE),(Corde:17),,CAMILLE  GARNIER,T. CASTANHEIRA (S),ANTOINE  HAMELIN,"56,5kg",,,,,,,DAYTON INVESTMENTS LTD,2018,WEtWMjBnZEtPSmV1SnAyOVg1dkpSUT09
1,workforce gb m.ps. 3 a.,13,Par: KING'S BEST  et SOVIET MOON (SADLER'S WELLS),(Corde:08),,SUC. KHALID  ABDULLAH,SIR MR. STOUTE,RYAN-LEE  MOORE,56 kg,2.285.600,,,,,,JUDDMONTE FARMS IRELAND,2010,RXVXVUZDNTBmcW80a1lCNFBpa3Qwdz09
2,nakayama festa jpn m.ps. 4 a.,07,Par: STAY GOLD  et DEAR WINK (TIGHT SPOT),T (Corde:10),,SHINICHI  IZUMI,Y. NINOMIYA,MASAYOSHI  EBINA,"59,5kg",914.400,,,,,,ARAI BOKUJO,2010,L0tOWlRjUkdkbWttb3FXeXhpVktzZz09
3,sarafina  f.ps. 3 a.,20,Par: REFUSE TO BEND  et SANARIYA (DARSHAAN),2.5 (Corde:03),,S.A.   AGA KHAN,A.DE ROYER DUPRE,GERALD  MOSSE,"54,5kg",457.200,,17.602,,,3,S.A.  AGA KHAN,2010,aXFKbGxtY2wzeEU3Zno4SFFSTVhhZz09
