Place,Cheval,N°,Père/Mère,Écart au précédent,Couleurs,Propriétaire,Entraîneur,Jockey,Poids,Gain,Prim. prop.,Prim. elev.,Suppl.,Œil.,Écurie.,Éleveurs,Année
5,RkdjY3JKQldKa3lmQjkxaTkxNGYxUT09,12,Par: CHICHICASTENANGO  et UBERABA (GARDE ROYALE),1.L (Corde:08),,JACQUES  DETRE,E. LIBAUD,IORITZ  MENDIZABAL,56 kg,114.400,,4.404,,,,SUC. G. GILLES,2008
6,TUlnUHpYTm15RUo2Q2NVSjFqU0pDUT09,03,Par: SADLER'S WELLS  et REQUEST (RAINBOW QUEST),ENC (Corde:15),,PATRICK  FAHEY,SIR MR. STOUTE,RYAN-LEE  MOORE,"59,5kg",,,,,,,SIDE HILL STUD,2008
7,NUd5ZTFPNUQwNmp4OGlsY0hwOVliQT09,07,Par: DANEHILL  et LOVE ME TRUE (KINGMAMBO),T (Corde:14),,MME JOHN MAGNIER/MICHAEL TABOR,AP. O'BRIEN,JOHN-PATRICK  MURTAGH,"59,5kg",,,,,,1,SOUTHERN BLOODSTOCK,2008
8,OWEvTkFId2VXV0hCOG9oaERMTXE1Zz09,11,Par: MONSUN  et GUERNICA (UNFUWAIN),1.L (Corde:07),,BARON GEORG VON ULLMANN,A. FABRE,OLIVIER  PESLIER,"59,5kg",,,,,,,BARON G.VON ULLMANN,2008
9,aUtYaVhKMkJzQzFEblB5Q0NsU09hZz09,15,Par: GALILEO  et SOPRAN LONDA (DANEHILL),1.L (Corde:16),,TERUYA  YOSHIDA,B. GRIZZETTI,DARIO  VARGIU,56 kg,,,,,,,SOFIM SRL,2008
10,czMzdVMvOTdNaTU4V1cvaHFUeU5kZz09,05,Par: OPERA HOUSE  et MY VIVIEN (DANCING BRAVE),CTT (Corde:04),,YOSHIO  MATSUMOTO,S. TAKAHASHI,YUTAKA  TAKE,"59,5kg",,,,,,,K. HAYASHI,2008
--,L1Z1bVhvZ3VMNlQ5eDdOYVJVRXU2dz09,02,Par: DANSILI  et IMBABALA (ZAFONIC),(Corde:11),,SUC. KHALID  ABDULLAH,P. BARY (S),STEPHANE  PASQUIER,"59,5kg",,,,,,,JUDDMONTE FARMS IRELAND,2008
--,RytjT25OdVpEVlhBbHFFYzBUdXAyQT09,04,Par: MONSUN  et SACARINA (OLD VIC),(Corde:10),,GODOLPHIN,S. BIN SUROOR,LANFRANCO  DETTORI,"59,5kg",,,,,,,GESTUT KARLSHOF,2008
--,OHRGVnJJcVBuaExzMGxtQld4ckRJQT09,08,Par: MONTJEU  et MIALUNA (ZAFONIC),(Corde:05),,PAPAL BULL SYNDICATE,SIR MR. STOUTE,JIMMY  FORTUNE,"59,5kg",,,,,,,"BH. SIMPSON, CFD. SIMPSON",2008
--,VERWUENCaGRhQUNZY1drMjdFNEJtZz09,10,Par: ROCK OF GIBRALTAR  et IMAGINE (SADLER'S WELLS),(Corde:13),,TABOR/MAGNIER/SMITH/NAGLE,AP. O'BRIEN,COLM  O'DONOGHUE,"59,5kg",,,,,,1,"BEAVERSTONE,  TOWER BLOODSTOCK",2008
--,cE5mVGNibzZ2UDF3NjV2cGZ1a1VvUT09,13,Par: SAMUM  et KAPITOL (WINGED LOVE),(Corde:12),,STALL BLANKENESE,P. SCHIERGEN,JOHAN  VICTOIRE,56 kg,,,,S,,,GESTUT KARLSHOF,2008
--,bXN4Y3dmQ1FiOFpPUEU5TU1ZV2xRZz09,14,Par: SMADOUN  et MISS RECIF (EXIT TO NOWHERE),(Corde:06),,SUC. FREDDY  TONDELIER,L. LARRIGADE,MR WILLIAM  MONGIL,56 kg,,,,,,,JL. PARIENTE,2008
1,d2JMa2NYejhOVDh1OUMzNW9CT2c4UT09,18,Par: MOTIVATOR  et TREVISE (ANABAA),(Corde:15),,CHEIK JOAAN BIN HAMAD  AL THANI,MME C. HEAD,THIERRY  JARNET,"54,5kg",2.742.720,,87.995,S,,,HARAS DU QUESNAY,2013
2,V0swazNFZzMvaCtad3ZUNTdiNmRVUT09,06,Par: STAY GOLD  et ORIENTAL ART (MEJIRO MCQUEEN),5.L (Corde:08),,SUNDAY RACING CO. LTD,Y. IKEE,CHRISTOPHE  SOUMILLON,"59,5kg",1.097.280,,,,,,SHADAI CORPORATION INC,2013
3,Rm8xbnU4bFU3SkNHTmUvajc2c0xYUT09,17,Par: GALILEO  et IMPRESSIONNANTE (DANEHILL),ENC (Corde:09),,WERTHEIMER & FRERE,A. FABRE (S),OLIVIER  PESLIER,56 kg,548.640,,17.602,,,,WERTHEIMER & FRERE,2013
4,UVFkMzhzblJXZ2pma04rVDRYTGV6dz09,14,Par: DEEP IMPACT  et CATEQUIL (STORM CAT),2.L (Corde:11),,SHINJI  MAEDA,S. SASAKI,YUTAKA  TAKE,56 kg,274.080,,,,,,NORTH HILLS CO. LTD,2013
5,c0hTZWZ6bWIyRHhkMEhsK3NYOTdZdz09,13,Par: MONSUN  et MAIDEN TOWER (GROOM DANCER),2.L (Corde:10),,DARLEY SNC,A. FABRE (S),MICKAEL  BARZALONA,56 kg,137.280,,,,,,DARLEY STUD MANAGEMENT CO. LTD,2013
6,Wjl1NWVXZGlWdlI4dUJwSndENFY2QT09,03,Par: DUBAWI  et KAZEEM (DARSHAAN),2.L (Corde:18),,DANIEL JOHN  DEER,RJ. CHARLTON,JAMES WILLIAM  DOYLE,"59,5kg",,,,,,,"DJ. DEER,MME DJ. DEER",2013
7,T284Ny8xbGpaUUxSQXhJUDcrNTl4dz09,15,Par: GALILEO  et LOVE ME TRUE (KINGMAMBO),CTT (Corde:06),,MME J. MAGNIER/M.TABOR/D.SMITH,AP. O'BRIEN,RYAN-LEE  MOORE,56 kg,,,,,,1,SOUTHERN BLOODSTOCK,2013
8,d29nU2FtRTVHbGN3NGl5S2JOUlljdz09,10,Par: DANSILI  et DANCE ROUTINE (SADLER'S WELLS),3/4 (Corde:07),,SUC. KHALID  ABDULLAH,A. FABRE (S),MAXIME  GUYON,56 kg,,,,,,,JUDDMONTE FARMS IRELAND,2013
9,ZWd4UmkyYTlrK25ZTGRQcFhBWUZ2QT09,07,Par: SULAMANI  et ANGEL STAR (SPECIAL NASH),NEZ (Corde:04),,BENJAMIN  STEINBRUCH,D. SMAGA,GREGORY  BENOIST,59 kg,,,,,,,HARAS PHILLIPSON,2013
10,YWhNKzJ4SXd1QWl3MHo3Sm9QYjU0dz09,05,Par: SLICKLY  et PENNE (SEVRES ROSE),CTE (Corde:02),,RAMZAN  KADYROV,A. SHAVUYEV,UMBERTO  RISPOLI,"59,5kg",,,,S,,,FAMILLE ROTHSCHILD,2013
11,a1hqWDF1YXFCdVFhNm45MjNSMzB5QT09,16,Par: DARK ANGEL  et SAARYEH (ROYAL ACADEMY),(Corde:16),,SIMON  SPRINGER,C. FERLAND (S),MR THIERRY  THULLIEZ,56 kg,,,,,,,HARAS DE BEAUVOIR,2013
12,SW1mT05IeUpoYkVjSGl3M3BWbW9Tdz09,11,Par: MONTJEU  et DANCE PARADE (GONE WEST),(Corde:05),,D.SMITH/MME J.MAGNIER/M.TABOR,AP. O'BRIEN,GERALD  MOSSE,56 kg,,,,S,,1,LYNCH-BAGES LTD,2013
13,WWxFUyt2Qmc4djI4VE9PM3FlRTAxQT09,04,Par: MONTJEU  et MADEIRA MIST (GRAND LODGE),(Corde:14),,K.K. AL NABOODA/K. ALBAHOU,EAL. DUNLOP,RICHARD  HUGHES,"59,5kg",,,,,,,"CASTLEMARTIN STUD,  ECURIE SKYMARC FARM",2013
14,YzBpaVBQcnZ4Nko1WmRudDg5eUVOUT09,12,Par: MONSUN  et CRYSTAL MAZE (GONE WEST),(Corde:13),,PRCE A.  FAISAL,A. FABRE (S),STEPHANE  PASQUIER,56 kg,,,,,,,WATERSHIP DOWN STUD,2013
15,ak04VG9jcmlLQ3gxQ2l5ZExmMGdBUT09,09,Par: MONSUN  et PAITA (INTIKHAB),(Corde:03),,TERUYA  YOSHIDA,A. FABRE (S),PIERRE-CHARLES  BOUDOT,58 kg,,,,,,,SHADAI FARM,2013
16,RWZHOFk2dm1RMytaUCtzTU4xZ0Q3QT09,01,Par: WHIPPER  et NAMONA (HALLING),(Corde:01),,S.A. CHEIKH ABDULLAH BIN KHALIFA  AL THA,A.DE MIEULLE,PIERANTONIO  CONVERTINO,"59,5kg",,,,,,,R. BOUCRET,2013
17,alJjOVppdmZJZ2RTaGZFMmVqZVZlUT09,08,Par: LANDO  et HAYA SAMMA (PIVOTAL),(Corde:17),,MME ODETTE  FAU,MME L. AUDON,FRANCK  BLONDEL,58 kg,,,,,,,MME O. FAU,2013
NP,WnJNU21TZ1VWeGkwQm1VaERpa2VKdz09,02,CERTIFICAT VETERINAIRE,,,,,,,,,,,,,,2013
1,VmpxdVlzR1R1VGNtdUxJOGVxL0VGZz09,07,Par: SIYOUNI  et STARLET'S SISTER (GALILEO),(Corde:04),,WHITE BIRCH FARM,JC. ROUGET (S),CRISTIAN  DEMURO,"59,5kg",1.926.760,,91.044,,,,ECURIE DES MONCEAUX,2020
2,OEtVY3N1ZmxHVTNwUTlQVWdDdXZDZz09,12,Par: ADLERFLUG  et IOTA (TIGER HILL),ENC (Corde:01),,GESTUT SCHLENDERHAN,FH. GRAFFARD (S),RONAN  THOMAS,"56,5kg",770.839,,,,,,STALL ULLMANN,2020
3,eHZpS0hMSTB6OHFVZTlQMmZUTWY4dz09,01,Par: KINGMAN  et PRETTY PLEASE (DYLAN THOMAS),7/4 (Corde:07),,BALLYMORE/GODOLPHIN SNC,A. FABRE (S),PIERRE-CHARLES  BOUDOT,"59,5kg",385.419,,18.209,,,,DAYTON INVESTMENTS LTD,2020
4,MHlnYUcrbnUvU0trTU1Gd1krQjhFQT09,10,Par: OUTSTRIP  et SARVANA (DUBAI DESTINATION),T (Corde:09),,ECURIE JEAN-LOUIS BOUCHARD,F. CHAPPET,STEPHANE  PASQUIER,"56,5kg",192.541,,9.104,,,,M. MONFORT,2020
5,L21YajJPdkRTQkVURUtZSnozMm1HUT09,15,Par: SEA THE STARS  et GARMOOSHA (KINGMAMBO),2.L (Corde:02),,SHADWELL FRANCE,JC. ROUGET (S),MAXIME  GUYON,55 kg,96.439,,,,,,SHADWELL FARM,2020
6,cHRPK0JXeWl3U2d5a3Y0T0xiSHBQQT09,08,Par: NATHANIEL  et CONCENTRIC (SADLER'S WELLS),2.L (Corde:05),,SUC. KHALID  ABDULLAH,J. GOSDEN,LANFRANCO  DETTORI,58 kg,,,,,,,JUDDMONTE FARMS IRELAND,2020
7,WmxLeERDdTRtZTBTaVFOTnhzY0kwUT09,06,Par: SEA THE STARS  et PRIVATE LIFE (BERING),1/2 (Corde:14),,BJORN E.  NIELSEN,J. GOSDEN,OLIVIER  PESLIER,"59,5kg",,,,,,,BE. NIELSEN,2020
8,VEo0Z2ttM2xvSGhIdFV6aUVOUjBIUT09,09,Par: HARBINGER  et REIZEND (SPECIAL WEEK),2.5 (Corde:12),,TOJI  MORITA,M. HASHIDA,JAMES PETER  SPENCER,58 kg,,,,,,,NORTHERN FARM,2020
9,RlZKZW5yTVkxQ2VLUG1OSTlMMytGZz09,03,Par: CHAMPS ELYSEES  et GREY WAY (COZZENE),NEZ (Corde:06),,PAOLO  FERRARIO,A. MARCIALIS,IORITZ  MENDIZABAL,"59,5kg",,,,,,,GRUNDY BLOODSTOCK LTD,2020
10,czliWEdqRDNROWtwMmtHMThuN3JEdz09,02,Par: ROYAL APPLAUSE  et HFLAH (DUBAWI),3/4 (Corde:08),,JEAN-JACQUES  BIARESE,J. REYNIER,SHANE  FOLEY,"59,5kg",,,,,,,OLD CARHUE STUD,2020
11,aE9ndDRLT1ZtMjZFQkJQb0x6MDZGUT09,11,Par: KINGMAN  et TAMAZIRTE (DANEHILL DANCER),20L (Corde:13),,ECURIE LA VALLEE MARTIGNY EARL,F. VERMEULEN (S),TONY  PICCONE,"56,5kg",,,,,,,"ECURIE LA VALLEE MARTIGNY EARL,  ECURIE DU LOUP",2020
NP,aER2UWw3NU5WUWlhNHZoRno1Y1FJdz09,04,CAS DE FORCE MAJEURE,,,,,,,,,,,,,,2020
NP,dVloNTQvczdqZUlRWWxqZjI2Tksxdz09,05,CAS DE FORCE MAJEURE,,,,,,,,,,,,,,2020
NP,bkl3RXJaS3dIdXk0OTdjZWFpby93dz09,13,CAS DE FORCE MAJEURE,,,,,,,,,,,,,,2020
NP,akRHUjRXMk50TFVOcXRFZ3ZYUVU0dz09,14,CAS DE FORCE MAJEURE,,,,,,,,,,,,,,2020
1,cHRPK0JXeWl3U2d5a3Y0T0xiSHBQQT09,10,Par: NATHANIEL  et CONCENTRIC (SADLER'S WELLS),(Corde:06),,SUC. KHALID  ABDULLAH,J. GOSDEN,LANFRANCO  DETTORI,58 kg,2.857.000,,,,,,JUDDMONTE FARMS IRELAND,2018
2,MnlGN1A4ZHhhYWlLM3ZsVTBZaUhNdz09,19,Par: SEA THE STARS  et HOLY MOON (HERNANDO),CTE (Corde:15),,SUNDERLAND HOLDING INC.,WJ. HAGGAS,JAMES WILLIAM  DOYLE,55 kg,1.143.000,,,S,,,RAZZA DEL VELINO SRL,2018
3,c2FDVXVlclNjNExrNk9ZSjJLaEgwUT09,06,Par: SEA THE STARS  et STRAWBERRY FLEDGE (KINGMAMBO),3/4 (Corde:09),,GODOLPHIN SNC,A. FABRE (S),VINCENT  CHEMINAUD,"59,5kg",571.500,,,,,2,P. ANASTASIOU,2018
4,RG1DS2Y3R0tTdWJjNmk1ZWpuelpmQT09,05,Par: GALILEO  et WALDLERCHE (MONSUN),3/4 (Corde:13),,GESTUT AMMERLAND/NEWSELLS PARK,A. FABRE (S),PIERRE-CHARLES  BOUDOT,"59,5kg",285.500,,,,,,THE WALDLERCHE PARTNERSHIP,2018
5,aVNwNVk4YjBqZis5Yjc4K1NKbHJOZz09,03,Par: GALILEO  et DIALAFARA (ANABAA),1.5 (Corde:04),,D.SMITH/MME J.MAGNIER/M.TABOR,AP. O'BRIEN,DONNACHA AIDAN  O'BRIEN,"59,5kg",143.000,,,,,1,"LYNCH-BAGES LTD,  CAMAS PARK STUD",2018
6,aWtjV3FPTU0yK3ZuSmJldXJCR042Zz09,02,Par: CANFORD CLIFFS  et GALI GAL (GALILEO),1/2 (Corde:07),,HIRAN  BALASURIYA,S. KIRK,OISIN  MURPHY,"59,5kg",,,,,,,SILVERCON EDGERODGE LTD,2018
7,OTE4NWgvczJmSkVIR0ROUnNpa09EZz09,13,Par: GALILEO  et CHELSEA ROSE (DESERT KING),ENC (Corde:14),,D.SMITH/MME J.MAGNIER/M.TABOR,AP. O'BRIEN,RYAN-LEE  MOORE,"56,5kg",,,,,,1,BARRONSTOWN STUD,2018
8,S0RNK2hRbnlXdWM1VE5ZNHAzdno1Zz09,17,Par: FRANKEL  et MOONSTONE (DALAKHANI),ENC (Corde:03),,MME J. MAGNIER/M.TABOR/D.SMITH,AP. O'BRIEN,MICHAEL CHRISTOPHER  HUSSEY,"56,5kg",,,,,,3,"ORPENDALE,  CHELSTON (IRELAND),  WYNATT",2018
9,Q3Y2c2JyZ0IwdVhVYnhMRnk1UHVFZz09,14,Par: DEEP IMPACT  et SECOND HAPPINESS (STORM CAT),CTE (Corde:19),,FLAXMAN STABLES IRELAND L.T.D,P. BARY (S),STEPHANE  PASQUIER,"56,5kg",,,,,,,FLAXMAN STABLES IRELAND L.T.D,2018
10,SVBpN2FvMnJyN1hZYkJ2dUNVRWxDUT09,18,Par: GALILEO  et HALFWAY TO HEAVEN (PIVOTAL),3/4 (Corde:16),,D.SMITH/MME J.MAGNIER/M.TABOR,AP. O'BRIEN,WAYNE-MARTIN  LORDAN,55 kg,,,,,,1,"ORPENDALE,  CHELSTON (IRELAND),  WYNATT",2018
11,RlZKZW5yTVkxQ2VLUG1OSTlMMytGZz09,04,Par: CHAMPS ELYSEES  et GREY WAY (COZZENE),1/2 (Corde:10),,PAOLO  FERRARIO,A. MARCIALIS,GERALD  MOSSE,"59,5kg",,,,,,,GRUNDY BLOODSTOCK LTD,2018
12,Mm9SblZqMzJiYkUyK3EwNkdVTkJ1QT09,08,Par: TIBERIUS CAESAR  et TOAMASINA (MARJU),3/4 (Corde:05),,H.DU LOGIS/H. VOLZ/S. FALK/ATB,A. COUETIL (S),WILLIAM  BUICK,"59,5kg",,,,,,,"EARL  HARAS DU LOGIS, J. INCE, S. FALK, HEL. VOLZ",2018
13,Z2I5elZrWUt2dW1KQ0lvb2lvVFhTdz09,07,Par: MEDAGLIA D'ORO  et MAGIC MISSION (MACHIAVELLIAN),4.5 (Corde:08),,GODOLPHIN SNC,A. FABRE (S),MICKAEL  BARZALONA,"59,5kg",,,,,,2,DARLEY STUD MANAGEMENT CO. LTD,2018
14,MGhOQitWN0dBWE1aYWNXbXNQemNKZz09,12,Par: WOOTTON BASSETT  et NOBLE WORLD (WINGED LOVE),CTE (Corde:02),,SUC. ROBERTO  COCHETEUX TIERNO,X. THOMAS DEMEAULTE,OLIVIER  PESLIER,"56,5kg",,,,,,,MME B. MOSER,2018
15,dytmNjY1aXBDZzhnc1R2U2VlTk42dz09,01,Par: DALAKHANI  et DULKASHE (PIVOTAL),1/2 (Corde:18),,CHEIK MOHAMMED OBAID  AL MAKTOUM,R. VARIAN,ANDREA  ATZENI,"59,5kg",,,,,,,DARLEY STUD MANAGEMENT CO. LTD,2018
16,d3cyTC9aMW9MbnFkUk9JVUpYVzhyQT09,16,Par: CAMELOT  et MORA BAI (INDIAN RIDGE),4.5 (Corde:12),,MME J. MAGNIER/M.TABOR/D.SMITH,AP. O'BRIEN,JAMES-ANTHONY  HEFFERNAN,"56,5kg",,,,,,3,"LYNCH-BAGES LTD,  RHINESTONE BLOODSTOCK",2018
17,RWQ1TlhMdGFJMUhUS0dhQksxc3M1QT09,09,Par: DEEP SKY  et THE FATES (BRIAN'S TIME),(Corde:01),,KOJI  MAEDA,H. MIYAMOTO,YUTAKA  TAKE,"59,5kg",,,,,,,HIRAYAMA BOKUJO,2018
18,ZkZSOXRjWEVteXM3QXNBb1A2WUtZUT09,11,Par: MASTERCRAFTSMAN  et NONSUCH WAY (VERGLAS),(Corde:11),,GERARD  AUGUSTIN-NORMAND,MME P. BRANDT,CRISTIAN  DEMURO,"56,5kg",,,,,,,FRANKLIN FINANCE S.A.,2018
19,WEtWMjBnZEtPSmV1SnAyOVg1dkpSUT09,15,Par: INTELLO  et SOUDANAISE (PEINTRE CELEBRE),(Corde:17),,CAMILLE  GARNIER,T. CASTANHEIRA (S),ANTOINE  HAMELIN,"56,5kg",,,,,,,DAYTON INVESTMENTS LTD,2018
1,RXVXVUZDNTBmcW80a1lCNFBpa3Qwdz09,13,Par: KING'S BEST  et SOVIET MOON (SADLER'S WELLS),(Corde:08),,SUC. KHALID  ABDULLAH,SIR MR. STOUTE,RYAN-LEE  MOORE,56 kg,2.285.600,,,,,,JUDDMONTE FARMS IRELAND,2010
2,L0tOWlRjUkdkbWttb3FXeXhpVktzZz09,07,Par: STAY GOLD  et DEAR WINK (TIGHT SPOT),T (Corde:10),,SHINICHI  IZUMI,Y. NINOMIYA,MASAYOSHI  EBINA,"59,5kg",914.400,,,,,,ARAI BOKUJO,2010
3,aXFKbGxtY2wzeEU3Zno4SFFSTVhhZz09,20,Par: REFUSE TO BEND  et SANARIYA (DARSHAAN),2.5 (Corde:03),,S.A.   AGA KHAN,A.DE ROYER DUPRE,GERALD  MOSSE,"54,5kg",457.200,,17.602,,,3,S.A.  AGA KHAN,2010
4,MUFIbDcwdEM1TWVuQXBnckRKL3EvZz09,14,Par: CAPE CROSS  et BEHKARA (KRIS),1.5 (Corde:09),,S.A.   AGA KHAN,JC. ROUGET-(S),CHRISTOPHE-PATRICE  LEMAIRE,56 kg,228.400,,8.793,,,3,S.A.  AGA KHAN,2010
5,UE15eDlDeGYrMHBMcDRYTEJZaHk3dz09,03,Par: MONTJEU  et GRYADA (SHIRLEY HEIGHTS),1.L (Corde:01),,D.SMITH/MME J.MAGNIER/M.TABOR,AP. O'BRIEN,JOHN-PATRICK  MURTAGH,"59,5kg",114.400,,,,,1,"PTARMIGAN BLOODSTOCK LTD,MLLE K. RAUSING",2010
6,NFVobmo3Zm4zNFZ5VHhzOGFXWkJtUT09,02,Par: NUMEROUS  et MARENDE (PANORAMIC),1.L (Corde:17),,SAEED NASSER  AL ROMAITHI,FRE. HEAD (S),MR DAVY  BONILLA,"59,5kg",,,,S,,,"D. ELIAS DE PROENCA, J. ELIAS DE PROENCA,MLLE V. ELIAS DE PROENCA",2010
7,MnRZSnpld2dENHZCQlpydS9RZkRZZz09,19,Par: NEO UNIVERSE  et WHITEWATER AFFAIR (MACHIAVELLIAN),T (Corde:05),,Y. ICHIKAWA/T. YOSHIDA,K. SUMII,YUTAKA  TAKE,56 kg,,,,,,,SHADAI FARM,2010
8,U3VRd1hQLzVTU3hVRW9iTkVCTVlkUT09,06,Par: HALLING  et SILVERSWORD (HIGHEST HONOR),1.L (Corde:04),,GODOLPHIN,S. BIN SUROOR,LANFRANCO  DETTORI,"59,5kg",,,,,,,DARLEY STUD MANAGEMENT CO. LTD,2010
9,dVd3OUVvWCtrdnFxcVVyMWRWNHNmdz09,10,Par: DAI JIN  et LINTON BAY (FUNAMBULE),4.L (Corde:20),,STALL EMINA,U. OSTMANN,STEPHANE  PASQUIER,"59,5kg",,,,,,,MME IE. ZIMMERMANN,2010
10,NnhGZ1B4bXkxSGtiYVFyMG9pN0cyQT09,01,Par: SINNDAR  et SADIMA (SADLER'S WELLS),(Corde:12),,JABER  ABDULLAH,MR. CHANNON,RICHARD  HUGHES,"59,5kg",,,,,,,F. DUNNE,2010
--,SDl5SnR4Rmd6V3oyV0dFNVVTMkcxQT09,04,Par: SADLER'S WELLS  et PINE CHIP (NUREYEV),(Corde:02),,ECURIE WILDENSTEIN,E. LELLOUCHE,SAMUEL  FARGEAT,"59,5kg",,,,,,2,DAYTON INVESTMENTS LTD,2010
--,cWNmWU43djZIbDhsSVhzQ3BrWlJ1UT09,05,Par: DYNAFORMER  et WALZERKOENIGIN (KINGMAMBO),(Corde:06),,GESTUT SCHLENDERHAN,J. HIRSCHBERGER,TOM P.  QUEALLY,"59,5kg",,,,,,,GESTUT SCHLENDERHAN,2010
--,N3pWTlNoMTFVRXd3R3hiVHV4SjVEdz09,08,Par: SHOLOKHOV  et TRICLARIA (SURUMU),(Corde:14),,SUC.  DE MORATALLA,T. DOUMEN (S),KIEREN-FRANCIS  FALLON,"59,5kg",,,,,,,GESTUT ETZEAN,2010
--,ME03Q3ZUVFNjN09uSjc2anZVOUdqdz09,09,Par: DALAKHANI  et DOLORES (DANEHILL),(Corde:16),,NORMANDIE STUD LIMITED,J. GOSDEN,WILLIAM  BUICK,"59,5kg",,,,,,,NORMANDIE STUD LIMITED,2010
--,R1pOYmw0WDNHVEN5Vk1ZcXpJMVozUT09,12,Par: ANABAA  et FEATHERQUEST (RAINBOW QUEST),(Corde:15),,WERTHEIMER & FRERE,A. FABRE,OLIVIER  PESLIER,58 kg,,,,,,,WERTHEIMER & FRERE,2010
--,OUJEVm4yNXZYaDdFZFEvY1JudlZiUT09,15,Par: GALILEO  et LAUREL DELIGHT (PRESIDIUM),(Corde:11),,D.SMITH/MME J.MAGNIER/M.TABOR,AP. O'BRIEN,CHRISTOPHE  SOUMILLON,56 kg,,,,,,1,"J. RONAN,  DES VERE HUNT FARM LTD",2010
--,eTRZem96TFdpWjd0SXNHWU92R1h5Zz09,17,Par: SHAMARDAL  et LADY VETTORI (VETTORI),(Corde:13),,GESTUT AMMERLAND,A. FABRE,MAXIME  GUYON,56 kg,,,,S,,,GESTUT AMMERLAND,2010
--,dVl6cnIxd1ZTSlg0TVZJK0g4QnVKZz09,18,Par: GALILEO  et APPROACH (DARSHAAN),(Corde:18),,MAGNIER/TABOR/SMITH/DENFORD,AP. O'BRIEN,JAMES-ANTHONY  HEFFERNAN,56 kg,,,,,,1,BELGRAVE BLOODSTOCK,2010
DI,eEhRbUt5dzMvaHNCVGVUM01xL1JMQT09,16,Par: DANEHILL DANCER  et PLANTE RARE (GIANT'S CAUSEWAY),2.L (Corde:07),,ECURIE WILDENSTEIN,E. LELLOUCHE,ANTHONY  CRASTUS,56 kg,,,,,,2,DAYTON INVESTMENTS LTD,2010
NP,aElqYUloS2ZkRzRIVFZXUmpBRTlRUT09,11,CERTIFICAT VETERINAIRE,,,,,,,,,,,,,,2010
1,Vmx6VGluUndKMzd2TDZZTnJpWHIwQT09,15,Par: LOMITAS  et DANEDROP (DANEHILL),(Corde:02),,GESTUT B. EBERSTEIN/T. YOSHIDA,P. SCHIERGEN,ANDRASCH  STARKE,"54,5kg",2.285.600,,,S,,,GESTUT BRUMMERHOF,2011
2,Y0pQOFZiSnRDb0syczM2cDdvWjNNdz09,13,Par: SINNDAR  et SHAWARA (BARATHEA),5.L (Corde:09),,S.A.   AGA KHAN,A.DE ROYER DUPRE,THIERRY  JARNET,"54,5kg",914.400,,35.204,,,2,S.A.  AGA KHAN,2011
3,aEI5WHVyaVVDWGtHZExZWjlOUnBZZz09,08,Par: INTIKHAB  et WOODLAND DREAM (CHARNWOOD FOREST),ENC (Corde:11),,ANAMOINE LIMITED,EAL. DUNLOP,LANFRANCO  DETTORI,58 kg,457.200,,,,,,WINDFLOWER OVERSEAS HOLD. INC,2011
4,bHVNbFlaeFJTRWhPc3NLeksvSSswQT09,06,Par: HIGH CHAPARRAL  et TRIASSIC (TIGHTS),1/2 (Corde:14),,SMITH/MME MAGNIER/TABOR/& CO,AP. O'BRIEN,JAMES-ANTHONY  HEFFERNAN,"59,5kg",228.400,,,,,1,"PIPER FARM LTD, MJ. MORAN",2011
5,dldoMUVGaE40ZlJLN21YaWkwdXhUQT09,02,Par: MONTJEU  et LEAPING WATER (SURE BLADE),CTE (Corde:06),,D.SMITH/MME J.MAGNIER/M.TABOR,AP. O'BRIEN,JOSEPH PATRICK  O'BRIEN,"59,5kg",114.400,,,,,1,"BARTON BLOODSTOCK,  VILLIERS SYNDICATE",2011
6,YWhNKzJ4SXd1QWl3MHo3Sm9QYjU0dz09,10,Par: SLICKLY  et PENNE (SEVRES ROSE),CTE (Corde:10),,FAMILLE ROTHSCHILD,A. FABRE,MAXIME  GUYON,56 kg,,,,S,,,FAMILLE ROTHSCHILD,2011
7,aXFKbGxtY2wzeEU3Zno4SFFSTVhhZz09,07,Par: REFUSE TO BEND  et SANARIYA (DARSHAAN),CTE (Corde:13),,S.A.   AGA KHAN,A.DE ROYER DUPRE,CHRISTOPHE-PATRICE  LEMAIRE,58 kg,,,,,,2,S.A.  AGA KHAN,2011
8,QzNZVWIrMnp1SmI5ZTFkMGd3NmlOdz09,03,Par: ACT ONE  et SILVER FAME (QUEST FOR FAME),3/4 (Corde:15),,SAEED NASSER  AL ROMAITHI,C. LAFFON-PARIAS,MR THIERRY  THULLIEZ,"59,5kg",,,,,,,HARAS DU QUESNAY,2011
9,Vmo0cmJtL052cGU0aW4xUVVPNEV4dz09,16,Par: GALILEO  et BORN GOLD (BLUSHING GROOM),4.L (Corde:04),,WERTHEIMER & FRERE,FRE. HEAD (S),OLIVIER  PESLIER,"54,5kg",,,,,,,WERTHEIMER & FRERE,2011
10,R1hVbXF5bW9rT2ZlK3YxSGU1NmlnZz09,04,Par: MANHATTAN CAFE  et SHARE ELEGANCE (LAMMTARRA),3/4 (Corde:01),,MASAFUMI  HIRUKAWA,M. KON,SHINJI  FUJITA,"59,5kg",,,,,,,HASHIMOTO BOKUJO,2011
