,AnneeNaissance,NomCheval,NumSire,Race,Sexe,Suffixe,link
140,2005,MAGADAN                  ,OUdvYWhXcTdneHpmSGVNc3ZaMERxZz09,PS   ,M,IRE,/fr/cheval/OUdvYWhXcTdneHpmSGVNc3ZaMERxZz09
141,2017,GOLD TRIP                ,MHlnYUcrbnUvU0trTU1Gd1krQjhFQT09,PS   ,M,FR ,/fr/cheval/MHlnYUcrbnUvU0trTU1Gd1krQjhFQT09
142,2013,WAY TO PARIS             ,RlZKZW5yTVkxQ2VLUG1OSTlMMytGZz09,PS   ,M,GB ,/fr/cheval/RlZKZW5yTVkxQ2VLUG1OSTlMMytGZz09
143,2009,BAYRIR                   ,bCtPVWJoQTlRMFNRSG8xd01DdGpuQT09,PS   ,M,FR ,/fr/cheval/bCtPVWJoQTlRMFNRSG8xd01DdGpuQT09
144,2015,BLAST ONEPIECE           ,bytINmx4MVZBT3Z1cGlVTTEzYUlTQT09,PS   ,M,JPN,/fr/cheval/bytINmx4MVZBT3Z1cGlVTTEzYUlTQT09
145,2016,JAPAN                    ,aER2UWw3NU5WUWlhNHZoRno1Y1FJdz09,PS   ,M,GB ,/fr/cheval/aER2UWw3NU5WUWlhNHZoRno1Y1FJdz09
146,2008,RELIABLE MAN             ,YkRwb2FOSTN4RktyWFJ3K1dLckVCZz09,PS   ,M,GB ,/fr/cheval/YkRwb2FOSTN4RktyWFJ3K1dLckVCZz09
147,2011,DOLNIYA                  ,WWRNU2l1QUQ4YktjMkZQUFBJRysrdz09,PS   ,F,FR ,/fr/cheval/WWRNU2l1QUQ4YktjMkZQUFBJRysrdz09
148,2011,ECTOT                    ,Mlp1ejhKMHZENFhrUHlqanc5V3NFZz09,PS   ,M,GB ,/fr/cheval/Mlp1ejhKMHZENFhrUHlqanc5V3NFZz09
149,2007,SNOW FAIRY               ,aEI5WHVyaVVDWGtHZExZWjlOUnBZZz09,PS   ,F,IRE,/fr/cheval/aEI5WHVyaVVDWGtHZExZWjlOUnBZZz09
150,2005,DAR RE MI                ,ekZpcjZmZk0wQ3dudmlQTGpnc2M1dz09,PS   ,F,GB ,/fr/cheval/ekZpcjZmZk0wQ3dudmlQTGpnc2M1dz09
151,2009,GREAT HEAVENS            ,TFZLdHZSZEpvVkVNSzlxeWM5dm4vZz09,PS   ,F,GB ,/fr/cheval/TFZLdHZSZEpvVkVNSzlxeWM5dm4vZz09
152,2005,TANGASPEED               ,T21FMkpQRDZnRzYvZXRZRHR5VUFCdz09,PS   ,F,FR ,/fr/cheval/T21FMkpQRDZnRzYvZXRZRHR5VUFCdz09
153,2012,TIBERIAN                 ,Mm9SblZqMzJiYkUyK3EwNkdVTkJ1QT09,PS   ,M,FR ,/fr/cheval/Mm9SblZqMzJiYkUyK3EwNkdVTkJ1QT09
154,2011,TAPESTRY                 ,a3ZsWE50QllNQ2p2M1hxM2pUQ2d2QT09,PS   ,F,IRE,/fr/cheval/a3ZsWE50QllNQ2p2M1hxM2pUQ2d2QT09
155,2014,KISEKI                   ,RGpqVzFISThLazdkQm1zRVFKaDJuUT09,PS   ,M,JPN,/fr/cheval/RGpqVzFISThLazdkQm1zRVFKaDJuUT09
156,2007,PLANTEUR                 ,eEhRbUt5dzMvaHNCVGVUM01xL1JMQT09,PS   ,M,IRE,/fr/cheval/eEhRbUt5dzMvaHNCVGVUM01xL1JMQT09
157,2011,EAGLE TOP                ,Y1puWTl6ZGpLY2Fvd3UyTmMwQVhlZz09,PS   ,M,GB ,/fr/cheval/Y1puWTl6ZGpLY2Fvd3UyTmMwQVhlZz09
158,2012,ONE FOOT IN HEAVEN       ,RWR5RWt3QWVRWFdnRitibDhxbGh0UT09,PS   ,H,IRE,/fr/cheval/RWR5RWt3QWVRWFdnRitibDhxbGh0UT09
159,2009,GOING SOMEWHERE          ,ZWd4UmkyYTlrK25ZTGRQcFhBWUZ2QT09,PS   ,M,BRZ,/fr/cheval/ZWd4UmkyYTlrK25ZTGRQcFhBWUZ2QT09
160,2015,LOUIS D'OR               ,WEtWMjBnZEtPSmV1SnAyOVg1dkpSUT09,PS   ,M,IRE,/fr/cheval/WEtWMjBnZEtPSmV1SnAyOVg1dkpSUT09
161,2006,SEA THE STARS            ,c3NOZGpYL21vTnJBVXo4NXJaZWdRdz09,PS   ,M,IRE,/fr/cheval/c3NOZGpYL21vTnJBVXo4NXJaZWdRdz09
162,2007,MIDAS TOUCH              ,dVl6cnIxd1ZTSlg0TVZJK0g4QnVKZz09,PS   ,M,GB ,/fr/cheval/dVl6cnIxd1ZTSlg0TVZJK0g4QnVKZz09
163,2010,LEADING LIGHT            ,SW1mT05IeUpoYkVjSGl3M3BWbW9Tdz09,PS   ,M,IRE,/fr/cheval/SW1mT05IeUpoYkVjSGl3M3BWbW9Tdz09
164,2014,CLINCHER                 ,RWQ1TlhMdGFJMUhUS0dhQksxc3M1QT09,PS   ,M,JPN,/fr/cheval/RWQ1TlhMdGFJMUhUS0dhQksxc3M1QT09
165,2015,HUNTING HORN             ,d3cyTC9aMW9MbnFkUk9JVUpYVzhyQT09,PS   ,M,IRE,/fr/cheval/d3cyTC9aMW9MbnFkUk9JVUpYVzhyQT09
166,2016,SOTTSASS                 ,VmpxdVlzR1R1VGNtdUxJOGVxL0VGZz09,PS   ,M,FR ,/fr/cheval/VmpxdVlzR1R1VGNtdUxJOGVxL0VGZz09
167,2013,ZARAK                    ,bU9FemMxZEZsMUdNdmF1SkFhM3BZZz09,PS   ,M,FR ,/fr/cheval/bU9FemMxZEZsMUdNdmF1SkFhM3BZZz09
168,2005,BLUE BRESIL              ,bXN4Y3dmQ1FiOFpPUEU5TU1ZV2xRZz09,PS   ,M,FR ,/fr/cheval/bXN4Y3dmQ1FiOFpPUEU5TU1ZV2xRZz09
169,2006,STACELITA                ,bE9rbXV0dDVxcEtrSzMrUmo1dzBJQT09,PS   ,F,FR ,/fr/cheval/bE9rbXV0dDVxcEtrSzMrUmo1dzBJQT09
170,2009,YELLOW AND GREEN         ,YjIyaXo3a0RGVVNLMjZZVlFacjkyUT09,PS   ,F,GB ,/fr/cheval/YjIyaXo3a0RGVVNLMjZZVlFacjkyUT09
171,2008,GALIKOVA                 ,Vmo0cmJtL052cGU0aW4xUVVPNEV4dz09,PS   ,F,FR ,/fr/cheval/Vmo0cmJtL052cGU0aW4xUVVPNEV4dz09
172,2005,VISION D'ETAT            ,RkdjY3JKQldKa3lmQjkxaTkxNGYxUT09,PS   ,M,FR ,/fr/cheval/RkdjY3JKQldKa3lmQjkxaTkxNGYxUT09
173,2011,FREE PORT LUX            ,c0U5QS90bmdJdFNCV3d6SWhEKzlRUT09,PS   ,M,GB ,/fr/cheval/c0U5QS90bmdJdFNCV3d6SWhEKzlRUT09
