,AnneeNaissance,NomCheval,NumSire,Race,Sexe,Suffixe,link
32,2007,LOPE DE VEGA             ,eTRZem96TFdpWjd0SXNHWU92R1h5Zz09,PS   ,M,IRE,/fr/cheval/eTRZem96TFdpWjd0SXNHWU92R1h5Zz09
33,2007,VICTOIRE PISA            ,MnRZSnpld2dENHZCQlpydS9RZkRZZz09,PS   ,M,JPN,/fr/cheval/MnRZSnpld2dENHZCQlpydS9RZkRZZz09
34,2014,NAGANO GOLD              ,bEZ1Zko4L2lMSG40aHRaa3owaVB4Zz09,PS   ,M,GB ,/fr/cheval/bEZ1Zko4L2lMSG40aHRaa3owaVB4Zz09
35,2009,ERNEST HEMINGWAY         ,d2krK3hvYUhLdlRLZjZMTzRZK2FnUT09,PS   ,M,IRE,/fr/cheval/d2krK3hvYUhLdlRLZjZMTzRZK2FnUT09
36,2005,LIANG KAY                ,dVd3OUVvWCtrdnFxcVVyMWRWNHNmdz09,PS   ,M,GER,/fr/cheval/dVd3OUVvWCtrdnFxcVVyMWRWNHNmdz09
37,2014,BRAMETOT                 ,M0FkVEhqWWFwdkMrTWw3VGtTa3VuUT09,PS   ,M,IRE,/fr/cheval/M0FkVEhqWWFwdkMrTWw3VGtTa3VuUT09
38,2013,MAKAHIKI                 ,eGFJU09vRmZhSTNoWmhCam95UkNWUT09,PS   ,M,JPN,/fr/cheval/eGFJU09vRmZhSTNoWmhCam95UkNWUT09
39,2003,LA BOUM                  ,THhiOWRPeDdkdHRkMFpuSkdhRDZGUT09,PS   ,F,GER,/fr/cheval/THhiOWRPeDdkdHRkMFpuSkdhRDZGUT09
40,2015,NEUFBOSC                 ,ZkZSOXRjWEVteXM3QXNBb1A2WUtZUT09,PS   ,M,FR ,/fr/cheval/ZkZSOXRjWEVteXM3QXNBb1A2WUtZUT09
41,2017,IN SWOOP                 ,OEtVY3N1ZmxHVTNwUTlQVWdDdXZDZz09,PS   ,M,IRE,/fr/cheval/OEtVY3N1ZmxHVTNwUTlQVWdDdXZDZz09
42,2008,DANEDREAM                ,Vmx6VGluUndKMzd2TDZZTnJpWHIwQT09,PS   ,F,GER,/fr/cheval/Vmx6VGluUndKMzd2TDZZTnJpWHIwQT09
43,2012,SHAHAH                   ,ZkZBbmwrWCt6TklKTHgzOCs5bnd5Zz09,PS   ,F,GB ,/fr/cheval/ZkZBbmwrWCt6TklKTHgzOCs5bnd5Zz09
44,2014,SALOUEN                  ,aWtjV3FPTU0yK3ZuSmJldXJCR042Zz09,PS   ,M,IRE,/fr/cheval/aWtjV3FPTU0yK3ZuSmJldXJCR042Zz09
45,2006,GRAND DUCAL              ,UTBLamNvYSs0QnZrWHJESXc2WDVkZz09,PS   ,M,IRE,/fr/cheval/UTBLamNvYSs0QnZrWHJESXc2WDVkZz09
46,2015,FRENCH KING              ,bUZEU1hQSjJkbXFqNDBtcGhSSVFydz09,PS   ,M,GB ,/fr/cheval/bUZEU1hQSjJkbXFqNDBtcGhSSVFydz09
47,2015,MAGICAL                  ,SVBpN2FvMnJyN1hZYkJ2dUNVRWxDUT09,PS   ,F,IRE,/fr/cheval/SVBpN2FvMnJyN1hZYkJ2dUNVRWxDUT09
48,2010,TREVE                    ,d2JMa2NYejhOVDh1OUMzNW9CT2c4UT09,PS   ,F,FR ,/fr/cheval/d2JMa2NYejhOVDh1OUMzNW9CT2c4UT09
49,2015,KEW GARDENS              ,OTE4NWgvczJmSkVIR0ROUnNpa09EZz09,PS   ,M,IRE,/fr/cheval/OTE4NWgvczJmSkVIR0ROUnNpa09EZz09
50,2012,ORDER OF ST GEORGE       ,SXFsNEYvUmtRVERCV2RSeE93Skl6UT09,PS   ,M,IRE,/fr/cheval/SXFsNEYvUmtRVERCV2RSeE93Skl6UT09
51,2007,ST NICHOLAS ABBEY        ,dldoMUVGaE40ZlJLN21YaWkwdXhUQT09,PS   ,M,IRE,/fr/cheval/dldoMUVGaE40ZlJLN21YaWkwdXhUQT09
52,2013,SATONO DIAMOND           ,WFRSdmloSlRtRmJXNGtORzR4ckFRQT09,PS   ,M,JPN,/fr/cheval/WFRSdmloSlRtRmJXNGtORzR4ckFRQT09
53,2003,YOUMZAIN                 ,NnhGZ1B4bXkxSGtiYVFyMG9pN0cyQT09,PS   ,M,IRE,/fr/cheval/NnhGZ1B4bXkxSGtiYVFyMG9pN0cyQT09
54,2003,IT'S GINO                ,MjlMSlBkbnpHN0NCNXZ3aklVbG5jQT09,PS   ,M,GER,/fr/cheval/MjlMSlBkbnpHN0NCNXZ3aklVbG5jQT09
55,2004,RED ROCK CANYON          ,VERWUENCaGRhQUNZY1drMjdFNEJtZz09,PS   ,M,IRE,/fr/cheval/VERWUENCaGRhQUNZY1drMjdFNEJtZz09
56,2010,OCOVANGO                 ,YzBpaVBQcnZ4Nko1WmRudDg5eUVOUT09,PS   ,M,GB ,/fr/cheval/YzBpaVBQcnZ4Nko1WmRudDg5eUVOUT09
57,2010,SAHAWAR                  ,a1hqWDF1YXFCdVFhNm45MjNSMzB5QT09,PS   ,M,FR ,/fr/cheval/a1hqWDF1YXFCdVFhNm45MjNSMzB5QT09
58,1993,CAMELOT                  ,U3JuWVVUc3JrendDV2RZRTlBOVpxdz09,PS   ,M,SPA,/fr/cheval/U3JuWVVUc3JrendDV2RZRTlBOVpxdz09
