,fg_id,NomCheval,Annee,Specialite,NbrCourses,NbrVictoires,NbrPlaces,AllocVict,AllocPlc,AllocTotale,AllocPrimeProp,PrimeEleveur,VictPart,PlcPart,MoyenneGainAnnee
546,bU9FemMxZEZsMUdNdmF1SkFhM3BZZz09,ZARAK                    ,2017,P/,4,1,2,228560,75730,304290,506473,70905,"0,25","0,5",76072
547,bU9FemMxZEZsMUdNdmF1SkFhM3BZZz09,ZARAK                    ,2016,P/,6,1,5,17000,493325,510325,824486,91866,"0,17","0,83",85054
548,bU9FemMxZEZsMUdNdmF1SkFhM3BZZz09,ZARAK                    ,2015,P/,1,1,0,12500,0,12500,20627,2887,1,0,12500
549,ZkZBbmwrWCt6TklKTHgzOCs5bnd5Zz09,SHAHAH                   ,2015,P/,4,0,3,0,14750,14750,14750,0,0,"0,75",3687
550,ZkZBbmwrWCt6TklKTHgzOCs5bnd5Zz09,SHAHAH                   ,2014,P/,2,1,0,40000,0,40000,40000,0,"0,5",0,20000
551,Q3hSVGdaSUFEVTlyYTRpbldWZDFOdz09,MASKED MARVEL            ,1981,P/,0,0,0,0,0,0,0,0,0,0,0
552,Q3hSVGdaSUFEVTlyYTRpbldWZDFOdz09,MASKED MARVEL            ,1980,P/,0,0,0,0,0,0,0,0,0,0,0
553,Q3hSVGdaSUFEVTlyYTRpbldWZDFOdz09,MASKED MARVEL            ,1979,P/,0,0,0,0,0,0,0,0,0,0,0
554,czU4dVB6aEQxV01OeGNYMFpuaW11Zz09,LEFT HAND                ,2017,P/,6,0,5,0,100560,100560,167375,23430,0,"0,83",16760
555,czU4dVB6aEQxV01OeGNYMFpuaW11Zz09,LEFT HAND                ,2016,P/,6,2,2,239990,242875,482865,780122,111509,"0,33","0,33",80477
556,czU4dVB6aEQxV01OeGNYMFpuaW11Zz09,LEFT HAND                ,2015,P/,2,1,1,12500,17130,29630,48894,6844,"0,5","0,5",14815
557,NFlvT3NGR25sSEhJYW9JZGFGcWd0Zz09,GOLDEN HORN              ,2015,P/,1,0,0,0,0,0,0,0,0,0,0
558,ZE8wV2g4Sks0MUpGYmZwVFV4WXpuQT09,ROBIN HOOD               ,1999,O/,0,0,0,0,0,0,0,0,0,0,0
559,ZE8wV2g4Sks0MUpGYmZwVFV4WXpuQT09,ROBIN HOOD               ,1998,P/,0,0,0,0,0,0,0,0,0,0,0
560,eEhRbUt5dzMvaHNCVGVUM01xL1JMQT09,PLANTEUR                 ,2013,P/,2,0,1,0,57150,57150,81724,11441,0,"0,5",28575
561,eEhRbUt5dzMvaHNCVGVUM01xL1JMQT09,PLANTEUR                 ,2012,P/,1,0,1,0,57150,57150,84582,11841,0,1,57150
562,eEhRbUt5dzMvaHNCVGVUM01xL1JMQT09,PLANTEUR                 ,2011,P/,4,2,1,245520,17160,262680,388765,54426,"0,5","0,25",65670
563,eEhRbUt5dzMvaHNCVGVUM01xL1JMQT09,PLANTEUR                 ,2010,P/,5,1,3,74100,508660,582760,949898,132983,"0,2","0,6",116552
564,eEhRbUt5dzMvaHNCVGVUM01xL1JMQT09,PLANTEUR                 ,2009,P/,3,2,1,29000,6800,35800,62650,8771,"0,67","0,33",11933
565,UVFkMzhzblJXZ2pma04rVDRYTGV6dz09,KIZUNA                   ,2013,P/,2,1,1,74100,274080,348180,348180,0,"0,5","0,5",174090
566,UVFkMzhzblJXZ2pma04rVDRYTGV6dz09,KIZUNA                   ,2012,P/,0,0,0,0,0,0,0,0,0,0,0
567,SXRnUEJUcVJTcjZpSkY2ZHJCZzZsQT09,CONDUIT                  ,2009,P/,1,0,1,0,228400,228400,228400,0,0,1,228400
568,SXRnUEJUcVJTcjZpSkY2ZHJCZzZsQT09,CONDUIT                  ,2008,P/,0,0,0,0,0,0,0,0,0,0,0
569,SXRnUEJUcVJTcjZpSkY2ZHJCZzZsQT09,CONDUIT                  ,2007,P/,0,0,0,0,0,0,0,0,0,0,0
570,eTRZem96TFdpWjd0SXNHWU92R1h5Zz09,LOPE DE VEGA             ,2010,P/,6,2,2,1114230,24870,1139100,1139100,0,"0,33","0,33",189850
571,eTRZem96TFdpWjd0SXNHWU92R1h5Zz09,LOPE DE VEGA             ,2009,P/,3,2,1,29000,19985,48985,48985,0,"0,67","0,33",16328
572,ZlVKV1p1aVFreVFka3pCOWVHc3Jsdz09,HARZAND                  ,2016,P/,1,0,0,0,0,0,0,0,0,0,0
573,ZlVKV1p1aVFreVFka3pCOWVHc3Jsdz09,HARZAND                  ,2015,P/,0,0,0,0,0,0,0,0,0,0,0
574,c3NOZGpYL21vTnJBVXo4NXJaZWdRdz09,SEA THE STARS            ,2009,P/,1,1,0,2285600,0,2285600,2285600,0,1,0,2285600
575,c3NOZGpYL21vTnJBVXo4NXJaZWdRdz09,SEA THE STARS            ,2008,P/,0,0,0,0,0,0,0,0,0,0,0
576,bDVMa1gxTS9QbEY5ZncyMWpCVnU4Zz09,NEW BAY                  ,2016,P/,3,1,0,40000,0,40000,40000,0,"0,33",0,13333
577,bDVMa1gxTS9QbEY5ZncyMWpCVnU4Zz09,NEW BAY                  ,2015,P/,6,4,2,1176200,697230,1873430,1873430,0,"0,67","0,33",312238
578,bDVMa1gxTS9QbEY5ZncyMWpCVnU4Zz09,NEW BAY                  ,2014,P/,1,0,1,0,5800,5800,5800,0,0,1,5800
579,d2huMXJ6SFNpbkR6aXNzUUlnZ2tlUT09,WINTER                   ,2017,P/,1,0,0,0,0,0,0,0,0,0,0
580,d2huMXJ6SFNpbkR6aXNzUUlnZ2tlUT09,WINTER                   ,2016,P/,0,0,0,0,0,0,0,0,0,0,0
581,VzlEbGlTN0hBd3ZiMTdDMnJwS05TZz09,MIKHAIL GLINKA           ,2013,P/,0,0,0,0,0,0,0,0,0,0,0
582,VzlEbGlTN0hBd3ZiMTdDMnJwS05TZz09,MIKHAIL GLINKA           ,2012,P/,1,0,0,0,0,0,0,0,0,0,0
583,VzlEbGlTN0hBd3ZiMTdDMnJwS05TZz09,MIKHAIL GLINKA           ,2011,P/,0,0,0,0,0,0,0,0,0,0,0
584,VzlEbGlTN0hBd3ZiMTdDMnJwS05TZz09,MIKHAIL GLINKA           ,2010,P/,0,0,0,0,0,0,0,0,0,0,0
585,VzlEbGlTN0hBd3ZiMTdDMnJwS05TZz09,MIKHAIL GLINKA           ,2009,P/,1,0,1,0,57150,57150,57150,0,0,1,57150
586,RkdjY3JKQldKa3lmQjkxaTkxNGYxUT09,VISION D'ETAT            ,2010,P/,1,1,0,40000,0,40000,59200,8288,1,0,40000
587,RkdjY3JKQldKa3lmQjkxaTkxNGYxUT09,VISION D'ETAT            ,2009,P/,4,1,2,171420,42250,213670,316231,44271,"0,25","0,5",53417
588,RkdjY3JKQldKa3lmQjkxaTkxNGYxUT09,VISION D'ETAT            ,2008,P/,5,4,1,975700,114400,1090100,1704791,227057,"0,8","0,2",218020
589,RkdjY3JKQldKa3lmQjkxaTkxNGYxUT09,VISION D'ETAT            ,2007,P/,2,2,0,26500,0,26500,46375,6492,1,0,13250
590,QzNZVWIrMnp1SmI5ZTFkMGd3NmlOdz09,SILVER POND              ,2012,P/,2,1,1,26000,2800,28800,42624,5967,"0,5","0,5",14400
591,QzNZVWIrMnp1SmI5ZTFkMGd3NmlOdz09,SILVER POND              ,2011,P/,7,1,4,74100,110820,184920,273681,38313,"0,14","0,57",26417
592,QzNZVWIrMnp1SmI5ZTFkMGd3NmlOdz09,SILVER POND              ,2010,P/,3,3,0,103100,0,103100,168053,23526,1,0,34366
593,cWNmWU43djZIbDhsSVhzQ3BrWlJ1UT09,WIENER WALZER            ,2011,P/,3,0,1,0,4000,4000,4000,0,0,"0,33",1333
594,cWNmWU43djZIbDhsSVhzQ3BrWlJ1UT09,WIENER WALZER            ,2010,P/,2,0,1,0,28575,28575,28575,0,0,"0,5",14287
595,cWNmWU43djZIbDhsSVhzQ3BrWlJ1UT09,WIENER WALZER            ,2009,P/,0,0,0,0,0,0,0,0,0,0,0
596,cWNmWU43djZIbDhsSVhzQ3BrWlJ1UT09,WIENER WALZER            ,2008,P/,0,0,0,0,0,0,0,0,0,0,0
597,Y1NPME5DajJaSnVhQjgwczVJZlNRQT09,KESAMPOUR                ,2015,P/,0,0,0,0,0,0,0,0,0,0,0
598,Y1NPME5DajJaSnVhQjgwczVJZlNRQT09,KESAMPOUR                ,2013,P/,0,0,0,0,0,0,0,0,0,0,0
599,Y1NPME5DajJaSnVhQjgwczVJZlNRQT09,KESAMPOUR                ,2012,P/,5,2,2,101600,90200,191800,312633,43767,"0,4","0,4",38360
600,Y1NPME5DajJaSnVhQjgwczVJZlNRQT09,KESAMPOUR                ,2011,P/,2,2,0,29000,0,29000,50750,7105,1,0,14500
601,MnlGN1A4ZHhhYWlLM3ZsVTBZaUhNdz09,SEA OF CLASS             ,2019,P/,0,0,0,0,0,0,0,0,0,0,0
602,MnlGN1A4ZHhhYWlLM3ZsVTBZaUhNdz09,SEA OF CLASS             ,2018,P/,1,0,1,0,1143000,1143000,1143000,0,0,1,1143000
603,Wjl1NWVXZGlWdlI4dUJwSndENFY2QT09,AL KAZEEM                ,2015,P/,2,1,1,74100,68580,142680,142680,0,"0,5","0,5",71340
604,Wjl1NWVXZGlWdlI4dUJwSndENFY2QT09,AL KAZEEM                ,2014,P/,1,0,0,0,0,0,0,0,0,0,0
605,Wjl1NWVXZGlWdlI4dUJwSndENFY2QT09,AL KAZEEM                ,2013,P/,1,0,0,0,0,0,0,0,0,0,0
606,Wjl1NWVXZGlWdlI4dUJwSndENFY2QT09,AL KAZEEM                ,2012,P/,0,0,0,0,0,0,0,0,0,0,0
607,Wjl1NWVXZGlWdlI4dUJwSndENFY2QT09,AL KAZEEM                ,2011,P/,0,0,0,0,0,0,0,0,0,0,0
608,Wjl1NWVXZGlWdlI4dUJwSndENFY2QT09,AL KAZEEM                ,2010,P/,0,0,0,0,0,0,0,0,0,0,0
609,MlZBWmg3bVdCRmdqQzIxQ0lELzdIUT09,GOLD SHIP                ,2014,P/,1,0,0,0,0,0,0,0,0,0,0
610,MlZBWmg3bVdCRmdqQzIxQ0lELzdIUT09,GOLD SHIP                ,2013,P/,0,0,0,0,0,0,0,0,0,0,0
611,MlZBWmg3bVdCRmdqQzIxQ0lELzdIUT09,GOLD SHIP                ,2012,P/,0,0,0,0,0,0,0,0,0,0,0
612,MlZBWmg3bVdCRmdqQzIxQ0lELzdIUT09,GOLD SHIP                ,2011,P/,0,0,0,0,0,0,0,0,0,0,0
